Hi	UH	hi
.	SENT	.
Today	NN	today
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
through	IN	through
glimpses	NNS	glimpse
of	IN	of
about	RB	about
eight	CD	eight
of	IN	of
my	PP$	my
projects	NNS	project
,	,	,
done	VBN	do
in	IN	in
collaboration	NN	collaboration
with	IN	with
Danish	JJ	Danish
artist	NN	artist
Soren	NP	Soren
Pors	NP	<unknown>
.	SENT	.
We	PP	we
call	VBP	call
ourselves	PP	ourselves
Pors	NP	<unknown>
and	CC	and
Rao	NP	Rao
,	,	,
and	CC	and
we	PP	we
live	VBP	live
and	CC	and
work	VBP	work
in	IN	in
India	NP	India
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
begin	VB	begin
with	IN	with
my	PP$	my
very	RB	very
first	JJ	first
object	NN	object
,	,	,
which	WDT	which
I	PP	I
call	VBP	call
"	``	"
The	DT	the
Uncle	NP	Uncle
Phone	NN	phone
.	SENT	.
"	``	"
And	CC	and
it	PP	it
was	VBD	be
inspired	VBN	inspire
by	IN	by
my	PP$	my
uncle	NN	uncle
'	POS	'
s	JJ	<unknown>
peculiar	JJ	peculiar
habit	NN	habit
of	IN	of
constantly	RB	constantly
asking	VBG	ask
me	PP	me
to	TO	to
do	VB	do
things	NNS	thing
for	IN	for
him	PP	him
,	,	,
almost	RB	almost
like	IN	like
I	PP	I
were	VBD	be
an	DT	an
extension	NN	extension
of	IN	of
his	PP$	his
body	NN	body
—	:	-
to	TO	to
turn	VB	turn
on	IN	on
the	DT	the
lights	NNS	light
or	CC	or
to	TO	to
bring	VB	bring
him	PP	him
a	DT	a
glass	NN	glass
of	IN	of
water	NN	water
,	,	,
a	DT	a
pack	NN	pack
of	IN	of
cigarettes	NNS	cigarette
.	SENT	.
And	CC	and
as	IN	as
I	PP	I
grew	VBD	grow
up	RP	up
,	,	,
it	PP	it
became	VBD	become
worse	JJR	bad
and	CC	and
worse	JJR	bad
,	,	,
And	CC	and
I	PP	I
started	VBD	start
to	TO	to
think	VB	think
of	IN	of
it	PP	it
as	IN	as
a	DT	a
form	NN	form
of	IN	of
control	NN	control
.	SENT	.
But	CC	but
of	IN	of
course	NN	course
,	,	,
I	PP	I
could	MD	could
never	RB	never
say	VB	say
anything	NN	anything
,	,	,
because	IN	because
the	DT	the
uncle	NN	uncle
is	VBZ	be
a	DT	a
respected	JJ	respected
figure	NN	figure
in	IN	in
the	DT	the
Indian	JJ	Indian
family	NN	family
.	SENT	.
And	CC	and
the	DT	the
situation	NN	situation
that	WDT	that
irked	VBD	irk
me	PP	me
and	CC	and
mystified	VBD	mystify
me	PP	me
the	DT	the
most	JJS	most
was	VBD	be
his	PP$	his
use	NN	use
of	IN	of
a	DT	a
landline	NN	<unknown>
telephone	NN	telephone
.	SENT	.
He	PP	he
would	MD	would
