Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
William	NP	William
,	,	,
hi	UH	hi
.	SENT	.
Good	JJ	good
to	TO	to
see	VB	see
you	PP	you
.	SENT	.
William	NP	William
Kamkwamba	NP	<unknown>
:	:	:
Thanks	NNS	thanks
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
picture	NN	picture
,	,	,
I	PP	I
think	VBP	think
?	SENT	?
Where	WRB	where
is	VBZ	be
this	DT	this
?	SENT	?
WK	NN	WK
:	:	:
This	DT	this
is	VBZ	be
my	PP$	my
home	NN	home
.	SENT	.
This	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
live	VBP	live
.	SENT	.
CA	MD	ca
:	:	:
Where	WRB	where
?	SENT	?
What	WP	what
country	NN	country
?	SENT	?
WK	NN	WK
:	:	:
In	IN	in
Malawi	NP	Malawi
,	,	,
Kasungu	NP	<unknown>
.	SENT	.
In	IN	in
Kasungu	NP	<unknown>
.	SENT	.
Yeah	RB	yeah
,	,	,
Mala	NP	Mala
.	SENT	.
CA	MD	ca
:	:	:
OK	UH	OK
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
'	POS	'
re	NN	re
19	CD	@card@
now	RB	now
?	SENT	?
WK	NN	WK
:	:	:
Yeah	RB	yeah
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
19	CD	@card@
years	NNS	year
now	RB	now
.	SENT	.
CA	MD	ca
:	:	:
Five	CD	five
years	NNS	year
ago	RB	ago
you	PP	you
had	VBD	have
an	DT	an
idea	NN	idea
.	SENT	.
What	WP	what
was	VBD	be
that	DT	that
?	SENT	?
WK	NN	WK
:	:	:
I	PP	I
wanted	VBD	want
to	TO	to
make	VB	make
a	DT	a
windmill	NN	windmill
.	SENT	.
CA	MD	ca
:	:	:
A	DT	a
windmill	NN	windmill
?	SENT	?
WK	NN	WK
:	:	:
Yeah	RB	yeah
.	SENT	.
CA	MD	ca
:	:	:
What	WP	what
,	,	,
to	TO	to
power	NN	power
—	:	-
