Charlie	NP	Charlie
Rose	NP	Rose
:	:	:
So	RB	so
Larry	NP	Larry
sent	VBD	send
me	PP	me
an	DT	an
email	NN	<unknown>
and	CC	and
he	PP	he
basically	RB	basically
said	VBD	say
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
seem	VBP	seem
like	IN	like
we	PP	we
'	''	'
re	IN	re
a	DT	a
couple	NN	couple
of	IN	of
middle-aged	JJ	middle-aged
boring	JJ	boring
men	NNS	man
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
I	PP	I
'	POS	'
m	NN	m
flattered	VBD	flatter
by	IN	by
that	DT	that
â	NP	<unknown>
â	NP	<unknown>
because	IN	because
I	NP	I
'	POS	'
m	NN	m
a	DT	a
bit	NN	bit
older	JJR	old
,	,	,
and	CC	and
he	PP	he
has	VBZ	have
a	DT	a
bit	NN	bit
more	RBR	more
net	JJ	net
worth	NN	worth
than	IN	than
I	PP	I
do	VBP	do
.	SENT	.
Larry	NP	Larry
Page	NP	Page
:	:	:
Well	UH	well
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
CR	NN	CR
:	:	:
So	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
conversation	NN	conversation
about	IN	about
the	DT	the
Internet	NN	Internet
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
conversation	NN	conversation
Google	NN	<unknown>
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
conversation	NN	conversation
about	IN	about
search	NN	search
and	CC	and
privacy	NN	privacy
,	,	,
and	CC	and
also	RB	also
about	IN	about
your	PP$	your
philosophy	NN	philosophy
and	CC	and
a	DT	a
sense	NN	sense
of	IN	of
how	WRB	how
you	PP	you
'	POS	'
ve	NN	ve
connected	VBD	connect
the	DT	the
dots	NNS	dot
and	CC	and
how	WRB	how
this	DT	this
journey	NN	journey
that	WDT	that
began	VBD	begin
some	DT	some
time	NN	time
ago	RB	ago
has	VBZ	have
such	JJ	such
interesting	JJ	interesting
prospects	NNS	prospect
.	SENT	.
Mainly	RB	mainly
we	PP	we
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
future	NN	future
.	SENT	.
So	IN	so
my	PP$	my
first	JJ	first
question	NN	question
:	:	:
Where	WRB	where
is	VBZ	be
Google	NP	<unknown>
and	CC	and
where	WRB	where
is	VBZ	be
it	PP	it
going	VBG	go
?	SENT	?
LP	NP	LP
:	:	:
Well	UH	well
,	,	,
this	DT	this
is	VBZ	be
something	NN	something
we	PP	we
think	VBP	think
about	IN	about
a	DT	a
lot	NN	lot
,	,	,
and	CC	and
our	PP$	our
mission	NN	mission
we	PP	we
defined	VBD	define
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
is	VBZ	be
to	TO	to
organize	VB	organize
the	DT	the
world	NN	world
'	POS	'
s	NN	S
information	NN	information
and	CC	and
make	VB	make
it	PP	it
universally	RB	universally
accessible	JJ	accessible
and	CC	and
useful	JJ	useful
.	SENT	.
And	CC	and
people	NNS	people
always	RB	always
say	VBP	say
,	,	,
is	VBZ	be
that	IN	that
really	RB	really
what	WP	what
you	PP	you
guys	VBZ	guy
are	VBP	be
still	RB	still
doing	VBG	do
?	SENT	?
And	CC	and
I	PP	I
always	RB	always
kind	RB	kind
of	IN	of
think	VBP	think
about	RB	about
that	IN	that
myself	PP	myself
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
quite	RB	quite
sure	JJ	sure
.	SENT	.
But	CC	but
actually	RB	actually
,	,	,
when	WRB	when
I	PP	I
think	VBP	think
about	RB	about
search	VB	search
,	,	,
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
deep	JJ	deep
thing	NN	thing
for	IN	for
all	DT	all
of	IN	of
us	PP	us
,	,	,
to	TO	to
really	RB	really
understand	VB	understand
what	WP	what
you	PP	you
want	VBP	want
,	,	,
to	TO	to
understand	VB	understand
the	DT	the
world	NN	world
'	POS	'
s	NN	S
information	NN	information
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
still	RB	still
very	RB	very
much	JJ	much
in	IN	in
the	DT	the
early	JJ	early
stages	NNS	stage
of	IN	of
that	DT	that
,	,	,
which	WDT	which
is	VBZ	be
totally	RB	totally
crazy	JJ	crazy
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
at	IN	at
it	PP	it
for	IN	for
15	CD	@card@
years	NNS	year
already	RB	already
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
at	IN	at
all	DT	all
done	VBN	do
.	SENT	.
CR	NN	CR
:	:	:
When	WRB	when
it	PP	it
'	POS	'
