Intelligence	NP	Intelligence
â	NP	<unknown>
what	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
If	IN	if
we	PP	we
take	VBP	take
a	DT	a
look	NN	look
back	RB	back
at	IN	at
the	DT	the
history	NN	history
of	IN	of
how	WRB	how
intelligence	NN	intelligence
has	VBZ	have
been	VBN	be
viewed	VBN	view
,	,	,
one	CD	one
seminal	JJ	seminal
example	NN	example
has	VBZ	have
been	VBN	be
Edsger	NP	<unknown>
Dijkstra	NP	<unknown>
'	POS	'
s	JJ	<unknown>
famous	JJ	famous
quote	NN	quote
that	IN	that
"	``	"
the	DT	the
question	NN	question
of	IN	of
whether	IN	whether
a	DT	a
machine	NN	machine
can	MD	can
think	VB	think
is	VBZ	be
about	RB	about
as	RB	as
interesting	JJ	interesting
as	IN	as
the	DT	the
question	NN	question
of	IN	of
whether	IN	whether
a	DT	a
submarine	NN	submarine
can	MD	can
swim	VB	swim
.	SENT	.
"	''	"
Now	RB	now
,	,	,
Edsger	NP	<unknown>
Dijkstra	NP	<unknown>
,	,	,
when	WRB	when
he	PP	he
wrote	VBD	write
this	DT	this
,	,	,
intended	VBD	intend
it	PP	it
as	IN	as
a	DT	a
criticism	NN	criticism
of	IN	of
the	DT	the
early	JJ	early
pioneers	NNS	pioneer
of	IN	of
computer	NN	computer
science	NN	science
,	,	,
like	IN	like
Alan	NP	Alan
Turing	NP	Turing
.	SENT	.
However	RB	however
,	,	,
if	IN	if
you	PP	you
take	VBP	take
a	DT	a
look	NN	look
back	RB	back
and	CC	and
think	VBP	think
about	RB	about
what	WP	what
have	VBP	have
been	VBN	be
the	DT	the
most	RBS	most
empowering	VBG	empower
innovations	NNS	innovation
that	WDT	that
enabled	VBD	enable
us	PP	us
to	TO	to
build	VB	build
artificial	JJ	artificial
machines	NNS	machine
that	WDT	that
swim	VBP	swim
and	CC	and
artificial	JJ	artificial
machines	NNS	machine
that	WDT	that
[	SYM	[
fly	NN	fly
]	SYM	]
,	,	,
you	PP	you
find	VBP	find
that	IN	that
it	PP	it
was	VBD	be
only	RB	only
through	IN	through
understanding	VBG	understand
the	DT	the
underlying	VBG	underlie
physical	JJ	physical
mechanisms	NNS	mechanism
of	IN	of
swimming	NN	swimming
and	CC	and
flight	NN	flight
that	IN	that
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
build	VB	build
these	DT	these
machines	NNS	machine
.	SENT	.
And	CC	and
so	RB	so
,	,	,
several	JJ	several
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
undertook	VBD	undertake
a	DT	a
program	NN	program
to	TO	to
try	VB	try
to	TO	to
understand	VB	understand
the	DT	the
fundamental	JJ	fundamental
physical	JJ	physical
mechanisms	NNS	mechanism
underlying	VBG	underlie
intelligence	NN	intelligence
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
a	DT	a
step	NN	step
back	RB	back
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
first	RB	first
begin	VBP	begin
with	IN	with
a	DT	a
thought	NN	thought
experiment	NN	experiment
.	SENT	.
Pretend	VB	pretend
that	IN	that
you	PP	you
'	''	'
re	IN	re
an	DT	an
alien	JJ	alien
race	NN	race
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
anything	NN	anything
about	IN	about
Earth	NP	Earth
biology	NN	biology
or	CC	or
Earth	NN	earth
neuroscience	NN	neuroscience
or	CC	or
Earth	NN	earth
intelligence	NN	intelligence
,	,	,
but	CC	but
you	PP	you
have	VBP	have
amazing	JJ	amazing
telescopes	NNS	telescope
and	CC	and
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
watch	VB	watch
the	DT	the
Earth	NN	earth
,	,	,
and	CC	and
you	PP	you
have	VBP	have
amazingly	RB	amazingly
long	JJ	long
lives	NNS	life
,	,	,
so	IN	so
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
watch	VB	watch
the	DT	the
Earth	NN	earth
over	IN	over
millions	NNS	million
,	,	,
even	RB	even
billions	NNS	billion
of	IN	of
years	NNS	year
.	SENT	.
And	CC	and
you	PP	you
observe	VBP	observe
a	DT	a
really	RB	really
strange	JJ	strange
effect	NN	effect
.	SENT	.
You	PP	you
observe	VBP	observe
that	IN	that
,	,	,
over	IN	over
the	DT	the
course	NN	course
of	IN	of
the	DT	the
millennia	NNS	millennium
,	,	,
Earth	NP	Earth
is	VBZ	be
continually	RB	continually
bombarded	VBN	bombard
with	IN	with
asteroids	NNS	asteroid
up	RB	up
until	IN	until
a	DT	a
point	NN	point
,	,	,
and	CC	and
that	IN	that
at	IN	at
some	DT	some
point	NN	point
,	,	,
corresponding	VBG	correspond
roughly	RB	roughly
to	TO	to
our	PP$	our
year	NN	year
,	,	,
2000	CD	@card@
AD	NN	ad
,	,	,
asteroids	NNS	asteroid
that	WDT	that
are	VBP	be
on	IN	on
a	DT	a
collision	NN	collision
course	NN	course
with	IN	with
the	DT	the
Earth	NN	earth
that	WDT	that
otherwise	RB	otherwise
would	MD	would
have	VB	have
collided	VBN	collide
mysteriously	RB	mysteriously
get	VB	get
deflected	VBN	deflect
or	CC	or
they	PP	they
detonate	VBP	detonate
before	IN	before
they	PP	they
can	MD	can
hit	VB	hit
the	DT	the
Earth	NN	earth
.	SENT	.
Now	RB	now
of	IN	of
course	NN	course
,	,	,
as	IN	as
earthlings	NNS	earthling
,	,	,
we	PP	we
know	VBP	know
the	DT	the
reason	NN	reason
would	MD	would
be	VB	be
that	IN	that
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
save	VB	save
ourselves	PP	ourselves
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
prevent	VB	prevent
an	DT	an
impact	NN	impact
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
'	''	'
re	IN	re
an	DT	an
alien	JJ	alien
race	NN	race
who	WP	who
doesn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
any	DT	any
of	IN	of
this	DT	this
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
any	DT	any
concept	NN	concept
of	IN	of
Earth	NP	Earth
intelligence	NN	intelligence
,	,	,
you	PP	you
'	POS	'
d	NN	d
be	VB	be
forced	VBN	force
to	TO	to
put	VB	put
together	RB	together
a	DT	a
physical	JJ	physical
theory	NN	theory
that	WDT	that
explains	VBZ	explain
how	WRB	how
,	,	,
up	RB	up
until	IN	until
a	DT	a
certain	JJ	certain
point	NN	point
in	IN	in
time	NN	time
,	,	,
asteroids	NNS	asteroid
that	WDT	that
would	MD	would
demolish	VB	demolish
the	DT	the
surface	NN	surface
of	IN	of
a	DT	a
planet	NN	planet
mysteriously	RB	mysteriously
stop	VB	stop
doing	VBG	do
that	DT	that
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
claim	VBP	claim
that	IN	that
this	DT	this
is	VBZ	be
the	DT	the
same	JJ	same
question	NN	question
as	IN	as
understanding	VBG	understand
the	DT	the
physical	JJ	physical
nature	NN	nature
of	IN	of
intelligence	NN	intelligence
.	SENT	.
So	RB	so
in	IN	in
this	DT	this
program	NN	program
that	IN	that
I	PP	I
undertook	VBD	undertake
several	JJ	several
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
looked	VBD	look
at	IN	at
a	DT	a
variety	NN	variety
of	IN	of
different	JJ	different
threads	NNS	thread
across	IN	across
science	NN	science
,	,	,
across	IN	across
a	DT	a
variety	NN	variety
of	IN	of
disciplines	NNS	discipline
,	,	,
that	WDT	that
were	VBD	be
pointing	VBG	point
,	,	,
I	PP	I
think	VBP	think
,	,	,
towards	IN	towards
a	DT	a
single	JJ	single
,	,	,
underlying	VBG	underlie
mechanism	NN	mechanism
for	IN	for
intelligence	NN	intelligence
.	SENT	.
In	IN	in
cosmology	NN	cosmology
,	,	,
for	IN	for
example	NN	example
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
a	DT	a
variety	NN	variety
of	IN	of
different	JJ	different
threads	NNS	thread
of	IN	of
evidence	NN	evidence
that	IN	that
our	PP$	our
universe	NN	universe
appears	VBZ	appear
to	TO	to
be	VB	be
finely	RB	finely
tuned	VBN	tune
for	IN	for
the	DT	the
development	NN	development
of	IN	of
intelligence	NN	intelligence
,	,	,
and	CC	and
,	,	,
in	IN	in
particular	JJ	particular
