What	WP	what
I	PP	I
'	POS	'
m	NN	m
about	RB	about
to	TO	to
share	VB	share
with	IN	with
you	PP	you
are	VBP	be
findings	NNS	finding
from	IN	from
a	DT	a
study	NN	study
of	IN	of
the	DT	the
brains	NNS	brain
of	IN	of
more	JJR	more
than	IN	than
1	CD	@card@
,	,	,
000	CD	@card@
children	NNS	child
and	CC	and
adolescents	NNS	adolescent
.	SENT	.
Now	RB	now
,	,	,
these	DT	these
were	VBD	be
children	NNS	child
who	WP	who
were	VBD	be
recruited	VBN	recruit
from	IN	from
diverse	JJ	diverse
homes	NNS	home
around	IN	around
the	DT	the
United	NP	United
States	NPS	States
,	,	,
and	CC	and
this	DT	this
picture	NN	picture
is	VBZ	be
an	DT	an
average	NN	average
of	IN	of
all	DT	all
of	IN	of
their	PP$	their
brains	NNS	brain
.	SENT	.
The	DT	the
front	NN	front
of	IN	of
this	DT	this
average	JJ	average
brain	NN	brain
is	VBZ	be
on	IN	on
your	PP$	your
left	NN	left
and	CC	and
the	DT	the
back	NN	back
of	IN	of
this	DT	this
average	JJ	average
brain	NN	brain
is	VBZ	be
on	IN	on
your	PP$	your
right	NN	right
.	SENT	.
Now	RB	now
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
were	VBD	be
very	RB	very
interested	JJ	interested
in	RB	in
was	VBD	be
the	DT	the
surface	NN	surface
area	NN	area
of	IN	of
the	DT	the
cerebral	JJ	cerebral
cortex	NN	cortex
,	,	,
or	CC	or
the	DT	the
thin	JJ	thin
,	,	,
wrinkly	JJ	wrinkly
layer	NN	layer
on	IN	on
the	DT	the
outer	JJ	outer
surface	NN	surface
of	IN	of
the	DT	the
brain	NN	brain
that	WDT	that
does	VBZ	do
most	JJS	most
of	IN	of
the	DT	the
cognitive	JJ	cognitive
heavy	JJ	heavy
lifting	NN	lifting
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
past	JJ	past
work	NN	work
by	IN	by
other	JJ	other
scientists	NNS	scientist
has	VBZ	have
suggested	VBN	suggest
that	IN	that
in	IN	in
many	JJ	many
cases	NNS	case
,	,	,
a	DT	a
larger	JJR	large
cortical	JJ	cortical
surface	NN	surface
area	NN	area
is	VBZ	be
often	RB	often
associated	VBN	associate
with	IN	with
higher	JJR	high
intelligence	NN	intelligence
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
this	DT	this
study	NN	study
,	,	,
we	PP	we
found	VBD	find
one	CD	one
factor	NN	factor
that	WDT	that
was	VBD	be
associated	VBN	associate
with	IN	with
the	DT	the
cortical	JJ	cortical
surface	NN	surface
area	NN	area
across	IN	across
nearly	RB	nearly
the	DT	the
entire	JJ	entire
surface	NN	surface
of	IN	of
the	DT	the
brain	NN	brain
.	SENT	.
That	DT	that
factor	NN	factor
was	VBD	be
family	NN	family
income	NN	income
.	SENT	.
Now	RB	now
,	,	,
here	RB	here
,	,	,
every	DT	every
point	NN	point
you	PP	you
see	VBP	see
in	IN	in
color	NN	color
is	VBZ	be
a	DT	a
point	NN	point
where	WRB	where
higher	JJR	high
family	NN	family
income	NN	income
was	VBD	be
associated	VBN	associate
with	IN	with
a	DT	a
larger	JJR	large
cortical	JJ	cortical
surface	NN	surface
area	NN	area
in	IN	in
that	DT	that
spot	NN	spot
.	SENT	.
And	CC	and
there	EX	there
were	VBD	be
some	DT	some
regions	NNS	region
,	,	,
shown	VBN	show
here	RB	here
in	IN	in
yellow	NN	yellow
,	,	,
where	WRB	where
that	DT	that
association	NN	association
was	VBD	be
particularly	RB	particularly
pronounced	VBN	pronounce
.	SENT	.
And	CC	and
those	DT	those
are	VBP	be
regions	NNS	region
that	IN	that
we	PP	we
know	VBP	know
support	VB	support
a	DT	a
certain	JJ	certain
set	NN	set
of	IN	of
cognitive	JJ	cognitive
skills	NNS	skill
:	:	:
language	NN	language
skills	NNS	skill
like	IN	like
vocabulary	NN	vocabulary
