Four	CD	four
years	NNS	year
ago	RB	ago
today	NN	today
,	,	,
exactly	RB	exactly
,	,	,
actually	RB	actually
,	,	,
I	PP	I
started	VBD	start
a	DT	a
fashion	NN	fashion
blog	NN	<unknown>
called	VBN	call
Style	NP	Style
Rookie	NN	rookie
.	SENT	.
Last	JJ	last
September	NP	September
of	IN	of
2011	CD	@card@
,	,	,
I	PP	I
started	VBD	start
an	DT	an
online	JJ	online
magazine	NN	magazine
for	IN	for
teenage	JJ	teenage
girls	NNS	girl
called	VBN	call
Rookiemag	NP	<unknown>
.	SENT	.
com	NN	com
.	SENT	.
My	PP$	my
name	NN	name
'	POS	'
s	NN	S
Tavi	NP	Tavi
Gevinson	NP	Gevinson
,	,	,
and	CC	and
the	DT	the
title	NN	title
of	IN	of
my	PP$	my
talk	NN	talk
is	VBZ	be
"	``	"
Still	RB	still
Figuring	VBG	figure
It	PP	it
Out	IN	out
,	,	,
"	''	"
and	CC	and
the	DT	the
MS	NN	Ms
Paint	NN	paint
quality	NN	quality
of	IN	of
my	PP$	my
slides	NNS	slide
was	VBD	be
a	DT	a
total	JJ	total
creative	JJ	creative
decision	NN	decision
in	IN	in
keeping	VBG	keep
with	IN	with
today	NN	today
'	POS	'
s	NN	S
theme	NN	theme
,	,	,
and	CC	and
has	VBZ	have
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
my	PP$	my
inability	NN	inability
to	TO	to
use	VB	use
PowerPoint	NN	PowerPoint
.	SENT	.
So	RB	so
I	PP	I
edit	VBP	edit
this	DT	this
site	NN	site
for	IN	for
teenage	JJ	teenage
girls	NNS	girl
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
feminist	NN	feminist
.	SENT	.
I	PP	I
am	VBP	be
kind	JJ	kind
of	IN	of
a	DT	a
pop	JJ	pop
culture	NN	culture
nerd	NN	nerd
,	,	,
and	CC	and
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
about	IN	about
what	WP	what
makes	VBZ	make
a	DT	a
strong	JJ	strong
female	JJ	female
character	NN	character
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
movies	NNS	movie
and	CC	and
TV	NN	TV
shows	NNS	show
,	,	,
these	DT	these
things	NNS	thing
have	VBP	have
influence	NN	influence
.	SENT	.
My	PP$	my
own	JJ	own
website	NN	website
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
the	DT	the
question	NN	question
of	IN	of
what	WP	what
makes	VBZ	make
a	DT	a
strong	JJ	strong
female	JJ	female
character	NN	character
often	RB	often
goes	VBZ	go
misinterpreted	VBN	misinterpret
,	,	,
and	CC	and
instead	RB	instead
we	PP	we
get	VBP	get
these	DT	these
two-dimensional	JJ	two-dimensional
superwomen	NNS	superwoman
who	WP	who
maybe	RB	maybe
have	VBP	have
one	CD	one
quality	NN	quality
that	RB	that
'	POS	'
s	NN	S
played	VBD	play
up	RP	up
a	DT	a
lot	NN	lot
,	,	,
like	IN	like
a	DT	a
Catwoman	NP	Catwoman
type	NN	type
,	,	,
or	CC	or
she	PP	she
plays	VBZ	play
her	PP$	her
