Today	NN	today
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
around	IN	around
the	DT	the
world	NN	world
in	IN	in
18	CD	@card@
minutes	NNS	minute
.	SENT	.
My	PP$	my
base	NN	base
of	IN	of
operations	NNS	operation
is	VBZ	be
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
but	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
at	IN	at
the	DT	the
other	JJ	other
end	NN	end
of	IN	of
the	DT	the
map	NN	map
,	,	,
in	IN	in
Kyoto	NP	Kyoto
,	,	,
Japan	NP	Japan
,	,	,
where	WRB	where
I	PP	I
was	VBD	be
living	VBG	live
with	IN	with
a	DT	a
Japanese	JJ	Japanese
family	NN	family
while	IN	while
I	PP	I
was	VBD	be
doing	VBG	do
part	NN	part
of	IN	of
my	PP$	my
dissertational	JJ	dissertational
research	NN	research
15	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
I	PP	I
knew	VBD	know
even	RB	even
then	RB	then
that	IN	that
I	PP	I
would	MD	would
encounter	VB	encounter
cultural	JJ	cultural
differences	NNS	difference
and	CC	and
misunderstandings	NNS	misunderstanding
,	,	,
but	CC	but
they	PP	they
popped	VBD	pop
up	RB	up
when	WRB	when
I	PP	I
least	RBS	least
expected	VBN	expect
it	PP	it
.	SENT	.
On	IN	on
my	PP$	my
first	JJ	first
day	NN	day
,	,	,
I	PP	I
went	VBD	go
to	TO	to
a	DT	a
restaurant	NN	restaurant
,	,	,
and	CC	and
I	PP	I
ordered	VBD	order
a	DT	a
cup	NN	cup
of	IN	of
green	JJ	green
tea	NN	tea
with	IN	with
sugar	NN	sugar
.	SENT	.
After	IN	after
a	DT	a
pause	NN	pause
,	,	,
the	DT	the
waiter	NN	waiter
said	VBD	say
,	,	,
"	``	"
One	PP	one
does	VBZ	do
not	RB	not
put	VB	put
sugar	NN	sugar
in	IN	in
green	JJ	green
tea	NN	tea
.	SENT	.
"	''	"
"	``	"
I	PP	I
know	VBP	know
,	,	,
"	''	"
I	PP	I
said	VBD	say
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
aware	JJ	aware
of	IN	of
this	DT	this
custom	NN	custom
.	SENT	.
But	CC	but
I	PP	I
really	RB	really
like	VBP	like
my	PP$	my
tea	NN	tea
sweet	JJ	sweet
.	SENT	.
"	''	"
In	IN	in
response	NN	response
,	,	,
he	PP	he
gave	VBD	give
me	PP	me
an	DT	an
even	RB	even
more	RBR	more
courteous	JJ	courteous
version	NN	version
of	IN	of
the	DT	the
same	JJ	same
explanation	NN	explanation
.	SENT	.
"	''	"
One	PP	one
does	VBZ	do
not	RB	not
put	VB	put
sugar	NN	sugar
in	IN	in
green	JJ	green
tea	NN	tea
.	SENT	.
"	''	"
"	``	"
I	PP	I
understand	VBP	understand
,	,	,
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
that	IN	that
the	DT	the
Japanese	NNS	Japanese
do	VBP	do
not	RB	not
put	VB	put
sugar	NN	sugar
in	IN	in
their	PP$	their
green	JJ	green
tea	NN	tea
,	,	,
but	CC	but
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
put	VB	put
some	DT	some
sugar	NN	sugar
in	IN	in
my	PP$	my
green	JJ	green
tea	NN	tea
.	SENT	.
"	''	"
Surprised	VBN	surprise
by	IN	by
my	PP$	my
insistence	NN	insistence
,	,	,
the	DT	the
waiter	NN	waiter
took	VBD	take
up	RP	up
the	DT	the
issue	NN	issue
with	IN	with
the	DT	the
manager	NN	manager
.	SENT	.
Pretty	RB	pretty
soon	RB	soon
,	,	,
a	DT	a
lengthy	JJ	lengthy
discussion	NN	discussion
ensued	VBD	ensue
,	,	,
and	CC	and
finally	RB	finally
the	DT	the
manager	NN	manager
came	VBD	come
over	RP	over
to	TO	to
me	PP	me
and	CC	and
said	VBD	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
very	RB	very
sorry	JJ	sorry
.	SENT	.
We	PP	we
do	VBP	do
not	RB	not
have	VB	have
sugar	NN	sugar
.	SENT	.
"	''	"
Well	RB	well
,	,	,
since	IN	since
I	PP	I
couldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
my	PP$	my
tea	NN	tea
the	DT	the
way	NN	way
I	PP	I
wanted	VBD	want
it	PP	it
,	,	,
I	PP	I
ordered	VBD	order
a	DT	a
cup	NN	cup
of	IN	of
coffee	NN	coffee
,	,	,
which	WDT	which
the	DT	the
waiter	NN	waiter
brought	VBD	bring
over	RP	over
promptly	RB	promptly
.	SENT	.
Resting	VBG	rest
on	IN	on
the	DT	the
saucer	NN	saucer
were	VBD	be
two	CD	two
packets	NNS	packet
of	IN	of
sugar	NN	sugar
.	SENT	.
My	PP$	my
failure	NN	failure
to	TO	to
procure	VB	procure
myself	PP	myself
a	DT	a
cup	NN	cup
of	IN	of
sweet	JJ	sweet
,	,	,
green	JJ	green
tea	NN	tea
was	VBD	be
not	RB	not
due	JJ	due
to	TO	to
a	DT	a
simple	JJ	simple
misunderstanding	NN	misunderstanding
.	SENT	.
This	DT	this
was	VBD	be
due	JJ	due
to	TO	to
a	DT	a
fundamental	JJ	fundamental
difference	NN	difference
