OK	UH	OK
,	,	,
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
a	DT	a
moment	NN	moment
to	TO	to
let	VB	let
each	DT	each
of	IN	of
you	PP	you
think	VBP	think
to	TO	to
yourselves	PP	yourselves
about	IN	about
the	DT	the
last	JJ	last
time	NN	time
you	PP	you
sent	VBD	send
or	CC	or
received	VBD	receive
a	DT	a
fax	NN	fax
.	SENT	.
Well	RB	well
,	,	,
for	IN	for
me	PP	me
,	,	,
it	PP	it
was	VBD	be
this	DT	this
morning	NN	morning
,	,	,
because	IN	because
one	CD	one
piece	NN	piece
of	IN	of
my	PP$	my
work	NN	work
is	VBZ	be
making	VBG	make
sure	RB	sure
that	DT	that
everyone	NN	everyone
in	IN	in
the	DT	the
US	NP	US
has	VBZ	have
the	DT	the
information	NN	information
that	IN	that
they	PP	they
need	VBP	need
to	TO	to
make	VB	make
decisions	NNS	decision
about	IN	about
the	DT	the
candidates	NNS	candidate
on	IN	on
their	PP$	their
ballot	NN	ballot
.	SENT	.
And	CC	and
collecting	VBG	collect
that	DT	that
information	NN	information
from	IN	from
the	DT	the
local	JJ	local
government	NN	government
offices	NNS	office
responsible	JJ	responsible
for	IN	for
maintaining	VBG	maintain
it	PP	it
means	VBZ	mean
sending	VBG	send
and	CC	and
receiving	VBG	receive
a	DT	a
lot	NN	lot
of	IN	of
faxes	NNS	fax
.	SENT	.
Voting	NN	voting
is	VBZ	be
one	CD	one
of	IN	of
our	PP$	our
most	RBS	most
fundamental	JJ	fundamental
rights	NNS	right
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
tangible	JJ	tangible
ways	NNS	way
that	IN	that
each	DT	each
and	CC	and
every	DT	every
one	CD	one
of	IN	of
us	PP	us
can	MD	can
shape	VB	shape
our	PP$	our
communities	NNS	community
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
enter	VBP	enter
this	DT	this
fourth	JJ	fourth
industrial	JJ	industrial
revolution	NN	revolution
,	,	,
where	WRB	where
technology	NN	technology
is	VBZ	be
changing	VBG	change
everything	NN	everything
around	IN	around
us	PP	us
,	,	,
you	PP	you
would	MD	would
think	VB	think
,	,	,
with	IN	with
something	NN	something
as	IN	as
important	JJ	important
as	IN	as
the	DT	the
right	NN	right
to	TO	to
vote	VB	vote
,	,	,
that	IN	that
we	PP	we
would	MD	would
have	VB	have
the	DT	the
most	RBS	most
modern	JJ	modern
,	,	,
secure	JJ	secure
,	,	,
inclusive	JJ	inclusive
system	NN	system
that	WDT	that
could	MD	could
exist	VB	exist
.	SENT	.
.	SENT	.
.	SENT	.
But	CC	but
we	PP	we
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
When	WRB	when
we	PP	we
look	VBP	look
at	IN	at
comparable	JJ	comparable
democracies	NNS	democracy
,	,	,
the	DT	the
US	NP	US
has	VBZ	have
one	CD	one
of	IN	of
the	DT	the
lowest	JJS	low
voter	NN	voter
turnout	NN	turnout
rates	NNS	rate
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
system	NN	system
where	WRB	where
even	RB	even
the	DT	the
most	RBS	most
persistent	JJ	persistent
voters	NNS	voter
come	VBP	come
up	RP	up
against	IN	against
exhausting	JJ	exhausting
barriers	NNS	barrier
.	SENT	.
A	DT	a
system	NN	system
where	WRB	where
20th-	JJ	<unknown>
century	NN	century
technology	NN	technology
—	:	-
like	IN	like
fax	NN	fax
machines	NNS	machine
—	:	-
and	CC	and
outdated	JJ	outdated
practices	NNS	practice
stand	VBP	stand
in	IN	in
the	DT	the
way	NN	way
of	IN	of
full	JJ	full
,	,	,
vibrant	JJ	vibrant
participation	NN	participation
.	SENT	.
In	IN	in
US	NP	US
presidential	JJ	presidential
elections	NNS	election
,	,	,
turnout	NN	turnout
hovers	NNS	hover
around	IN	around
60	CD	@card@
percent	NN	percent
.	SENT	.
The	DT	the
numbers	NNS	number
are	VBP	be
even	RB	even
lower	JJR	low
for	IN	for
local	JJ	local
elections	NNS	election
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
nearly	RB	nearly
40	CD	@card@
percent	NN	percent
of	IN	of
Americans	NPS	Americans
aren	NNS	<unknown>
'	POS	'
t	NN	t
voters	NNS	voter
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
nearly	RB	nearly
100	CD	@card@
million	CD	million
people	NNS	people
.	SENT	.
I	PP	I
believe	VBP	believe
in	IN	in
something	NN	something
very	RB	very
straightforward	JJ	straightforward
:	:	:
that	DT	that
everyone	NN	everyone
should	MD	should
have	VB	have
the	DT	the
information	NN	information
that	IN	that
they	PP	they
need	VBP	need
to	TO	to
become	VB	become
a	DT	a
voter	NN	voter
,	,	,
that	IN	that
the	DT	the
voting	NN	voting
process	NN	process
should	MD	should
be	VB	be
seamless	JJ	seamless
and	CC	and
secure	JJ	secure
and	CC	and
that	IN	that
every	DT	every
voter	NN	voter
should	MD	should
have	VB	have
information	NN	information
they	PP	they
trust	VBP	trust
to	TO	to
make	VB	make
decisions	NNS	decision
about	IN	about
the	DT	the
candidates	NNS	candidate
on	IN	on
their	PP$	their
ballot	NN	ballot
.	SENT	.
Because	IN	because
when	WRB	when
more	JJR	more
people	NNS	people
vote	NN	vote
