Six	CD	six
months	NNS	month
ago	RB	ago
,	,	,
I	PP	I
got	VBD	get
an	DT	an
email	NN	<unknown>
from	IN	from
a	DT	a
man	NN	man
in	IN	in
Israel	NP	Israel
who	WP	who
had	VBD	have
read	VBN	read
one	CD	one
of	IN	of
my	PP$	my
books	NNS	book
,	,	,
and	CC	and
the	DT	the
email	NN	<unknown>
said	VBD	say
,	,	,
"	``	"
You	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
me	PP	me
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
your	PP$	your
12th	JJ	12th
cousin	NN	cousin
.	SENT	.
"	``	"
And	CC	and
it	PP	it
said	VBD	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
a	DT	a
family	NN	family
tree	NN	tree
with	IN	with
80	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
on	IN	on
it	PP	it
,	,	,
including	VBG	include
you	PP	you
,	,	,
Karl	NP	Karl
Marx	NP	Marx
,	,	,
and	CC	and
several	JJ	several
European	JJ	European
aristocrats	NNS	aristocrat
.	SENT	.
"	``	"
Now	RB	now
I	PP	I
did	VBD	do
not	RB	not
know	VB	know
what	WP	what
to	TO	to
make	VB	make
of	IN	of
this	DT	this
.	SENT	.
Part	NN	part
of	IN	of
me	PP	me
was	VBD	be
like	JJ	like
,	,	,
okay	JJ	okay
,	,	,
when	WRB	when
'	POS	'
s	NN	S
he	PP	he
going	VBG	go
to	TO	to
ask	VB	ask
me	PP	me
to	TO	to
wire	VB	wire
10	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
to	TO	to
his	PP$	his
Nigerian	JJ	Nigerian
bank	NN	bank
,	,	,
right	RB	right
?	SENT	?
I	PP	I
also	RB	also
thought	VBD	think
,	,	,
80	CD	@card@
,	,	,
000	CD	@card@
relatives	NNS	relative
,	,	,
do	VBP	do
I	PP	I
want	VBP	want
that	RB	that
?	SENT	?
I	PP	I
have	VBP	have
enough	JJ	enough
trouble	NN	trouble
with	IN	with
some	DT	some
of	IN	of
the	DT	the
ones	NNS	one
I	PP	I
have	VBP	have
already	RB	already
.	SENT	.
And	CC	and
I	PP	I
won	VBD	win
'	''	'
t	NN	t
name	NN	name
names	NNS	name
,	,	,
but	CC	but
you	PP	you
know	VBP	know
who	WP	who
you	PP	you
are	VBP	be
.	SENT	.
But	CC	but
another	DT	another
part	NN	part
of	IN	of
me	PP	me
said	VBD	say
,	,	,
this	DT	this
is	VBZ	be
remarkable	JJ	remarkable
.	SENT	.
Here	RB	here
I	PP	I
am	VBP	be
alone	RB	alone
in	IN	in
my	PP$	my
office	NN	office
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
alone	RB	alone
at	IN	at
all	DT	all
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
connected	VBN	connect
to	TO	to
80	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
four	CD	four
Madison	NP	Madison
Square	NP	Square
Gardens	NPS	Gardens
full	JJ	full
of	IN	of
cousins	NNS	cousin
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
great	JJ	great
,	,	,
and	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
irritating	VBG	irritate
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
all	RB	all
related	VBN	relate
to	TO	to
me	PP	me
.	SENT	.
So	IN	so
this	DT	this
email	NN	<unknown>
inspired	VBD	inspire
me	PP	me
to	TO	to
dive	VB	dive
into	IN	into
genealogy	NN	genealogy
,	,	,
which	WDT	which
I	PP	I
always	RB	always
thought	VBD	think
was	VBD	be
a	DT	a
very	RB	very
staid	JJ	staid
and	CC	and
proper	JJ	proper
field	NN	field
,	,	,
but	CC	but
it	PP	it
turns	VBZ	turn
out	IN	out
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
through	IN	through
a	DT	a
fascinating	JJ	fascinating
revolution	NN	revolution
,	,	,
and	CC	and
a	DT	a
controversial	JJ	controversial
one	CD	one
.	SENT	.
Partly	RB	partly
,	,	,
this	DT	this
is	VBZ	be
because	IN	because
of	IN	of
DNA	NN	DNA
and	CC	and
genetic	JJ	genetic
testing	NN	testing
,	,	,
but	CC	but
partly	RB	partly
,	,	,
it	PP	it
'	POS	'
s	NN	S
because	IN	because
of	IN	of
the	DT	the
Internet	NN	Internet
.	SENT	.
There	EX	there
are	VBP	be
sites	NNS	site
that	WDT	that
now	RB	now
take	VBP	take
the	DT	the
Wikipedia	NP	<unknown>
approach	NN	approach
to	TO	to
family	NN	family
trees	NNS	tree
,	,	,
collaboration	NN	collaboration
and	CC	and
crowdsourcing	NN	<unknown>
,	,	,
and	CC	and
what	WP	what
you	PP	you
do	VBP	do
is	VBZ	be
,	,	,
you	PP	you
load	VBP	load
your	PP$	your
family	NN	family
tree	NN	tree
on	IN	on
,	,	,
and	CC	and
then	RB	then
these	DT	these
sites	NNS	site
search	VBP	search
to	TO	to
see	VB	see
if	IN	if
the	DT	the
A	NP	A
.	SENT	.
J	NP	J
.	SENT	.
Jacobs	NP	Jacobs
in	IN	in
your	PP$	your
tree	NN	tree
is	VBZ	be
the	DT	the
same	JJ	same
as	IN	as
the	DT	the
A	NP	A
.	SENT	.
J	NP	J
.	SENT	.
Jacobs	NP	Jacobs
in	IN	in
another	DT	another
tree	NN	tree
,	,	,
and	CC	and
if	IN	if
it	PP	it
is	VBZ	be
,	,	,
then	RB	then
you	PP	you
can	MD	can
combine	VB	combine
,	,	,
and	CC	and
then	RB	then
you	PP	you
combine	VB	combine
and	CC	and
combine	VB	combine
and	CC	and
combine	VB	combine
until	IN	until
you	PP	you
get	VBP	get
these	DT	these
massive	JJ	massive
,	,	,
mega-family	JJ	<unknown>
trees	NNS	tree
with	IN	with
thousands	NNS	thousand
of	IN	of
people	NNS	people
on	IN	on
them	PP	them
,	,	,
or	CC	or
even	RB	even
millions	NNS	million
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
on	IN	on
something	NN	something
on	IN	on
Geni	NP	<unknown>
called	VBD	call
the	DT	the
world	NN	world
family	NN	family
tree	NN	tree
,	,	,
which	WDT	which
has	VBZ	have
no	RB	no
less	JJR	less
than	IN	than
a	DT	a
jaw-dropping	JJ	<unknown>
75	CD	@card@
million	CD	million
people	NNS	people
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
75	CD	@card@
million	CD	million
people	NNS	people
connected	VBN	connect
by	IN	by
blood	NN	blood
or	CC	or
marriage	NN	marriage
,	,	,
sometimes	RB	sometimes
both	DT	both
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
in	IN	in
all	DT	all
seven	CD	seven
continents	NNS	continent
,	,	,
including	VBG	include
Antarctica	NP	Antarctica
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
on	IN	on
it	PP	it
.	SENT	.
Many	JJ	many
of	IN	of
you	PP	you
are	VBP	be
on	IN	on
it	PP	it
,	,	,
whether	IN	whether
you	PP	you
know	VBP	know
it	PP	it
or	CC	or
not	RB	not
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
the	DT	the
links	NNS	link
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
my	PP$	my
cousin	NN	cousin
Gwyneth	NP	Gwyneth
Paltrow	NP	Paltrow
.	SENT	.
She	PP	she
has	VBZ	have
no	DT	no
idea	NN	idea
I	PP	I
exist	VBP	exist
,	,	,
but	CC	but
we	PP	we
are	VBP	be
officially	RB	officially
cousins	NNS	cousin
.	SENT	.
We	PP	we
have	VBP	have
just	RB	just
17	CD	@card@
links	NNS	link
between	IN	between
us	PP	us
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
my	PP$	my
cousin	NN	cousin
Barack	NP	<unknown>
Obama	NP	<unknown>
.	SENT	.
And	CC	and
he	PP	he
is	VBZ	be
my	PP$	my
aunt	NN	aunt
'	POS	'
s	JJ	<unknown>
fifth	JJ	fifth
great-	NN	<unknown>
aunt	NN	aunt
'	POS	'
s	NN	S
husband	NN	husband
'	POS	'
s	NN	S
father	NN	father
'	POS	'
s	NN	S
wife	NN	wife
'	POS	'
s	JJ	<unknown>
seventh	JJ	seventh
great-nephew	NN	great-nephew
,	,	,
so	RB	so
practically	RB	practically
my	PP$	my
old	JJ	old
brother	NN	brother
.	SENT	.
And	CC	and
my	PP$	my
cousin	NN	cousin
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
actor	NN	actor
Kevin	NP	Kevin
Bacon	NP	Bacon
—	:	-
—	:	-
who	WP	who
is	VBZ	be
my	PP$	my
first	JJ	first
cousin	NN	cousin
'	POS	'
s	NN	S
twice	RB	twice
removed	VBN	remove
'	''	'
s	NN	S
wife	NN	wife
'	POS	'
s	NN	S
niece	NN	niece
'	POS	'
s	NN	S
husband	NN	husband
'	POS	'
s	JJ	<unknown>
first	JJ	first
cousin	NN	cousin
once	RB	once
removed	VBN	remove
'	''	'
s	NN	S
niece	NN	niece
'	POS	'
s	NN	S
husband	NN	husband
.	SENT	.
So	RB	so
