Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
A	DT	a
year	NN	year
go	VB	go
at	IN	at
global	JJ	global
Countdown	NN	countdown
'	POS	'
s	JJ	<unknown>
virtual	JJ	virtual
launch	NN	launch
,	,	,
Monica	NP	Monica
Araya	NP	Araya
,	,	,
who	WP	who
,	,	,
among	IN	among
many	JJ	many
other	JJ	other
things	NNS	thing
,	,	,
is	VBZ	be
a	DT	a
distinguished	JJ	distinguished
fellow	NN	fellow
at	IN	at
the	DT	the
ClimateWorks	NP	ClimateWorks
Foundation	NP	Foundation
,	,	,
she	PP	she
shared	VBD	share
news	NN	news
of	IN	of
a	DT	a
campaign	NN	campaign
to	TO	to
take	VB	take
on	IN	on
the	DT	the
massive	JJ	massive
emissions	NNS	emission
from	IN	from
the	DT	the
world	NN	world
'	POS	'
s	NN	S
cars	NNS	car
,	,	,
trucks	NNS	truck
and	CC	and
buses	NNS	bus
,	,	,
etc	FW	etc
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
an	DT	an
exciting	JJ	exciting
update	NN	update
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
.	SENT	.
Monica	NP	Monica
,	,	,
welcome	JJ	welcome
here	RB	here
to	TO	to
the	DT	the
Countdown	NN	countdown
stage	NN	stage
.	SENT	.
Monica	NP	Monica
Araya	NP	Araya
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
great	JJ	great
to	TO	to
be	VB	be
here	RB	here
,	,	,
and	CC	and
so	RB	so
great	JJ	great
to	TO	to
see	VB	see
you	PP	you
in	IN	in
person	NN	person
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
look	VBP	look
,	,	,
you	PP	you
'	POS	'
re	NN	re
up	RB	up
against	IN	against
a	DT	a
vast	JJ	vast
industry	NN	industry
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
a	DT	a
billion	NNS	billion
polluting	VBG	pollute
vehicles	NNS	vehicle
