Roy	NP	Roy
Gould	NP	Gould
:	:	:
Less	RBR	less
than	IN	than
a	DT	a
year	NN	year
from	IN	from
now	RB	now
,	,	,
the	DT	the
world	NN	world
is	VBZ	be
going	VBG	go
to	TO	to
celebrate	VB	celebrate
the	DT	the
International	NP	International
Year	NN	year
of	IN	of
Astronomy	NN	astronomy
,	,	,
which	WDT	which
marks	VBZ	mark
the	DT	the
400th	JJ	<unknown>
anniversary	NN	anniversary
of	IN	of
Galileo	NP	Galileo
'	POS	'
s	JJ	<unknown>
first	JJ	first
glimpse	NN	glimpse
of	IN	of
the	DT	the
night	NN	night
sky	NN	sky
through	IN	through
a	DT	a
telescope	NN	telescope
.	SENT	.
In	IN	in
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
the	DT	the
world	NN	world
is	VBZ	be
also	RB	also
going	VBG	go
to	TO	to
celebrate	VB	celebrate
the	DT	the
launch	NN	launch
of	IN	of
a	DT	a
new	JJ	new
invention	NN	invention
from	IN	from
Microsoft	NP	Microsoft
Research	NP	Research
,	,	,
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
going	VBG	go
to	TO	to
have	VB	have
as	RB	as
profound	JJ	profound
an	DT	an
impact	NN	impact
on	IN	on
the	DT	the
way	NN	way
we	PP	we
view	VBP	view
the	DT	the
universe	NN	universe
as	IN	as
Galileo	NP	Galileo
did	VBD	do
four	CD	four
centuries	NNS	century
ago	RB	ago
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
thank	VB	thank
TED	VB	ted
and	CC	and
Microsoft	NP	Microsoft
for	IN	for
allowing	VBG	allow
me	PP	me
to	TO	to
bring	VB	bring
it	PP	it
to	TO	to
your	PP$	your
attention	NN	attention
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
urge	VB	urge
you	PP	you
,	,	,
when	WRB	when
you	PP	you
get	VBP	get
a	DT	a
chance	NN	chance
,	,	,
to	TO	to
give	VB	give
it	PP	it
a	DT	a
closer	JJR	close
look	NN	look
at	IN	at
the	DT	the
TED	VBP	ted
Lab	NP	Lab
downstairs	NN	downstairs
.	SENT	.
The	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
takes	VBZ	take
the	DT	the
best	JJS	good
images	NNS	image
from	IN	from
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
greatest	JJS	great
telescopes	NNS	telescope
on	IN	on
Earth	NP	Earth
and	CC	and
in	IN	in
space	NN	space
,	,	,
and	CC	and
has	VBZ	have
woven	VBN	weave
them	PP	them
seamlessly	RB	seamlessly
to	TO	to
produce	VB	produce
a	DT	a
holistic	JJ	holistic
view	NN	view
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
change	VB	change
the	DT	the
way	NN	way
we	PP	we
do	VBP	do
astronomy	NN	astronomy
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
change	VB	change
the	DT	the
way	NN	way
we	PP	we
teach	VBP	teach
astronomy	NN	astronomy
and	CC	and
I	PP	I
think	VBP	think
most	RBS	most
importantly	RB	importantly
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
change	VB	change
the	DT	the
way	NN	way
we	PP	we
see	VBP	see
ourselves	PP	ourselves
in	IN	in
the	DT	the
universe	NN	universe
.	SENT	.
If	IN	if
we	PP	we
were	VBD	be
having	VBG	have
this	DT	this
TED	VBP	ted
meeting	NN	meeting
in	IN	in
our	PP$	our
grandparents	NNS	grandparent
'	POS	'
day	NN	day
,	,	,
that	WDT	that
might	MD	might
not	RB	not
be	VB	be
so	RB	so
big	JJ	big
a	DT	a
claim	NN	claim
.	SENT	.
In	IN	in
1920	CD	@card@
,	,	,
for	IN	for
example	NN	example
,	,	,
you	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
allowed	VBD	allow
to	TO	to
drink	VB	drink
;	:	;
if	IN	if
you	PP	you
were	VBD	be
a	DT	a
woman	NN	woman
,	,	,
you	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
allowed	VBD	allow
to	TO	to
vote	VB	vote
;	:	;
and	CC	and
if	IN	if
you	PP	you
looked	VBD	look
up	RP	up
at	IN	at
the	DT	the
stars	NNS	star
and	CC	and
the	DT	the
Milky	JJ	milky
Way	NN	way
on	IN	on
a	DT	a
summer	NN	summer
night	NN	night
,	,	,
what	WP	what
you	PP	you
saw	VBD	see
was	VBD	be
thought	VBN	think
to	TO	to
be	VB	be
the	DT	the
entire	JJ	entire
universe	NN	universe
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
head	NN	head
of	IN	of
Harvard	NP	Harvard
'	POS	'
s	NN	S
observatory	NN	observatory
back	RB	back
then	RB	then
gave	VBD	give
a	DT	a
great	JJ	great
debate	NN	debate
in	IN	in
which	WDT	which
he	PP	he
argued	VBD	argue
that	IN	that
the	DT	the
Milky	JJ	milky
Way	NN	way
Galaxy	NN	galaxy
was	VBD	be
the	DT	the
entire	JJ	entire
universe	NN	universe
.	SENT	.
Harvard	NP	Harvard
was	VBD	be
wrong	JJ	wrong
,	,	,
big	JJ	big
time	NN	time
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
we	PP	we
know	VBP	know
today	NN	today
that	IN	that
galaxies	NNS	galaxy
extend	VBP	extend
far	RB	far
beyond	IN	beyond
our	PP$	our
own	JJ	own
galaxy	NN	galaxy
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
all	PDT	all
the	DT	the
way	NN	way
out	RP	out
to	TO	to
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
observable	JJ	observable
universe	NN	universe
,	,	,
all	PDT	all
the	DT	the
way	NN	way
back	RB	back
in	IN	in
time	NN	time
,	,	,
almost	RB	almost
to	TO	to
the	DT	the
moment	NN	moment
of	IN	of
the	DT	the
Big	NP	Big
Bang	NP	Bang
itself	PP	itself
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
across	IN	across
the	DT	the
entire	JJ	entire
spectrum	NN	spectrum
of	IN	of
light	NN	light
,	,	,
revealing	VBG	reveal
worlds	NNS	world
that	WDT	that
had	VBD	have
previously	RB	previously
been	VBN	be
invisible	JJ	invisible
.	SENT	.
We	PP	we
see	VBP	see
these	DT	these
magnificent	JJ	magnificent
star	NN	star
nurseries	NNS	nursery
,	,	,
where	WRB	where
nature	NN	nature
has	VBZ	have
somehow	RB	somehow
arranged	VBN	arrange
for	IN	for
just	RB	just
the	DT	the
right	JJ	right
numbers	NNS	number
and	CC	and
just	RB	just
the	DT	the
right	JJ	right
sizes	NNS	size
of	IN	of
stars	NNS	star
to	TO	to
be	VB	be
born	VBN	bear
for	IN	for
life	NN	life
to	TO	to
arise	VB	arise
.	SENT	.
We	PP	we
see	VBP	see
alien	JJ	alien
worlds	NNS	world
,	,	,
we	PP	we
see	VBP	see
alien	JJ	alien
solar	JJ	solar
systems	NNS	system
—	:	-
300	CD	@card@
now	RB	now
,	,	,
and	CC	and
still	RB	still
counting	VBG	count
—	:	-
and	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
like	IN	like
us	PP	us
.	SENT	.
We	PP	we
see	VBP	see
black	JJ	black
holes	NNS	hole
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
our	PP$	our
galaxy	NN	galaxy
,	,	,
in	IN	in
the	DT	the
Milky	JJ	milky
Way	NN	way
,	,	,
and	CC	and
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
universe	NN	universe
,	,	,
where	WRB	where
time	NN	time
itself	PP	itself
seems	VBZ	seem
to	TO	to
stand	VB	stand
still	RB	still
.	SENT	.
But	CC	but
until	IN	until
now	RB	now
,	,	,
our	PP$	our
view	NN	view
of	IN	of
the	DT	the
universe	NN	universe
has	VBZ	have
been	VBN	be
disconnected	VBN	disconnect
and	CC	and
fragmented	VBN	fragment
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	IN	that
many	JJ	many
of	IN	of
the	DT	the
marvelous	JJ	marvelous
stories	NNS	story
that	IN	that
nature	NN	nature
has	VBZ	have
to	TO	to
tell	VB	tell
us	PP	us
have	VBP	have
fallen	VBN	fall
through	IN	through
the	DT	the
cracks	NNS	crack
.	SENT	.
