When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
boy	NN	boy
,	,	,
I	PP	I
used	VBD	use
to	TO	to
gaze	VB	gaze
through	IN	through
the	DT	the
microscope	NN	microscope
of	IN	of
my	PP$	my
father	NN	father
at	IN	at
the	DT	the
insects	NNS	insect
in	IN	in
amber	NN	amber
that	IN	that
he	PP	he
kept	VBD	keep
in	IN	in
the	DT	the
house	NN	house
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
remarkably	RB	remarkably
well	RB	well
preserved	VBN	preserve
,	,	,
morphologically	RB	morphologically
just	RB	just
phenomenal	JJ	phenomenal
.	SENT	.
And	CC	and
we	PP	we
used	VBD	use
to	TO	to
imagine	VB	imagine
that	IN	that
someday	RB	someday
,	,	,
they	PP	they
would	MD	would
actually	RB	actually
come	VB	come
to	TO	to
life	NN	life
and	CC	and
they	PP	they
would	MD	would
crawl	VB	crawl
out	RP	out
of	IN	of
the	DT	the
resin	NN	resin
,	,	,
and	CC	and
,	,	,
if	IN	if
they	PP	they
could	MD	could
,	,	,
they	PP	they
would	MD	would
fly	VB	fly
away	RB	away
.	SENT	.
If	IN	if
you	PP	you
had	VBD	have
asked	VBN	ask
me	PP	me
10	CD	@card@
years	NNS	year
ago	RB	ago
whether	IN	whether
or	CC	or
not	RB	not
we	PP	we
would	MD	would
ever	RB	ever
be	VB	be
able	JJ	able
to	TO	to
sequence	NN	sequence
the	DT	the
genome	NN	genome
of	IN	of
extinct	JJ	extinct
animals	NNS	animal
,	,	,
I	PP	I
would	MD	would
have	VB	have
told	VBN	tell
you	PP	you
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
unlikely	JJ	unlikely
.	SENT	.
If	IN	if
you	PP	you
had	VBD	have
asked	VBN	ask
whether	IN	whether
or	CC	or
not	RB	not
we	PP	we
would	MD	would
actually	RB	actually
be	VB	be
able	JJ	able
to	TO	to
revive	VB	revive
an	DT	an
extinct	JJ	extinct
species	NN	species
,	,	,
I	PP	I
would	MD	would
have	VB	have
said	VBN	say
,	,	,
pipe	NN	pipe
dream	NN	dream
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
actually	RB	actually
standing	VBG	stand
here	RB	here
today	NN	today
,	,	,
amazingly	RB	amazingly
,	,	,
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
not	RB	not
only	RB	only
is	VBZ	be
the	DT	the
sequencing	VBG	sequence
of	IN	of
extinct	JJ	extinct
genomes	NNS	genome
a	DT	a
possibility	NN	possibility
,	,	,
actually	RB	actually
a	DT	a
modern-day	JJ	modern-day
reality	NN	reality
,	,	,
but	CC	but
the	DT	the
revival	NN	revival
of	IN	of
an	DT	an
extinct	JJ	extinct
species	NN	species
is	VBZ	be
actually	RB	actually
within	IN	within
reach	NN	reach
,	,	,
maybe	RB	maybe
not	RB	not
from	IN	from
the	DT	the
