Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
an	DT	an
interview	NN	interview
with	IN	with
a	DT	a
difference	NN	difference
.	SENT	.
On	IN	on
the	DT	the
basis	NN	basis
that	IN	that
a	DT	a
picture	NN	picture
is	VBZ	be
worth	JJ	worth
a	DT	a
thousand	CD	thousand
words	NNS	word
,	,	,
what	WP	what
I	PP	I
did	VBD	do
was	VBD	be
,	,	,
I	PP	I
asked	VBD	ask
Bill	NP	Bill
and	CC	and
Melinda	NP	Melinda
to	TO	to
dig	VB	dig
out	RP	out
from	IN	from
their	PP$	their
archive	NN	archive
some	DT	some
images	NNS	image
that	WDT	that
would	MD	would
help	VB	help
explain	VB	explain
some	DT	some
of	IN	of
what	WP	what
they	PP	they
'	POS	'
ve	NNS	<unknown>
done	VBN	do
,	,	,
and	CC	and
do	VBP	do
a	DT	a
few	JJ	few
things	NNS	thing
that	DT	that
way	NN	way
.	SENT	.
So	RB	so
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
start	VB	start
here	RB	here
.	SENT	.
Melinda	NP	Melinda
,	,	,
when	WRB	when
and	CC	and
where	WRB	where
was	VBD	be
this	DT	this
,	,	,
and	CC	and
who	WP	who
is	VBZ	be
that	DT	that
handsome	JJ	handsome
man	NN	man
next	JJ	next
to	TO	to
you	PP	you
?	SENT	?
Melinda	NP	Melinda
Gates	NP	Gates
:	:	:
With	IN	with
those	DT	those
big	JJ	big
glasses	NNS	glass
,	,	,
huh	NP	Huh
?	SENT	?
This	DT	this
is	VBZ	be
in	IN	in
Africa	NP	Africa
,	,	,
our	PP$	our
very	RB	very
first	JJ	first
trip	NN	trip
,	,	,
the	DT	the
first	JJ	first
time	NN	time
either	CC	either
of	IN	of
us	PP	us
had	VBD	have
ever	RB	ever
been	VBN	be
to	TO	to
Africa	NP	Africa
,	,	,
in	IN	in
the	DT	the
fall	NN	fall
of	IN	of
1993	CD	@card@
.	SENT	.
We	PP	we
were	VBD	be
already	RB	already
engaged	VBN	engage
to	TO	to
