Most	JJS	most
of	IN	of
you	PP	you
can	MD	can
probably	RB	probably
relate	VB	relate
to	TO	to
what	WP	what
I	PP	I
'	POS	'
m	NN	m
feeling	NN	feeling
right	RB	right
now	RB	now
.	SENT	.
My	PP$	my
heart	NN	heart
is	VBZ	be
racing	VBG	race
in	IN	in
my	PP$	my
chest	NN	chest
.	SENT	.
My	PP$	my
palms	NNS	palm
are	VBP	be
a	DT	a
little	JJ	little
bit	NN	bit
clammy	JJ	clammy
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sweating	VBG	sweat
.	SENT	.
And	CC	and
my	PP$	my
breath	NN	breath
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
shallow	NN	shallow
.	SENT	.
Now	RB	now
,	,	,
these	DT	these
familiar	JJ	familiar
sensations	NNS	sensation
are	VBP	be
obviously	RB	obviously
the	DT	the
result	NN	result
of	IN	of
standing	VBG	stand
up	RP	up
in	IN	in
front	NN	front
of	IN	of
a	DT	a
thousand	CD	thousand
of	IN	of
you	PP	you
and	CC	and
giving	VBG	give
a	DT	a
talk	NN	talk
that	WDT	that
might	MD	might
be	VB	be
streamed	VBN	stream
online	JJ	online
to	TO	to
perhaps	RB	perhaps
a	DT	a
million	CD	million
more	JJR	more
.	SENT	.
But	CC	but
the	DT	the
physical	JJ	physical
sensations	NNS	sensation
I	PP	I
'	POS	'
m	NN	m
experiencing	VBG	experience
right	RB	right
now	RB	now
are	VBP	be
actually	RB	actually
the	DT	the
result	NN	result
of	IN	of
a	DT	a
much	RB	much
more	RBR	more
basic	JJ	basic
mind-	NN	<unknown>
body	NN	body
mechanism	NN	mechanism
.	SENT	.
My	PP$	my
nervous	JJ	nervous
system	NN	system
is	VBZ	be
sending	VBG	send
a	DT	a
flood	NN	flood
of	IN	of
hormones	NNS	hormone
like	IN	like
cortisol	NN	cortisol
and	CC	and
adrenaline	NN	adrenaline
into	IN	into
my	PP$	my
bloodstream	NN	bloodstream
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
old	JJ	old
and	CC	and
very	RB	very
necessary	JJ	necessary
response	NN	response
