On	IN	on
a	DT	a
usual	JJ	usual
Saturday	NP	Saturday
,	,	,
you	PP	you
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
find	VB	find
me	PP	me
here	RB	here
.	SENT	.
And	CC	and
I	PP	I
mean	VBP	mean
,	,	,
of	IN	of
course	NN	course
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
give	VB	give
TEDx	NP	<unknown>
Talks	NNS	talk
every	DT	every
Saturday	NP	Saturday
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
mean	VBP	mean
is	VBZ	be
,	,	,
you	PP	you
probably	RB	probably
wouldn	NN	<unknown>
'	POS	'
t	NN	t
find	VB	find
me	PP	me
in	IN	in
a	DT	a
museum	NN	museum
.	SENT	.
Rather	RB	rather
,	,	,
if	IN	if
you	PP	you
were	VBD	be
looking	VBG	look
for	IN	for
me	PP	me
,	,	,
you	PP	you
'	POS	'
d	NN	d
probably	RB	probably
have	VBP	have
to	TO	to
go	VB	go
to	TO	to
the	DT	the
mountains	NNS	mountain
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
because	IN	because
I	PP	I
absolutely	RB	absolutely
love	VBP	love
hiking	VBG	hike
.	SENT	.
And	CC	and
in	IN	in
addition	NN	addition
to	TO	to
just	RB	just
being	VBG	be
outside	RB	outside
and	CC	and
being	VBG	be
in	IN	in
nature	NN	nature
,	,	,
what	WP	what
I	PP	I
really	RB	really
like	VBP	like
is	VBZ	be
this	DT	this
feeling	NN	feeling
of	IN	of
physical	JJ	physical
exhaustion	NN	exhaustion
,	,	,
sort	NN	sort
of	IN	of
this	DT	this
satisfaction	NN	satisfaction
you	PP	you
can	MD	can
feel	VB	feel
in	IN	in
every	DT	every
single	JJ	single
muscle	NN	muscle
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
evening	NN	evening
,	,	,
when	WRB	when
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
go	VB	go
to	TO	to
bed	NN	bed
,	,	,
I	PP	I
absolutely	RB	absolutely
cherish	VBP	cherish
this	DT	this
amazing	JJ	amazing
sleepiness	NN	sleepiness
that	WDT	that
fills	VBZ	fill
you	PP	you
from	IN	from
head	NN	head
to	TO	to
toe	VB	toe
.	SENT	.
Now	RB	now
you	PP	you
might	MD	might
say	VB	say
,	,	,
"	``	"
Well	UH	well
,	,	,
of	IN	of
course	NN	course
she	PP	she
'	POS	'
s	NNS	<unknown>
tired	JJ	tired
.	SENT	.
She	NN	she
'	POS	'
s	RB	<unknown>
been	VBN	be
hiking	VBG	hike
all	DT	all
day	NN	day
.	SENT	.
Plus	CC	plus
,	,	,
not	RB	not
to	TO	to
forget	VB	forget
about	IN	about
the	DT	the
effects	NNS	effect
of	IN	of
supposedly	RB	supposedly
fresh	JJ	fresh
air	NN	air
.	SENT	.
"	``	"
But	CC	but
there	EX	there
is	VBZ	be
one	CD	one
factor	NN	factor
that	DT	that
most	RBS	most
likely	JJ	likely
outweighs	VBZ	outweigh
the	DT	the
