Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Welcome	NN	welcome
,	,	,
Bill	NP	Bill
Gates	NP	Gates
.	SENT	.
Bill	NP	Bill
Gates	NP	Gates
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
CA	MD	ca
:	:	:
Alright	RB	alright
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
have	VB	have
you	PP	you
here	RB	here
,	,	,
Bill	NP	Bill
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
had	VBD	have
a	DT	a
TED	VBP	ted
conversation	NN	conversation
about	IN	about
three	CD	three
months	NNS	month
ago	RB	ago
about	IN	about
this	DT	this
pandemic	NN	pandemic
,	,	,
and	CC	and
back	RB	back
then	RB	then
,	,	,
I	PP	I
think	VBP	think
fewer	JJR	few
than	IN	than
--	:	--
I	PP	I
think	VBP	think
that	WDT	that
was	VBD	be
the	DT	the
end	NN	end
of	IN	of
March	NP	March
--	:	--
back	RB	back
then	RB	then
,	,	,
fewer	JJR	few
than	IN	than
1	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
in	IN	in
the	DT	the
US	NP	US
had	VBD	have
died	VBN	die
and	CC	and
fewer	JJR	few
than	IN	than
20	CD	@card@
,	,	,
000	CD	@card@
worldwide	RB	worldwide
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
numbers	NNS	number
now	RB	now
are	VBP	be
,	,	,
like	VB	like
,	,	,
128	CD	@card@
,	,	,
000	CD	@card@
dead	NN	dead
in	IN	in
the	DT	the
US	NP	US
and	CC	and
more	JJR	more
than	IN	than
half	PDT	half
a	DT	a
million	CD	million
worldwide	RB	worldwide
,	,	,
in	IN	in
three	CD	three
months	NNS	month
.	SENT	.
In	IN	in
three	CD	three
months	NNS	month
.	SENT	.
What	WP	what
is	VBZ	be
your	PP$	your
diagnosis	NN	diagnosis
of	IN	of
what	WP	what
is	VBZ	be
possible	JJ	possible
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
this	DT	this
year	NN	year
?	SENT	?
You	PP	you
