Diminish	VB	diminish
is	VBZ	be
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
a	DT	a
roller	NN	roller
coaster	NN	coaster
and	CC	and
stuck	JJ	stuck
or	CC	or
maybe	RB	maybe
a	DT	a
stuck	JJ	stuck
roller	NN	roller
coaster	NN	coaster
,	,	,
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
stagnant	JJ	stagnant
and	CC	and
confusing	JJ	confusing
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
business	NN	business
as	IN	as
dormant	JJ	dormant
and	CC	and
directionless	JJ	directionless
,	,	,
emergent	JJ	emergent
and	CC	and
a	DT	a
restructuring	NN	restructuring
,	,	,
weird	JJ	weird
transitional	JJ	transitional
,	,	,
a	DT	a
zigzagging	VBG	zigzag
period	NN	period
of	IN	of
law	NN	law
and	CC	and
grief	NN	grief
.	SENT	.
Oh	UH	oh
,	,	,
yeah	RB	yeah
,	,	,
listeners	NNS	listener
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
weird	JJ	weird
time	NN	time
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
,	,	,
for	IN	for
most	JJS	most
of	IN	of
us	PP	us
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
work	VB	work
,	,	,
our	PP$	our
businesses	NNS	business
and	CC	and
our	PP$	our
lives	NNS	life
.	SENT	.
And	CC	and
I	PP	I
wish	VBP	wish
that	IN	that
I	PP	I
could	MD	could
get	VB	get
a	DT	a
clear	JJ	clear
vision	NN	vision
of	IN	of
where	WRB	where
I	PP	I
ultimately	RB	ultimately
want	VBP	want
to	TO	to
go	VB	go
so	RB	so
that	IN	that
I	PP	I
can	MD	can
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
chart	VB	chart
a	DT	a
path	NN	path
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
We	PP	we
have	VBP	have
had	VBD	have
to	TO	to
shelve	VB	shelve
so	RB	so
many	JJ	many
of	IN	of
our	PP$	our
big	JJ	big
plans	NNS	plan
and	CC	and
rethink	VB	rethink
what	WP	what
the	DT	the
heck	NN	heck
comes	VBZ	come
next	JJ	next
.	SENT	.
Where	WRB	where
to	TO	to
begin	VB	begin
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
just	RB	just
be	VB	be
patient	JJ	patient
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
would	MD	would
just	RB	just
fast	RB	fast
forward	RB	forward
to	TO	to
where	WRB	where
my	PP$	my
business	NN	business
is	VBZ	be
established	VBN	establish
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
figure	VB	figure
out	RP	out
what	WP	what
that	DT	that
next	JJ	next
direction	NN	direction
should	MD	should
be	VB	be
.	SENT	.
Is	VBZ	be
Zig-Zag	NN	zig-zag
the	DT	the
business	NN	business
podcast	NN	<unknown>
about	IN	about
being	VBG	be
human	JJ	human
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
a	DT	a
new	JJ	new
semrad	NN	<unknown>
,	,	,
and	CC	and
this	DT	this
new	JJ	new
season	NN	season
is	VBZ	be
something	NN	something
I	PP	I
'	POS	'
m	NN	m
calling	VBG	call
the	DT	the
Zig-Zag	NN	zig-zag
Project	NN	project
six	CD	six
episodes	NNS	episode
to	TO	to
get	VB	get
you	PP	you
from	IN	from
stuck	VBN	stick
to	TO	to
inspired	JJ	inspired
.	SENT	.
Every	DT	every
two	CD	two
weeks	NNS	week
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
learn	VBP	learn
about	IN	about
an	DT	an
issue	NN	issue
in	IN	in
work	NN	work
and	CC	and
business	NN	business
,	,	,
an	DT	an
idea	NN	idea
about	IN	about
how	WRB	how
to	TO	to
make	VB	make
it	PP	it
better	JJR	good
with	IN	with
stories	NNS	story
from	IN	from
listeners	NNS	listener
.	SENT	.
And	CC	and
Innosight	NP	<unknown>
,	,	,
from	IN	from
the	DT	the
folks	NNS	folk
who	WP	who
inspired	VBD	inspire
me	PP	me
to	TO	to
come	VB	come
up	RP	up
with	IN	with
an	DT	an
assignment	NN	assignment
for	IN	for
you	PP	you
to	TO	to
do	VB	do
the	DT	the
assignments	NNS	assignment
might	MD	might
remind	VB	remind
you	PP	you
of	IN	of
ones	NNS	one
you	PP	you
'	POS	'
ve	NNS	<unknown>
done	VBN	do
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
Maybe	RB	maybe
you	PP	you
'	POS	'
ve	JJ	<unknown>
done	VBN	do
career	NN	career
workshops	NNS	workshop
or	CC	or
something	NN	something
,	,	,
or	CC	or
it	PP	it
might	MD	might
be	VB	be
completely	RB	completely
new	JJ	new
to	TO	to
you	PP	you
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
hope	VB	hope
you	PP	you
'	POS	'
ll	NNS	<unknown>
join	VB	join
us	PP	us
because	IN	because
I	PP	I
have	VBP	have
run	VBN	run
interactive	JJ	interactive
projects	NNS	project
with	IN	with
thousands	NNS	thousand
of	IN	of
listeners	NNS	listener
before	RB	before
.	SENT	.
And	CC	and
knowing	VBG	know
that	IN	that
you	PP	you
are	VBP	be
waking	VBG	wake
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
trying	VBG	try
to	TO	to
figure	VB	figure
something	NN	something
out	IN	out
and	CC	and
thousands	NNS	thousand
of	IN	of
other	JJ	other
people	NNS	people
are	VBP	be
doing	VBG	do
it	PP	it
,	,	,
too	RB	too
,	,	,
it	PP	it
is	VBZ	be
an	DT	an
incredible	JJ	incredible
feeling	NN	feeling
.	SENT	.
Will	MD	will
we	PP	we
solve	VB	solve
all	PDT	all
your	PP$	your
problems	NNS	problem
?	SENT	?
Probably	RB	probably
not	RB	not
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
Maybe	RB	maybe
who	WP	who
knows	VBZ	know
?	SENT	?
But	CC	but
more	RBR	more
likely	JJ	likely
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
put	VB	put
some	DT	some
fire	NN	fire
in	IN	in
your	PP$	your
belly	NN	belly
and	CC	and
get	VB	get
you	PP	you
to	TO	to
make	VB	make
a	DT	a
concrete	JJ	concrete
plan	NN	plan
,	,	,
because	IN	because
this	DT	this
