Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Elon	NP	Elon
Musk	NN	musk
,	,	,
great	JJ	great
to	TO	to
see	VB	see
you	PP	you
.	SENT	.
How	WRB	how
are	VBP	be
you	PP	you
?	SENT	?
Elon	NP	Elon
Musk	NN	musk
:	:	:
Good	JJ	good
.	SENT	.
How	WRB	how
are	VBP	be
you	PP	you
?	SENT	?
CA	MD	ca
:	:	:
We	PP	we
'	POS	'
re	NN	re
here	RB	here
at	IN	at
the	DT	the
Texas	NP	Texas
Gigafactory	NP	Gigafactory
the	DT	the
day	NN	day
before	IN	before
this	DT	this
thing	NN	thing
opens	VBZ	open
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
pretty	RB	pretty
crazy	JJ	crazy
out	IN	out
there	RB	there
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
making	VBG	make
time	NN	time
on	IN	on
a	DT	a
busy	JJ	busy
day	NN	day
.	SENT	.
I	PP	I
would	MD	would
love	VB	love
you	PP	you
to	TO	to
help	VB	help
us	PP	us
,	,	,
kind	NN	kind
of	IN	of
,	,	,
cast	VB	cast
our	PP$	our
minds	NNS	mind
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
10	CD	@card@
,	,	,
20	CD	@card@
,	,	,
30	CD	@card@
years	NNS	year
into	IN	into
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
help	VB	help
us	PP	us
try	VB	try
to	TO	to
picture	VB	picture
what	WP	what
it	PP	it
would	MD	would
take	VB	take
to	TO	to
build	VB	build
a	DT	a
future	NN	future
that	RB	that
'	POS	'
s	JJ	<unknown>
worth	NN	worth
getting	VBG	get
excited	JJ	excited
about	RB	about
.	SENT	.
The	DT	the
last	JJ	last
time	NN	time
you	PP	you
spoke	VBD	speak
at	IN	at
TED	VBP	ted
,	,	,
you	PP	you
said	VBD	say
that	IN	that
that	WDT	that
was	VBD	be
really	RB	really
just	RB	just
a	DT	a
big	JJ	big
driver	NN	driver
.	SENT	.
You	PP	you
