Sheryl	NP	Sheryl
Shade	NP	Shade
:	:	:
Hi	UH	hi
,	,	,
Aimee	NP	Aimee
.	SENT	.
Aimee	NP	Aimee
Mullins	NP	Mullins
:	:	:
Hi	UH	hi
.	SENT	.
SS	NP	SS
:	:	:
Aimee	NP	Aimee
and	CC	and
I	PP	I
thought	VBD	think
we	PP	we
'	''	'
d	SYM	d
just	RB	just
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
her	PP	her
to	TO	to
tell	VB	tell
all	DT	all
of	IN	of
you	PP	you
what	WP	what
makes	VBZ	make
her	PP	her
a	DT	a
distinctive	JJ	distinctive
athlete	NN	athlete
.	SENT	.
AM	NP	AM
:	:	:
Well	UH	well
,	,	,
for	IN	for
those	DT	those
of	IN	of
you	PP	you
who	WP	who
have	VBP	have
seen	VBN	see
the	DT	the
picture	NN	picture
in	IN	in
the	DT	the
little	JJ	little
bio	NP	bio
â	NP	<unknown>
it	PP	it
might	MD	might
have	VB	have
given	VBN	give
it	PP	it
away	RP	away
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
a	DT	a
double	JJ	double
amputee	NN	amputee
,	,	,
and	CC	and
I	PP	I
was	VBD	be
born	VBN	bear
without	IN	without
fibulas	NNS	fibula
in	IN	in
both	DT	both
legs	NNS	leg
.	SENT	.
I	PP	I
was	VBD	be
amputated	VBN	amputate
at	IN	at
age	NN	age
one	CD	one
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
running	VBG	run
like	IN	like
hell	NN	hell
ever	RB	ever
since	RB	since
,	,	,
all	DT	all
over	IN	over
the	DT	the
place	NN	place
.	SENT	.
SS	NP	SS
:	:	:
Well	UH	well
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
tell	VBP	tell
them	PP	them
how	WRB	how
you	PP	you
got	VBD	get
to	TO	to
Georgetown	NP	Georgetown
â	NP	<unknown>
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
start	VBP	start
there	RB	there
?	SENT	?
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
start	VBP	start
there	RB	there
?	SENT	?
AM	NP	AM
:	:	:
I	PP	I
'	POS	'
m	NN	m
a	DT	a
senior	JJ	senior
in	IN	in
Georgetown	NP	Georgetown
in	IN	in
the	DT	the
Foreign	NP	Foreign
Service	NP	Service
program	NN	program
.	SENT	.
I	PP	I
won	VBD	win
a	DT	a
full	JJ	full
academic	JJ	academic
scholarship	NN	scholarship
out	IN	out
of	IN	of
high	JJ	high
school	NN	school
.	SENT	.
They	PP	they
pick	VBP	pick
three	CD	three
students	NNS	student
out	RB	out
of	IN	of
the	DT	the
nation	NN	nation
every	DT	every
year	NN	year
to	TO	to
get	VB	get
involved	VBN	involve
in	IN	in
international	JJ	international
affairs	NNS	affair
,	,	,
and	CC	and
so	RB	so
I	PP	I
won	VBD	win
a	DT	a
full	JJ	full
ride	NN	ride
to	TO	to
Georgetown	NP	Georgetown
and	CC	and
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
there	RB	there
for	IN	for
four	CD	four
years	NNS	year
.	SENT	.
Love	VB	love
it	PP	it
.	SENT	.
SS	NP	SS
:	:	:
When	WRB	when
Aimee	NP	Aimee
got	VBD	get
there	RB	there
,	,	,
she	PP	she
decided	VBD	decide
that	IN	that
she	PP	she
'	POS	'
s	NN	S
,	,	,
kind	NN	kind
of	IN	of
,	,	,
curious	JJ	curious
about	IN	about
track	NN	track
and	CC	and
field	NN	field
,	,	,
so	RB	so
she	PP	she
decided	VBD	decide
to	TO	to
call	VB	call
someone	NN	someone
and	CC	and
start	VB	start
asking	VBG	ask
about	IN	about
it	PP	it
.	SENT	.
So	RB	so
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
tell	VBP	tell
that	DT	that
story	NN	story
?	SENT	?
AM	NP	AM
:	:	:
Yeah	RB	yeah
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
guess	VBP	guess
I	PP	I
'	''	'
ve	RB	<unknown>
always	RB	always
been	VBN	be
involved	VBN	involve
in	IN	in
sports	NNS	sport
.	SENT	.
I	PP	I
played	VBD	play
softball	NN	softball
for	IN	for
five	CD	five
years	NNS	year
growing	VBG	grow
up	RP	up
.	SENT	.
I	PP	I
skied	VBD	ski
competitively	RB	competitively
throughout	IN	throughout
high	JJ	high
school	NN	school
,	,	,
and	CC	and
I	PP	I
got	VBD	get
a	DT	a
little	RB	little
restless	JJ	restless
in	IN	in
college	NN	college
because	IN	because
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
doing	VBG	do
anything	NN	anything
for	IN	for
about	RB	about
a	DT	a
year	NN	year
or	CC	or
two	CD	two
sports-wise	RB	<unknown>
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
never	RB	never
competed	VBN	compete
on	IN	on
a	DT	a
disabled	JJ	disabled
level	NN	level
,	,	,
you	PP	you
know	VBP	know
â	NP	<unknown>
I	NP	I
'	POS	'
d	NN	d
always	RB	always
competed	VBN	compete
against	IN	against
other	JJ	other
able-bodied	JJ	able-bodied
athletes	NNS	athlete
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
all	DT	all
I	NP	I
'	POS	'
d	NN	d
ever	RB	ever
known	VBN	know
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
'	POS	'
d	NN	d
never	RB	never
even	RB	even
met	VBD	meet
another	DT	another
amputee	NN	amputee
until	IN	until
I	PP	I
was	VBD	be
17	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
heard	VBD	hear
that	IN	that
they	PP	they
do	VBP	do
these	DT	these
track	NN	track
meets	VBZ	meet
with	IN	with
all	DT	all
disabled	JJ	disabled
runners	NNS	runner
,	,	,
and	CC	and
I	PP	I
figured	VBD	figure
,	,	,
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
this	DT	this
,	,	,
but	CC	but
before	IN	before
I	PP	I
judge	VBP	judge
it	PP	it
,	,	,
let	VB	let
me	PP	me
go	VB	go
see	VB	see
what	WP	what
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	RB	about
.	SENT	.
"	''	"
So	RB	so
,	,	,
I	PP	I
booked	VBD	book
myself	PP	myself
a	DT	a
flight	NN	flight
to	TO	to
Boston	NP	Boston
in	RP	in
'	''	'
95	CD	@card@
,	,	,
19	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
definitely	RB	definitely
the	DT	the
dark	JJ	dark
horse	NN	horse
candidate	NN	candidate
at	IN	at
this	DT	this
race	NN	race
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
never	RB	never
done	VBN	do
it	PP	it
before	IN	before
.	SENT	.
I	PP	I
went	VBD	go
out	RP	out
on	IN	on
a	DT	a
gravel	NN	gravel
track	NN	track
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
before	IN	before
this	DT	this
meet	NN	meet
to	TO	to
see	VB	see
how	WRB	how
far	RB	far
I	PP	I
could	MD	could
run	VB	run
,	,	,
and	CC	and
about	RB	about
50	CD	@card@
meters	NNS	meter
was	VBD	be
enough	RB	enough
for	IN	for
me	PP	me
,	,	,
panting	VBG	pant
and	CC	and
heaving	VBG	heave
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
these	DT	these
legs	NNS	leg
that	WDT	that
were	VBD	be
