Someday	RB	someday
,	,	,
we	PP	we
may	MD	may
have	VB	have
robots	NNS	robot
as	IN	as
smart	JJ	smart
as	IN	as
people	NNS	people
,	,	,
artificial	JJ	artificial
intelligence	NN	intelligence
,	,	,
AI	VBP	ai
.	SENT	.
How	WRB	how
could	MD	could
that	RB	that
happen	VB	happen
?	SENT	?
One	CD	one
route	NN	route
is	VBZ	be
that	IN	that
we	PP	we
'	POS	'
ll	NNS	<unknown>
just	RB	just
keep	VBP	keep
accumulating	VBG	accumulate
better	JJR	good
software	NN	software
,	,	,
like	IN	like
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
for	IN	for
70	CD	@card@
years	NNS	year
.	SENT	.
At	IN	at
past	JJ	past
rates	NNS	rate
of	IN	of
progress	NN	progress
,	,	,
that	WDT	that
may	MD	may
take	VB	take
centuries	NNS	century
.	SENT	.
Some	DT	some
say	VBP	say
it	PP	it
'	''	'
ll	NNS	<unknown>
happen	VBP	happen
a	DT	a
lot	NN	lot
faster	RBR	faster
as	IN	as
we	PP	we
discover	VBP	discover
grand	JJ	grand
new	JJ	new
powerful	JJ	powerful
theories	NNS	theory
of	IN	of
intelligence	NN	intelligence
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
skeptical	JJ	skeptical
.	SENT	.
But	CC	but
a	DT	a
third	JJ	third
scenario	NN	scenario
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
The	DT	the
idea	NN	idea
is	VBZ	be
to	TO	to
port	VB	port
the	DT	the
software	NN	software
from	IN	from
the	DT	the
human	JJ	human
brain	NN	brain
.	SENT	.
To	TO	to
do	VB	do
this	DT	this
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
three	CD	three
technologies	NNS	technology
to	TO	to
be	VB	be
good	JJ	good
enough	RB	enough
,	,	,
and	CC	and
none	NN	none
of	IN	of
them	PP	them
are	VBP	be
there	RB	there
yet	RB	yet
.	SENT	.
First	RB	first
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
lots	NNS	lot
of	IN	of
cheap	JJ	cheap
,	,	,
fast	RB	fast
,	,	,
parallel	JJ	parallel
computers	NNS	computer
.	SENT	.
Second	RB	second
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
to	TO	to
scan	VB	scan
