When	WRB	when
I	PP	I
was	VBD	be
only	RB	only
three	CD	three
or	CC	or
four	CD	four
,	,	,
I	PP	I
fell	VBD	fall
in	IN	in
love	NN	love
with	IN	with
poetry	NN	poetry
,	,	,
with	IN	with
the	DT	the
rhythms	NNS	rhythm
and	CC	and
the	DT	the
music	NN	music
of	IN	of
language	NN	language
;	:	;
with	IN	with
the	DT	the
power	NN	power
of	IN	of
metaphor	NN	metaphor
and	CC	and
of	IN	of
imagery	NN	imagery
,	,	,
poetry	NN	poetry
being	VBG	be
the	DT	the
essence	NN	essence
of	IN	of
communication	NN	communication
â	NP	<unknown>
the	DT	the
discipline	NN	discipline
,	,	,
the	DT	the
distillation	NN	distillation
.	SENT	.
And	CC	and
all	PDT	all
these	DT	these
years	NNS	year
later	RBR	later
,	,	,
the	DT	the
poems	NNS	poem
I	PP	I
'	POS	'
ll	NNS	<unknown>
read	VBP	read
today	NN	today
are	VBP	be
from	IN	from
my	PP$	my
just-finished	JJ	just-finished
seventh	JJ	seventh
book	NN	book
of	IN	of
poetry	NN	poetry
.	SENT	.
Well	RB	well
,	,	,
five	CD	five
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
diagnosed	VBN	diagnose
with	IN	with
Parkinson	NP	Parkinson
'	POS	'
s	NN	S
disease	NN	disease
.	SENT	.
Though	IN	though
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
cure	NN	cure
yet	RB	yet
,	,	,
advances	NNS	advance
in	IN	in
treatment	NN	treatment
are	VBP	be
really	RB	really
impressive	JJ	impressive
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
imagine	VB	imagine
that	IN	that
I	PP	I
was	VBD	be
appalled	VBN	appall
to	TO	to
learn	VB	learn
that	IN	that
women	NNS	woman
are	VBP	be
largely	RB	largely
left	VBN	leave
out	RP	out
of	IN	of
research	NN	research
trials	NNS	trial
,	,	,
despite	IN	despite
gender-specific	JJ	gender-specific
medical	JJ	medical
findings	NNS	finding
having	VBG	have
demonstrated	VBN	demonstrate
that	IN	that
we	PP	we
are	VBP	be
not	RB	not
actually	RB	actually
just	RB	just
small	JJ	small
men	NNS	man
â	NP	<unknown>
who	WP	who
happen	VBP	happen
to	TO	to
have	VB	have
different	JJ	different
reproductive	JJ	reproductive
systems	NNS	system
.	SENT	.
Gender-specific	JJ	Gender-specific
medicine	NN	medicine
is	VBZ	be
good	JJ	good
for	IN	for
men	NNS	man
,	,	,
too	RB	too
.	SENT	.
But	CC	but
you	PP	you
bring	VBP	bring
to	TO	to
a	DT	a
crisis	NN	crisis
the	DT	the
person	NN	person
you	PP	you
already	RB	already
are	VBP	be
,	,	,
including	VBG	include
the	DT	the
,	,	,
yes	UH	yes
,	,	,
momentum	NN	momentum
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
learned	VBD	learn
to	TO	to
invoke	VB	invoke
through	IN	through
