Mm	NN	mm.
hmm	NNS	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
Design	NP	Design
Matters	NP	Matters
with	IN	with
Debbie	NP	Debbie
Millman	NP	Millman
,	,	,
you	PP	you
could	MD	could
say	VB	say
that	IN	that
Cheryl	NP	Cheryl
Strayed	VBN	stray
is	VBZ	be
very	RB	very
adaptable	JJ	adaptable
.	SENT	.
Her	PP$	her
memoir	NN	memoir
,	,	,
Wild	NP	Wild
,	,	,
was	VBD	be
adapted	VBN	adapt
into	IN	into
a	DT	a
movie	NN	movie
starring	VBG	star
Reese	NP	Reese
Witherspoon	NP	Witherspoon
.	SENT	.
Another	DT	another
book	NN	book
,	,	,
Tiny	NP	Tiny
,	,	,
Beautiful	JJ	beautiful
Things	NNS	thing
,	,	,
was	VBD	be
adapted	VBN	adapt
for	IN	for
the	DT	the
stage	NN	stage
by	IN	by
Nia	NP	Nia
Vardalos	NP	<unknown>
and	CC	and
Thomas	NP	Thomas
Kael	NP	Kael
.	SENT	.
Tiny	JJ	tiny
,	,	,
Beautiful	JJ	beautiful
Things	NNS	thing
itself	PP	itself
was	VBD	be
adapted	VBN	adapt
from	IN	from
an	DT	an
advice	NN	advice
column	NN	column
she	PP	she
once	RB	once
wrote	VBD	write
called	VBN	call
Dear	NP	Dear
Sugar	NP	Sugar
.	SENT	.
And	CC	and
that	DT	that
advice	NN	advice
column	NN	column
has	VBZ	have
ultimately	RB	ultimately
been	VBN	be
adapted	VBN	adapt
into	IN	into
a	DT	a
New	NP	New
York	NP	York
Times	NP	Times
podcast	NN	<unknown>
called	VBN	call
Sugar	NP	Sugar
Calling	NN	calling
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
joined	VBD	join
by	IN	by
Cheryl	NP	Cheryl
Strayed	VBD	stray
,	,	,
who	WP	who
is	VBZ	be
recording	VBG	record
herself	PP	herself
in	IN	in
her	PP$	her
home	NN	home
in	IN	in
Portland	NP	Portland
,	,	,
Oregon	NP	Oregon
.	SENT	.
Cheryl	NP	Cheryl
Strayed	VBD	stray
,	,	,
welcome	JJ	welcome
to	TO	to
Design	NP	Design
Matters	NNS	matter
.	SENT	.
Hi	UH	hi
,	,	,
Debbie	NP	Debbie
.	SENT	.
I	PP	I
am	VBP	be
so	RB	so
thrilled	VBN	thrill
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
fan	NN	fan
of	IN	of
the	DT	the
podcast	NN	<unknown>
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
dying	VBG	die
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
for	IN	for
ages	NNS	age
.	SENT	.
Oh	UH	oh
,	,	,
I	PP	I
'	POS	'
m	NN	m
so	RB	so
glad	JJ	glad
.	SENT	.
I	NP	I
'	POS	'
