What	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
on	IN	on
this	DT	this
stage	NN	stage
in	IN	in
front	NN	front
of	IN	of
all	PDT	all
these	DT	these
people	NNS	people
?	SENT	?
Run	NN	run
!	SENT	!
Run	VB	run
now	RB	now
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
voice	NN	voice
of	IN	of
my	PP$	my
anxiety	NN	anxiety
talking	NN	talking
.	SENT	.
Even	RB	even
when	WRB	when
there	EX	there
'	''	'
s	NNS	<unknown>
absolutely	RB	absolutely
nothing	RB	nothing
wrong	JJ	wrong
,	,	,
I	PP	I
sometimes	RB	sometimes
get	VBP	get
this	DT	this
overwhelming	JJ	overwhelming
sense	NN	sense
of	IN	of
doom	NN	doom
,	,	,
like	IN	like
danger	NN	danger
is	VBZ	be
lurking	VBG	lurk
just	RB	just
around	IN	around
the	DT	the
corner	NN	corner
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
diagnosed	VBN	diagnose
with	IN	with
generalized	VBN	generalize
anxiety	NN	anxiety
and	CC	and
depression	NN	depression
—	:	-
two	CD	two
conditions	NNS	condition
that	WDT	that
often	RB	often
go	VBP	go
hand	NN	hand
in	IN	in
hand	NN	hand
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
was	VBD	be
a	DT	a
time	NN	time
I	PP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
told	VBN	tell
anybody	NN	anybody
,	,	,
especially	RB	especially
not	RB	not
in	IN	in
front	NN	front
of	IN	of
a	DT	a
big	JJ	big
audience	NN	audience
.	SENT	.
As	IN	as
a	DT	a
black	JJ	black
woman	NN	woman
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
to	TO	to
develop	VB	develop
extraordinary	JJ	extraordinary
resilience	NN	resilience
to	TO	to
succeed	VB	succeed
.	SENT	.
And	CC	and
like	IN	like
most	JJS	most
people	NNS	people
in	IN	in
my	PP$	my
community	NN	community
,	,	,
I	PP	I
had	VBD	have
the	DT	the
misconception	NN	misconception
that	IN	that
depression	NN	depression
was	VBD	be
a	DT	a
sign	NN	sign
of	IN	of
weakness	NN	weakness
,	,	,
a	DT	a
character	NN	character
flaw	NN	flaw
.	SENT	.
But	CC	but
I	PP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
weak	JJ	weak
;	:	;
I	PP	I
was	VBD	be
a	DT	a
high	JJ	high
achiever	NN	achiever
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
earned	VBD	earn
a	DT	a
Master	NP	Master
'	POS	'
s	JJ	<unknown>
degree	NN	degree
in	IN	in
Media	NP	Media
Studies	NPS	Studies
and	CC	and
had	VBD	have
a	DT	a
string	NN	string
of	IN	of
high-profile	JJ	high-profile
jobs	NNS	job
in	IN	in
the	DT	the
film	NN	film
and	CC	and
television	NN	television
industries	NNS	industry
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
even	RB	even
won	VBD	win
two	CD	two
Emmy	NP	Emmy
Awards	NNS	award
for	IN	for
my	PP$	my
hard	JJ	hard
work	NN	work
.	SENT	.
Sure	RB	sure
,	,	,
I	PP	I
was	VBD	be
totally	RB	totally
spent	VBN	spend
,	,	,
I	PP	I
lacked	VBD	lack
interest	NN	interest
in	IN	in
things	NNS	thing
I	PP	I
used	VBD	use
to	TO	to
enjoy	VB	enjoy
,	,	,
barely	RB	barely
ate	VBD	eat
,	,	,
struggled	VBN	struggle
with	IN	with
insomnia	NN	insomnia
and	CC	and
felt	VBD	feel
isolated	VBN	isolate
and	CC	and
depleted	VBN	deplete
.	SENT	.
But	CC	but
depressed	JJ	depressed
?	SENT	?
No	UH	no
,	,	,
not	RB	not
me	PP	me
.	SENT	.
It	PP	it
took	VBD	take
weeks	NNS	week
before	IN	before
I	PP	I
could	MD	could
admit	VB	admit
it	PP	it
,	,	,
but	CC	but
the	DT	the
doctor	NN	doctor
was	VBD	be
right	JJ	right
:	:	:
I	PP	I
was	VBD	be
depressed	VBN	depress
.	SENT	.
Still	RB	still
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
anybody	NN	anybody
about	IN	about
my	PP$	my
diagnosis	NN	diagnosis
.	SENT	.
I	PP	I
was	VBD	be
too	RB	too
ashamed	JJ	ashamed
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
I	PP	I
had	VBD	have
the	DT	the
right	NN	right
to	TO	to
be	VB	be
depressed	VBN	depress
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
privileged	JJ	privileged
life	NN	life
with	IN	with
a	DT	a
loving	JJ	loving
family	NN	family
and	CC	and
a	DT	a
successful	JJ	successful
career	NN	career
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
thought	VBD	think
about	IN	about
the	DT	the
unspeakable	JJ	unspeakable
horrors	NNS	horror
that	IN	that
my	PP$	my
ancestors	NNS	ancestor
had	VBD	have
