Hello	UH	hello
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Kluane	NP	Kluane
Adamek	NP	Adamek
,	,	,
and	CC	and
I	PP	I
am	VBP	be
from	IN	from
the	DT	the
Dakl	NP	<unknown>
'	POS	'
aweidi	NP	<unknown>
Killer	NP	Killer
Whale	NN	whale
clan	NN	clan
.	SENT	.
My	PP$	my
Tlingit	NP	<unknown>
name	NN	name
is	VBZ	be
Aagé	JJ	<unknown>
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
so	RB	so
important	JJ	important
to	TO	to
acknowledge	VB	acknowledge
,	,	,
our	PP$	our
grandparents	NNS	grandparent
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
joining	VBG	join
you	PP	you
from	IN	from
the	DT	the
traditional	JJ	traditional
territory	NN	territory
of	IN	of
the	DT	the
Kwanlin	NP	<unknown>
Dün	NP	<unknown>
and	CC	and
Ta	NP	Ta
'	POS	'
an	DT	an
First	NP	First
Nations	NPS	Nations
in	IN	in
the	DT	the
Yukon	NP	Yukon
territory	NN	territory
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
shared	VBD	share
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
myself	PP	myself
in	IN	in
my	PP$	my
traditional	JJ	traditional
languages	NNS	language
of	IN	of
Southern	NP	Southern
Tutchone	NP	<unknown>
and	CC	and
Tlingit	NP	<unknown>
.	SENT	.
I	PP	I
continue	VBP	continue
to	TO	to
learn	VB	learn
who	WP	who
we	PP	we
are	VBP	be
as	IN	as
Yukon	NP	Yukon
First	NP	First
Nations	NPS	Nations
people	NNS	people
.	SENT	.
We	PP	we
are	VBP	be
a	DT	a
people	NNS	people
that	WDT	that
deeply	RB	deeply
value	VBP	value
,	,	,
honor	VB	honor
and	CC	and
respect	VB	respect
the	DT	the
roles	NNS	role
of	IN	of
women	NNS	woman
.	SENT	.
We	PP	we
always	RB	always
have	VBP	have
.	SENT	.
We	PP	we
'	''	'
re	IN	re
a	DT	a
matrilineal	JJ	matrilineal
culture	NN	culture
.	SENT	.
And	CC	and
so	RB	so
,	,	,
traditionally	RB	traditionally
,	,	,
our	PP$	our
matriarchs	NNS	<unknown>
would	MD	would
often	RB	often
guide	VB	guide
and	CC	and
direct	VB	direct
the	DT	the
speakers	NNS	speaker
of	IN	of
the	DT	the
people	NNS	people
,	,	,
otherwise	RB	otherwise
known	VBN	know
as	IN	as
the	DT	the
chiefs	NNS	chief
.	SENT	.
This	DT	this
important	JJ	important
role	NN	role
of	IN	of
forging	VBG	forge
trade	NN	trade
relationships	NNS	relationship
,	,	,
forging	VBG	forge
marriage	NN	marriage
alliances	NNS	alliance
and	CC	and
ensuring	VBG	ensure
that	IN	that
all	DT	all
of	IN	of
the	DT	the
business	NN	business
that	WDT	that
needed	VBD	need
to	TO	to
take	VB	take
place	NN	place
in	IN	in
the	DT	the
community	NN	community
was	VBD	be
happening	VBG	happen
was	VBD	be
all	RB	all
guided	VBN	guide
and	CC	and
directed	VBN	direct
by	IN	by
our	PP$	our
matriarchs	NNS	<unknown>
.	SENT	.
I	PP	I
definitely	RB	definitely
continue	VBP	continue
to	TO	to
see	VB	see
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
we	PP	we
lead	VBP	lead
here	RB	here
in	IN	in
the	DT	the
Yukon	NP	Yukon
not	RB	not
quite	RB	quite
being	VBG	be
aligned	VBN	align
nationally	RB	nationally
.	SENT	.
What	WP	what
do	VBP	do
I	PP	I
mean	VB	mean
by	IN	by
that	DT	that
?	SENT	?
Well	RB	well
,	,	,
to	TO	to
be	VB	be
clear	JJ	clear
,	,	,
misogyny	NN	misogyny
and	CC	and
patriarchy	NN	patriarchy
are	VBP	be
definitely	RB	definitely
not	RB	not
reflective	JJ	reflective
of	IN	of
who	WP	who
we	PP	we
are	VBP	be
as	IN	as
Yukon	NP	Yukon
First	NP	First
Nations	NPS	Nations
or	CC	or
of	IN	of
the	DT	the
traditional	JJ	traditional
structures	NNS	structure
and	CC	and
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
we	PP	we
respect	VBP	respect
women	NNS	woman
in	IN	in
decision-making	NN	decision-making
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
saw	VBD	see
these	DT	these
gaps	NNS	gap
and	CC	and
felt	VBD	feel
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
more	JJR	more
women	NNS	woman
at	IN	at
the	DT	the
table	NN	table
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
have	VB	have
different	JJ	different
generations	NNS	generation
at	IN	at
the	DT	the
table	NN	table
.	SENT	.
And	CC	and
so	RB	so
,	,	,
this	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
a	DT	a
bit	NN	bit
vulnerable	JJ	vulnerable
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
