Hi	UH	hi
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
mobile	JJ	mobile
phone	NN	phone
.	SENT	.
A	DT	a
mobile	JJ	mobile
phone	NN	phone
can	MD	can
change	VB	change
your	PP$	your
life	NN	life
,	,	,
and	CC	and
a	DT	a
mobile	JJ	mobile
phone	NN	phone
gives	VBZ	give
you	PP	you
individual	JJ	individual
freedom	NN	freedom
.	SENT	.
With	IN	with
a	DT	a
mobile	JJ	mobile
phone	NN	phone
,	,	,
you	PP	you
can	MD	can
shoot	VB	shoot
a	DT	a
crime	NN	crime
against	IN	against
humanity	NN	humanity
in	IN	in
Syria	NP	Syria
.	SENT	.
With	IN	with
a	DT	a
mobile	JJ	mobile
phone	NN	phone
,	,	,
you	PP	you
can	MD	can
tweet	VB	tweet
a	DT	a
message	NN	message
and	CC	and
start	VB	start
a	DT	a
protest	NN	protest
in	IN	in
Egypt	NP	Egypt
.	SENT	.
And	CC	and
with	IN	with
a	DT	a
mobile	JJ	mobile
phone	NN	phone
,	,	,
you	PP	you
can	MD	can
record	VB	record
a	DT	a
song	NN	song
,	,	,
load	VB	load
it	PP	it
up	RP	up
to	TO	to
SoundCloud	NP	SoundCloud
and	CC	and
become	VB	become
famous	JJ	famous
.	SENT	.
All	PDT	all
this	DT	this
is	VBZ	be
possible	JJ	possible
with	IN	with
your	PP$	your
mobile	JJ	mobile
phone	NN	phone
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
child	NN	child
of	IN	of
1984	CD	@card@
,	,	,
and	CC	and
I	PP	I
live	VBP	live
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Berlin	NP	Berlin
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
that	DT	that
time	NN	time
,	,	,
to	TO	to
this	DT	this
city	NN	city
.	SENT	.
Here	RB	here
you	PP	you
can	MD	can
see	VB	see
how	WRB	how
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
stood	VBD	stand
up	RP	up
and	CC	and
protested	VBD	protest
for	IN	for
change	NN	change
.	SENT	.
This	DT	this
is	VBZ	be
autumn	NN	autumn
1989	CD	@card@
,	,	,
and	CC	and
imagine	VBP	imagine
that	IN	that
all	PDT	all
those	DT	those
people	NNS	people
standing	VBG	stand
up	RP	up
and	CC	and
protesting	VBG	protest
for	IN	for
change	NN	change
had	VBD	have
a	DT	a
mobile	JJ	mobile
phone	NN	phone
in	IN	in
their	PP$	their
pocket	NN	pocket
.	SENT	.
Who	WP	who
in	IN	in
the	DT	the
room	NN	room
has	VBZ	have
a	DT	a
mobile	JJ	mobile
phone	NN	phone
with	IN	with
you	PP	you
?	SENT	?
Hold	VB	hold
it	PP	it
up	RP	up
.	SENT	.
Hold	VB	hold
your	PP$	your
phones	NNS	phone
up	RP	up
,	,	,
hold	VB	hold
your	PP$	your
phones	NNS	phone
up	RP	up
!	SENT	!
Hold	VB	hold
it	PP	it
up	RP	up
.	SENT	.
An	DT	an
Android	NN	android
,	,	,
a	DT	a
Blackberry	NN	blackberry
,	,	,
wow	NN	wow
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
.	SENT	.
Almost	RB	almost
everybody	NN	everybody
today	NN	today
has	VBZ	have
a	DT	a
mobile	JJ	mobile
phone	NN	phone
.	SENT	.
But	CC	but
today	NN	today
I	PP	I
will	MD	will
talk	VB	talk
about	IN	about
me	PP	me
and	CC	and
my	PP$	my
mobile	JJ	mobile
phone	NN	phone
,	,	,
and	CC	and
how	WRB	how
it	PP	it
changed	VBD	change
my	PP$	my
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
will	MD	will
talk	VB	talk
about	IN	about
this	DT	this
.	SENT	.
These	DT	these
are	VBP	be
35	CD	@card@
,	,	,
830	CD	@card@
lines	NNS	line
of	IN	of
information	NN	information
.	SENT	.
Raw	JJ	raw
data	NNS	datum
.	SENT	.
And	CC	and
why	WRB	why
are	VBP	be
these	DT	these
informations	NNS	information
there	RB	there
?	SENT	?
Because	IN	because
in	IN	in
the	DT	the
summer	NN	summer
of	IN	of
2006	CD	@card@
,	,	,
the	DT	the
E	NN	E
.	SENT	.
U	NP	U
.	SENT	.
Commission	NP	Commission
tabled	VBD	table
a	DT	a
directive	NN	directive
.	SENT	.
This	DT	this
directive	NN	directive
[	SYM	[
is	VBZ	be
]	SYM	]
called	VBN	call
Data	NP	Data
Retention	NN	retention
Directive	NN	directive
.	SENT	.
This	DT	this
directive	NN	directive
says	VBZ	say
that	IN	that
each	DT	each
phone	NN	phone
company	NN	company
in	IN	in
Europe	NP	Europe
,	,	,
each	DT	each
Internet	NP	Internet
service	NN	service
company	NN	company
all	RB	all
over	IN	over
Europe	NP	Europe
,	,	,
has	VBZ	have
to	TO	to
store	VB	store
a	DT	a
wide	JJ	wide
range	NN	range
of	IN	of
information	NN	information
about	IN	about
the	DT	the
users	NNS	user
.	SENT	.
Who	WP	who
calls	VBZ	call
whom	WP	whom
?	SENT	?
Who	WP	who
sends	VBZ	send
whom	WP	whom
an	DT	an
email	NN	<unknown>
?	SENT	?
Who	WP	who
sends	VBZ	send
whom	WP	whom
a	DT	a
text	NN	text
message	NN	message
?	SENT	?
And	CC	and
if	IN	if
you	PP	you
use	VBP	use
your	PP$	your
mobile	JJ	mobile
phone	NN	phone
,	,	,
where	WRB	where
you	PP	you
are	VBP	be
.	SENT	.
All	PDT	all
this	DT	this
information	NN	information
is	VBZ	be
stored	VBN	store
for	IN	for
at	IN	at
least	JJS	least
six	CD	six
months	NNS	month
,	,	,
up	RB	up
to	TO	to
two	CD	two
years	NNS	year
by	IN	by
your	PP$	your
phone	NN	phone
company	NN	company
or	CC	or
your	PP$	your
Internet	NN	Internet
service	NN	service
provider	NN	provider
.	SENT	.
And	CC	and
all	DT	all
over	IN	over
Europe	NP	Europe
,	,	,
people	NNS	people
stood	VBD	stand
up	RP	up
and	CC	and
said	VBD	say
,	,	,
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
this	DT	this
.	SENT	.
"	''	"
They	PP	they
said	VBD	say
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
this	DT	this
data	NNS	datum
retention	NN	retention
.	SENT	.
We	PP	we
want	VBP	want
self-determination	NN	self-determination
in	IN	in
the	DT	the
digital	JJ	digital
age	NN	age
,	,	,
and	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
that	IN	that
phone	NN	phone
companies	NNS	company
and	CC	and
Internet	NN	Internet
companies	NNS	company
have	VBP	have
to	TO	to
store	VB	store
all	PDT	all
this	DT	this
information	NN	information
about	IN	about
us	PP	us
.	SENT	.
They	PP	they
were	VBD	be
lawyers	NNS	lawyer
,	,	,
journalists	NNS	journalist
,	,	,
priests	NNS	priest
,	,	,
they	PP	they
all	RB	all
said	VBD	say
:	:	:
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
this	DT	this
.	SENT	.
"	''	"
And	CC	and
here	RB	here
you	PP	you
can	MD	can
see	VB	see
,	,	,
like	IN	like
10	CD	@card@
thousands	NNS	thousand
of	IN	of
people	NNS	people
went	VBD	go
out	RP	out
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
Berlin	NP	Berlin
and	CC	and
said	VBD	say
,	,	,
"	``	"
Freedom	NP	Freedom
,	,	,
not	RB	not
fear	VBP	fear
.	SENT	.
"	''	"
And	CC	and
some	DT	some
even	RB	even
said	VBN	say
,	,	,
this	DT	this
would	MD	would
be	VB	be
Stasi	NP	<unknown>
2	CD	@card@
.	SENT	.
0	CD	@card@
.	SENT	.
Stasi	NP	<unknown>
was	VBD	be
the	DT	the
secret	JJ	secret
police	NN	police
in	IN	in
East	NP	East
Germany	NP	Germany
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
ask	VB	ask
myself	PP	myself
,	,	,
does	VBZ	do
it	PP	it
really	RB	really
work	VBP	work
?	SENT	?
Can	MD	can
they	PP	they
really	RB	really
store	VB	store
all	PDT	all
this	DT	this
information	NN	information
about	IN	about
us	PP	us
?	SENT	?
Every	DT	every
time	NN	time
I	PP	I
use	VBP	use
my	PP$	my
mobile	JJ	mobile
phone	NN	phone
?	SENT	?
So	RB	so
I	PP	I
asked	VBD	ask
my	PP$	my
phone	NN	phone
company	NN	company
,	,	,
Deutsche	NP	Deutsche
Telekom	NP	Telekom
,	,	,
which	WDT	which
was	VBD	be
at	IN	at
that	DT	that
time	NN	time
the	DT	the
largest	JJS	large
phone	NN	phone
company	NN	company
in	IN	in
Germany	NP	Germany
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
them	PP	them
,	,	,
please	UH	please
,	,	,
send	VBP	send
me	PP	me
all	PDT	all
the	DT	the
information	NN	information
you	PP	you
have	VBP	have
stored	VBN	store
about	IN	about
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
asked	VBD	ask
them	PP	them
once	RB	once
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
them	PP	them
again	RB	again
,	,	,
and	CC	and
I	PP	I
got	VBD	get
no	DT	no
real	JJ	real
answer	NN	answer
.	SENT	.
It	PP	it
was	VBD	be
only	RB	only
blah	JJ	blah
blah	JJ	blah
answers	NNS	answer
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
said	VBD	say
,	,	,
I	PP	I
want	VBP	want
to	TO	to
have	VB	have
this	DT	this
information	NN	information
,	,	,
because	IN	because
this	DT	this
is	VBZ	be
my	PP$	my
life	NN	life
you	PP	you
are	VBP	be
protocoling	VBG	<unknown>
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
start	VB	start
a	DT	a
lawsuit	NN	lawsuit
against	IN	against
them	PP	them
,	,	,
because	IN	because
I	PP	I
wanted	VBD	want
to	TO	to
have	VB	have
this	DT	this
information	NN	information
.	SENT	.
But	CC	but
Deutsche	NP	Deutsche
Telekom	NP	Telekom
said	VBD	say
,	,	,
no	UH	no
,	,	,
we	PP	we
will	MD	will
not	RB	not
give	VB	give
you	PP	you
this	DT	this
information	NN	information
.	SENT	.
So	RB	so
at	IN	at
the	DT	the
end	NN	end
,	,	,
I	PP	I
had	VBD	have
a	DT	a
settlement	NN	settlement
with	IN	with
them	PP	them
.	SENT	.
I	NP	I
'	POS	'
ll	NN	ll
put	VBD	put
down	RP	down
the	DT	the
lawsuit	NN	lawsuit
and	CC	and
they	PP	they
will	MD	will
send	VB	send
me	PP	me
all	PDT	all
the	DT	the
information	NN	information
I	PP	I
ask	VBP	ask
for	IN	for
.	SENT	.
Because	IN	because
in	IN	in
the	DT	the
mean	JJ	mean
time	NN	time
,	,	,
the	DT	the
German	JJ	German
Constitutional	NP	Constitutional
Court	NP	Court
ruled	VBD	rule
that	IN	that
the	DT	the
implementation	NN	implementation
of	IN	of
this	DT	this
E	NN	E
.	SENT	.
U	NP	U
.	SENT	.
directive	NN	directive
into	IN	into
German	JJ	German
law	NN	law
was	VBD	be
unconstitutional	JJ	unconstitutional
.	SENT	.
So	RB	so
I	PP	I
got	VBD	get
this	DT	this
ugly	JJ	ugly
brown	JJ	brown
envelope	NN	envelope
with	IN	with
a	DT	a
C	NP	C
.	SENT	.
D	LS	d
.	SENT	.
inside	RB	inside
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
C	NP	C
.	SENT	.
D	LS	d
.	SENT	.
,	,	,
this	DT	this
was	VBD	be
on	RP	on
.	SENT	.
Thirty-five	NP	<unknown>
thousand	CD	thousand
eight	NN	eight
hundred	CD	hundred
thirty	CD	thirty
lines	NNS	line
of	IN	of
information	NN	information
.	SENT	.
At	IN	at
first	RB	first
I	PP	I
saw	VBD	see
it	PP	it
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
okay	RB	okay
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
huge	JJ	huge
file	NN	file
.	SENT	.
Okay	JJ	okay
.	SENT	.
But	CC	but
then	RB	then
after	IN	after
a	DT	a
while	IN	while
I	PP	I
realized	VBD	realize
,	,	,
this	DT	this
is	VBZ	be
my	PP$	my
life	NN	life
.	SENT	.
This	DT	this
is	VBZ	be
six	CD	six
months	NNS	month
of	IN	of
my	PP$	my
life	NN	life
,	,	,
into	IN	into
this	DT	this
file	NN	file
.	SENT	.
So	RB	so
I	PP	I
was	VBD	be
a	DT	a
little	JJ	little
bit	NN	bit
skeptical	JJ	skeptical
,	,	,
what	WP	what
should	MD	should
I	PP	I
do	VB	do
with	IN	with
it	PP	it
?	SENT	?
Because	IN	because
you	PP	you
can	MD	can
see	VB	see
where	WRB	where
I	PP	I
am	VBP	be
,	,	,
where	WRB	where
I	PP	I
sleep	VBP	sleep
at	IN	at
night	NN	night
,	,	,
what	WP	what
I	PP	I
am	VBP	be
doing	VBG	do
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
said	VBD	say
,	,	,
I	PP	I
want	VBP	want
to	TO	to
go	VB	go
out	RP	out
with	IN	with
this	DT	this
information	NN	information
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
them	PP	them
public	JJ	public
.	SENT	.
Because	IN	because
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
the	DT	the
people	NNS	people
what	WP	what
does	VBZ	do
data	NNS	datum
retention	NN	retention
mean	NN	mean
.	SENT	.
So	RB	so
together	RB	together
with	IN	with
Zeit	NP	Zeit
Online	JJ	online
and	CC	and
Open	NP	Open
Data	NP	Data
City	NP	City
,	,	,
I	PP	I
did	VBD	do
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
visualization	NN	visualization
of	IN	of
six	CD	six
months	NNS	month
of	IN	of
