So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
on	IN	on
this	DT	this
stage	NN	stage
,	,	,
I	PP	I
feel	VBP	feel
fear	NN	fear
.	SENT	.
In	IN	in
my	PP$	my
life	NN	life
,	,	,
I	NP	I
ain	NN	ain
'	POS	'
t	NN	t
met	VBD	meet
many	JJ	many
people	NNS	people
that	WDT	that
will	MD	will
readily	RB	readily
admit	VB	admit
when	WRB	when
they	PP	they
are	VBP	be
afraid	JJ	afraid
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
because	IN	because
deep	RB	deep
down	RB	down
,	,	,
they	PP	they
know	VBP	know
how	WRB	how
easy	JJ	easy
it	PP	it
spreads	VBZ	spread
.	SENT	.
See	VB	see
,	,	,
fear	NN	fear
is	VBZ	be
like	IN	like
a	DT	a
disease	NN	disease
.	SENT	.
When	WRB	when
it	PP	it
moves	VBZ	move
,	,	,
it	PP	it
moves	VBZ	move
like	IN	like
wildfire	NN	wildfire
.	SENT	.
But	CC	but
what	WP	what
happens	VBZ	happen
when	WRB	when
,	,	,
even	RB	even
in	IN	in
the	DT	the
face	NN	face
of	IN	of
that	DT	that
fear	NN	fear
,	,	,
you	PP	you
do	VBP	do
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
do	VB	do
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
called	VBD	call
courage	NN	courage
.	SENT	.
And	CC	and
just	RB	just
like	IN	like
fear	NN	fear
,	,	,
courage	NN	courage
is	VBZ	be
contagious	JJ	contagious
.	SENT	.
See	VB	see
,	,	,
I	PP	I
'	POS	'
m	NN	m
from	IN	from
East	NP	East
St	NP	St
.	SENT	.
Louis	NP	Louis
,	,	,
Illinois	NP	Illinois
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
small	JJ	small
city	NN	city
across	IN	across
the	DT	the
Mississippi	NP	Mississippi
River	NP	River
from	IN	from
St	NP	St
.	SENT	.
Louis	NP	Louis
,	,	,
Missouri	NP	Missouri
.	SENT	.
I	PP	I
have	VBP	have
lived	VBN	live
in	IN	in
and	CC	and
around	IN	around
St	NP	St
.	SENT	.
Louis	NP	Louis
my	PP$	my
entire	JJ	entire
life	NN	life
.	SENT	.
When	WRB	when
Michael	NP	Michael
Brown	NP	Brown
,	,	,
Jr	NP	Jr
.	SENT	.
,	,	,
an	DT	an
ordinary	JJ	ordinary
teenager	NN	teenager
,	,	,
was	VBD	be
gunned	VBN	gun
down	RP	down
by	IN	by
police	NN	police
in	IN	in
2014	CD	@card@
in	IN	in
Ferguson	NP	Ferguson
,	,	,
Missouri	NP	Missouri
—	:	-
another	DT	another
suburb	NN	suburb
,	,	,
but	CC	but
north	RB	north
of	IN	of
St	NP	St
.	SENT	.
Louis	NP	Louis
—	:	-
I	PP	I
remember	VBP	remember
thinking	VBG	think
,	,	,
he	PP	he
ain	NN	ain
'	POS	'
t	NN	t
the	DT	the
first	JJ	first
,	,	,
and	CC	and
he	PP	he
won	VBD	win
'	''	'
t	NN	t
be	VB	be
the	DT	the
last	JJ	last
young	JJ	young
kid	NN	kid
to	TO	to
lose	VB	lose
his	PP$	his
life	NN	life
to	TO	to
law	NN	law
enforcement	NN	enforcement
.	SENT	.
But	CC	but
see	VB	see
,	,	,
his	PP$	his
death	NN	death
was	VBD	be
different	JJ	different
.	SENT	.
When	WRB	when
Mike	NP	Mike
was	VBD	be
killed	VBN	kill
,	,	,
I	PP	I
remember	VBP	remember
the	DT	the
powers	NNS	power
that	RB	that
be	VB	be
trying	VBG	try
to	TO	to
use	VB	use
fear	NN	fear
as	IN	as
a	DT	a
weapon	NN	weapon
.	SENT	.
The	DT	the
police	NN	police
response	NN	response
to	TO	to
a	DT	a
community	NN	community
in	IN	in
mourning	NN	mourning
was	VBD	be
to	TO	to
use	VB	use
force	NN	force
to	TO	to
impose	VB	impose
fear	NN	fear
:	:	:
fear	VBP	fear
of	IN	of
militarized	VBN	militarize
police	NNS	police
,	,	,
imprisonment	NN	imprisonment
,	,	,
fines	NNS	fine
.	SENT	.
The	DT	the
media	NNS	medium
even	RB	even
tried	VBD	try
to	TO	to
make	VB	make
us	PP	us
afraid	JJ	afraid
of	IN	of
each	DT	each
other	JJ	other
by	IN	by
the	DT	the
way	NN	way
they	PP	they
spun	VBD	spin
the	DT	the
story	NN	story
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
these	DT	these
things	NNS	thing
have	VBP	have
worked	VBN	work
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
But	CC	but
like	IN	like
I	PP	I
said	VBD	say
,	,	,
this	DT	this
time	NN	time
it	PP	it
was	VBD	be
different	JJ	different
.	SENT	.
Michael	NP	Michael
Brown	NP	Brown
'	POS	'
s	NN	S
death	NN	death
and	CC	and
the	DT	the
subsequent	JJ	subsequent
treatment	NN	treatment
of	IN	of
the	DT	the
community	NN	community
led	VBD	lead
to	TO	to
a	DT	a
string	NN	string
of	IN	of
protests	NNS	protest
in	IN	in
and	CC	and
around	IN	around
Ferguson	NP	Ferguson
and	CC	and
St	NP	St
.	SENT	.
Louis	NP	Louis
.	SENT	.
When	WRB	when
