When	WRB	when
my	PP$	my
brother	NN	brother
called	VBD	call
me	PP	me
in	IN	in
December	NP	December
of	IN	of
1998	CD	@card@
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
The	DT	the
news	NN	news
does	VBZ	do
not	RB	not
look	VB	look
good	JJ	good
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
him	PP	him
on	IN	on
the	DT	the
screen	NN	screen
.	SENT	.
He	PP	he
'	POS	'
d	NN	d
just	RB	just
been	VBN	be
diagnosed	VBN	diagnose
with	IN	with
ALS	FW	als
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
disease	NN	disease
that	IN	that
the	DT	the
average	JJ	average
lifespan	NN	lifespan
is	VBZ	be
three	CD	three
years	NNS	year
.	SENT	.
It	PP	it
paralyzes	VBZ	paralyze
you	PP	you
.	SENT	.
It	PP	it
starts	VBZ	start
by	IN	by
killing	VBG	kill
the	DT	the
motor	NN	motor
neurons	NNS	neuron
in	IN	in
your	PP$	your
spinal	JJ	spinal
cord	NN	cord
.	SENT	.
And	CC	and
you	PP	you
go	VBP	go
from	IN	from
being	VBG	be
a	DT	a
healthy	JJ	healthy
,	,	,
robust	JJ	robust
29-year-old	JJ	29-year-old
male	NN	male
to	TO	to
someone	NN	someone
that	WDT	that
cannot	MD	can
breathe	VB	breathe
,	,	,
cannot	MD	can
move	VB	move
,	,	,
cannot	MD	can
speak	VB	speak
.	SENT	.
This	DT	this
has	VBZ	have
actually	RB	actually
been	VBN	be
,	,	,
to	TO	to
me	PP	me
,	,	,
a	DT	a
gift	NN	gift
,	,	,
because	IN	because
we	PP	we
began	VBD	begin
a	DT	a
journey	NN	journey
to	TO	to
learn	VB	learn
a	DT	a
new	JJ	new
way	NN	way
of	IN	of
thinking	VBG	think
about	IN	about
life	NN	life
.	SENT	.
And	CC	and
even	RB	even
though	IN	though
Steven	NP	Steven
passed	VBD	pass
away	RB	away
three	CD	three
years	NNS	year
ago	RB	ago
we	PP	we
had	VBD	have
an	DT	an
amazing	JJ	amazing
journey	NN	journey
as	IN	as
a	DT	a
family	NN	family
.	SENT	.
We	PP	we
did	VBD	do
not	RB	not
even	RB	even
—	:	-
I	PP	I
think	VBP	think
adversity	NN	adversity
is	VBZ	be
not	RB	not
even	RB	even
the	DT	the
right	JJ	right
word	NN	word
.	SENT	.
We	PP	we
looked	VBD	look
at	IN	at
this	DT	this
and	CC	and
we	PP	we
said	VBD	say
,	,	,
"	``	"
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
something	NN	something
with	IN	with
this	DT	this
in	IN	in
an	DT	an
incredibly	RB	incredibly
positive	JJ	positive
way	NN	way
.	SENT	.
"	``	"
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
today	NN	today
about	IN	about
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
decided	VBD	decide
to	TO	to
do	VB	do
