Hello	UH	hello
,	,	,
everybody	NN	everybody
,	,	,
I	PP	I
am	VBP	be
delighted	VBN	delight
to	TO	to
be	VB	be
here	RB	here
and	CC	and
grateful	JJ	grateful
to	TO	to
all	DT	all
of	IN	of
you	PP	you
for	IN	for
joining	VBG	join
us	PP	us
for	IN	for
this	DT	this
discussion	NN	discussion
.	SENT	.
In	IN	in
2015	CD	@card@
,	,	,
I	PP	I
gave	VBD	give
a	DT	a
TEDx	NP	<unknown>
Talk	NN	talk
in	IN	in
a	DT	a
little	JJ	little
elementary	JJ	elementary
school	NN	school
auditorium	NN	auditorium
,	,	,
and	CC	and
much	RB	much
to	TO	to
my	PP$	my
surprise	NN	surprise
,	,	,
the	DT	the
talk	NN	talk
became	VBD	become
one	CD	one
of	IN	of
the	DT	the
10	CD	@card@
most-viewed	JJ	<unknown>
talks	NNS	talk
in	IN	in
the	DT	the
history	NN	history
of	IN	of
TED	VB	ted
.	SENT	.
And	CC	and
in	IN	in
that	DT	that
talk	NN	talk
,	,	,
I	PP	I
conveyed	VBD	convey
one	CD	one
simple	JJ	simple
scientific	JJ	scientific
finding	NN	finding
.	SENT	.
The	DT	the
finding	NN	finding
that	IN	that
when	WRB	when
we	PP	we
study	VBP	study
hundreds	NNS	hundred
of	IN	of
people	NNS	people
over	IN	over
their	PP$	their
entire	JJ	entire
adult	NN	adult
lives	NNS	life
,	,	,
the	DT	the
people	NNS	people
who	WP	who
turn	VBP	turn
out	RP	out
to	TO	to
be	VB	be
the	DT	the
happiest	JJS	happy
and	CC	and
the	DT	the
healthiest	JJS	healthy
are	VBP	be
those	DT	those
who	WP	who
have	VBP	have
good	JJ	good
,	,	,
warm	JJ	warm
connections	NNS	connection
to	TO	to
others	NNS	other
.	SENT	.
So	IN	so
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
deeper	JJR	deep
into	IN	into
this	DT	this
whole	JJ	whole
subject	NN	subject
,	,	,
by	IN	by
exploring	VBG	explore
how	WRB	how
relationships	NNS	relationship
matter	VBP	matter
in	IN	in
our	PP$	our
lives	NNS	life
,	,	,
how	WRB	how
they	PP	they
affect	VBP	affect
our	PP$	our
health	NN	health
,	,	,
what	WDT	what
kinds	NNS	kind
of	IN	of
relationships	NNS	relationship
give	VBP	give
us	PP	us
this	DT	this
big	JJ	big
benefit	NN	benefit
in	IN	in
happiness	NN	happiness
,	,	,
and	CC	and
which	WDT	which
tools	NNS	tool
you	PP	you
can	MD	can
start	VB	start
using	VBG	use
today	NN	today
to	TO	to
make	VB	make
your	PP$	your
relationship	NN	relationship
stronger	RBR	stronger
.	SENT	.
So	RB	so
I	PP	I
do	VBP	do
direct	VB	direct
this	DT	this
Harvard	NP	Harvard
Study	NN	study
of	IN	of
Adult	JJ	adult
Development	NP	Development
.	SENT	.
