Alright	RB	alright
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
take	VB	take
a	DT	a
moment	NN	moment
.	SENT	.
Think	VB	think
about	IN	about
a	DT	a
time	NN	time
when	WRB	when
you	PP	you
were	VBD	be
recently	RB	recently
sick	JJ	sick
.	SENT	.
Try	VB	try
specifically	RB	specifically
to	TO	to
think	VB	think
of	IN	of
a	DT	a
time	NN	time
when	WRB	when
,	,	,
even	RB	even
though	IN	though
you	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
feeling	VBG	feel
all	PDT	all
that	DT	that
great	JJ	great
,	,	,
you	PP	you
still	RB	still
felt	VBD	feel
well	RB	well
enough	JJ	enough
to	TO	to
get	VB	get
up	RP	up
out	RP	out
of	IN	of
bed	NN	bed
,	,	,
go	VBP	go
about	IN	about
your	PP$	your
day	NN	day
.	SENT	.
OK	UH	OK
,	,	,
what	WP	what
was	VBD	be
your	PP$	your
mood	NN	mood
like	VB	like
?	SENT	?
Did	VBD	do
you	PP	you
feel	VBP	feel
a	DT	a
little	JJ	little
sad	JJ	sad
or	CC	or
depressed	JJ	depressed
?	SENT	?
What	WP	what
types	NNS	type
of	IN	of
social	JJ	social
interactions	NNS	interaction
did	VBD	do
you	PP	you
want	VBP	want
to	TO	to
have	VB	have
?	SENT	?
Would	MD	would
you	PP	you
have	VBP	have
wanted	VBN	want
to	TO	to
go	VB	go
to	TO	to
a	DT	a
cocktail	NN	cocktail
party	NN	party
full	JJ	full
of	IN	of
strangers	NNS	stranger
or	CC	or
out	RB	out
on	IN	on
a	DT	a
first	JJ	first
date	NN	date
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
a	DT	a
psychology	NN	psychology
professor	NN	professor
at	IN	at
the	DT	the
University	NP	University
of	IN	of
North	NP	North
Carolina	NP	Carolina
at	IN	at
Chapel	NP	Chapel
Hill	NP	Hill
,	,	,
and	CC	and
for	IN	for
the	DT	the
past	JJ	past
15	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
studying	VBG	study
the	DT	the
interconnections	NNS	interconnection
between	IN	between
physiological	JJ	physiological
changes	NNS	change
happening	VBG	happen
in	IN	in
the	DT	the
body	NN	body
during	IN	during
sickness	NN	sickness
and	CC	and
psychological	JJ	psychological
and	CC	and
social	JJ	social
well-being	NN	well-being
.	SENT	.
Specifically	RB	specifically
my	PP$	my
lab	NN	lab
studies	NNS	study
social	JJ	social
psychoneuroimmunology	NN	psychoneuroimmunology
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
mouthful	NN	mouthful
to	TO	to
say	VB	say
,	,	,
and	CC	and
is	VBZ	be
a	DT	a
field	NN	field
of	IN	of
research	NN	research
that	RB	that
'	POS	'
s	NNS	<unknown>
dedicated	VBN	dedicate
to	TO	to
discovering	VBG	discover
interactions	NNS	interaction
between	IN	between
our	PP$	our
social	JJ	social
experiences	NNS	experience
,	,	,
psychological	JJ	psychological
processes	NNS	process
and	CC	and
the	DT	the
immune	JJ	immune
system	NN	system
.	SENT	.
Today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
some	DT	some
research	NN	research
showing	VBG	show
that	IN	that
the	DT	the
same	JJ	same
physiological	JJ	physiological
changes	NNS	change
happening	VBG	happen
in	IN	in
your	PP$	your
body	NN	body
that	WDT	that
cause	VBP	cause
the	DT	the
physical	JJ	physical
symptoms	NNS	symptom
you	PP	you
have	VBP	have
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
sick	JJ	sick
,	,	,
are	VBP	be
also	RB	also
shaping	VBG	shape
your	PP$	your
mood	NN	mood
and	CC	and
your	PP$	your
social	JJ	social
behavior	NN	behavior
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
changes	NNS	change
in	IN	in
the	DT	the
immune	JJ	immune
system	NN	system
can	MD	can
signal	VB	signal
to	TO	to
the	DT	the
brain	NN	brain
to	TO	to
cause	VB	cause
us	PP	us
to	TO	to
think	VB	think
,	,	,
feel	VB	feel
and	CC	and
act	VB	act
differently	RB	differently
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
that	IN	that
,	,	,
but	CC	but
also	RB	also
our	PP$	our
social	JJ	social
experiences	NNS	experience
can	MD	can
cause	VB	cause
changes	NNS	change
in	IN	in
our	PP$	our
immune	JJ	immune
systems	NNS	system
.	SENT	.
So	RB	so
purely	RB	purely
psychological	JJ	psychological
things	NNS	thing
happening	VBG	happen
in	IN	in
our	PP$	our
brains	NNS	brain
can	MD	can
cause	VB	cause
the	DT	the
immune	JJ	immune
system	NN	system
to	TO	to
ramp	VB	ramp
up	RP	up
or	CC	or
ramp	VB	ramp
down	RP	down
.	SENT	.
Because	IN	because
of	IN	of
that	DT	that
,	,	,
we	PP	we
can	MD	can
get	VB	get
caught	VBN	catch
in	IN	in
these	DT	these
vicious	JJ	vicious
cycles	NNS	cycle
where	WRB	where
our	PP$	our
psychological	JJ	psychological
experiences	NNS	experience
can	MD	can
cause	VB	cause
changes	NNS	change
in	IN	in
our	PP$	our
immune	JJ	immune
system	NN	system
,	,	,
and	CC	and
those	DT	those
immunological	JJ	immunological
shifts	NNS	shift
can	MD	can
cause	VB	cause
