Let	VB	let
me	PP	me
get	VB	get
started	VBN	start
with	IN	with
this	DT	this
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
mom	NN	mom
and	CC	and
I	PP	I
have	VBP	have
13-year-old	JJ	13-year-old
twin	JJ	twin
boys	NNS	boy
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
a	DT	a
vivid	JJ	vivid
memory	NN	memory
from	IN	from
when	WRB	when
they	PP	they
were	VBD	be
in	IN	in
pre-K	NN	<unknown>
.	SENT	.
A	DT	a
mom	NN	mom
came	VBD	come
over	RP	over
at	IN	at
pickup	NN	pickup
to	TO	to
befriend	VB	befriend
me	PP	me
and	CC	and
she	PP	she
started	VBD	start
telling	VBG	tell
me	PP	me
about	IN	about
her	PP$	her
daughter	NN	daughter
.	SENT	.
She	PP	she
said	VBD	say
,	,	,
"	``	"
She	PP	she
'	POS	'
s	NN	S
like	IN	like
me	PP	me
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
just	RB	just
not	RB	not
a	DT	a
math	NN	math
kid	NN	kid
.	SENT	.
But	CC	but
your	PP$	your
boys	NNS	boy
,	,	,
your	PP$	your
boys	NNS	boy
are	VBP	be
math	NN	math
kids	NNS	kid
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
just	RB	just
not	RB	not
math	NN	math
people	NNS	people
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
stunned	VBN	stun
.	SENT	.
I	PP	I
worried	VBD	worry
if	IN	if
I	PP	I
opened	VBD	open
my	PP$	my
mouth	NN	mouth
to	TO	to
disagree	VB	disagree
,	,	,
I	PP	I
'	POS	'
d	NN	d
say	VBP	say
something	NN	something
crazy	JJ	crazy
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
know	VBP	know
the	DT	the
price	NN	price
of	IN	of
crazy	JJ	crazy
at	IN	at
pickup	NN	pickup
.	SENT	.
You	PP	you
never	RB	never
get	VBP	get
invited	VBN	invite
to	TO	to
any	DT	any
playdates	NNS	playdate
.	SENT	.
So	RB	so
I	PP	I
bit	VBD	bite
my	PP$	my
tongue	NN	tongue
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
smartest	JJS	smart
and	CC	and
sweetest	JJS	sweet
mom	NN	mom
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
thinking	VBG	think
,	,	,
"	``	"
How	WRB	how
do	VBP	do
you	PP	you
know	VBP	know
your	PP$	your
four-year-old	JJ	four-year-old
will	MD	will
never	RB	never
be	VB	be
good	JJ	good
at	IN	at
math	NN	math
?	SENT	?
"	''	"
Can	MD	can
you	PP	you
imagine	VB	imagine
if	IN	if
we	PP	we
thought	VBD	think
the	DT	the
same	JJ	same
thing	NN	thing
in	IN	in
reading	NN	reading
?	SENT	?
If	IN	if
a	DT	a
kid	NN	kid
struggled	VBD	struggle
and	CC	and
we	PP	we
said	VBD	say
,	,	,
"	``	"
Ah	UH	ah
,	,	,
she	PP	she
'	POS	'
s	NN	S
just	RB	just
not	RB	not
a	DT	a
reading	NN	reading
kid	NN	kid
.	SENT	.
"	''	"
And	CC	and
then	RB	then
we	PP	we
took	VBD	take
away	RB	away
all	PDT	all
the	DT	the
challenging	JJ	challenging
books	NNS	book
and	CC	and
writing	VBG	write
assignments	NNS	assignment
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
her	PP$	her
school	NN	school
years	NNS	year
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
never	RB	never
do	VBP	do
that	DT	that
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
never	RB	never
be	VB	be
OK	RB	OK
labeling	VBG	label
some	DT	some
of	IN	of
the	DT	the
kids	NNS	kid
"	''	"
reading	NN	reading
kids	NNS	kid
,	,	,
"	''	"
and	CC	and
leaving	VBG	leave
the	DT	the
rest	NN	rest
illiterate	NN	illiterate
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
exactly	RB	exactly
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
math	NN	math
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
math	NN	math
learning	VBG	learn
expert	NN	expert
and	CC	and
an	DT	an
education	NN	education
technologist	NN	technologist
,	,	,
and	CC	and
believe	VBP	believe
it	PP	it
or	CC	or
not	RB	not
,	,	,
I	PP	I
was	VBD	be
not	RB	not
always	RB	always
a	DT	a
math	NN	math
kid	NN	kid
.	SENT	.
But	CC	but
for	IN	for
the	DT	the
last	JJ	last
12	CD	@card@
years	NNS	year
,	,	,
I	PP	I
have	VBP	have
observed	VBN	observe
millions	NNS	million
of	IN	of
students	NNS	student
complete	JJ	complete
billions	NNS	billion
of	IN	of
math	NN	math
problems	NNS	problem
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
visited	VBD	visit
math	NN	math
classrooms	NNS	classroom
on	IN	on
three	CD	three
continents	NNS	continent
,	,	,
all	RB	all
to	TO	to
build	VB	build
the	DT	the
math-learning	NN	math-learning
nonprofit	JJ	nonprofit
Zearn	NP	<unknown>
.	SENT	.
And	CC	and
in	IN	in
all	PDT	all
that	DT	that
work	NN	work
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
one	CD	one
important	JJ	important
thing	NN	thing
:	:	:
We	PP	we
are	VBP	be
asking	VBG	ask
the	DT	the
wrong	JJ	wrong
question	NN	question
in	IN	in
math	NN	math
learning	NN	learning
.	SENT	.
Instead	RB	instead
of	IN	of
asking	VBG	ask
who	WP	who
can	MD	can
learn	VB	learn
math	NN	math
,	,	,
we	PP	we
should	MD	should
be	VB	be
asking	VBG	ask
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
teach	VB	teach
math	NN	math
?	SENT	?
Because	IN	because
when	WRB	when
we	PP	we
ask	VBP	ask
"	''	"
who	WP	who
,	,	,
"	``	"
we	PP	we
imply	VBP	imply
that	IN	that
math	NN	math
learning	NN	learning
is	VBZ	be
some	DT	some
rare	JJ	rare
genetic	JJ	genetic
ability	NN	ability
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
We	PP	we
have	VBP	have
piles	NNS	pile
of	IN	of
data	NNS	datum
that	WDT	that
tell	VBP	tell
us	PP	us
we	PP	we
can	MD	can
all	RB	all
build	VB	build
a	DT	a
math	NN	math
mind	NN	mind
,	,	,
and	CC	and
we	PP	we
all	RB	all
need	VBP	need
a	DT	a
math	NN	math
mind	NN	mind
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
have	VBP	have
four	CD	four
steps	NNS	step
to	TO	to
offer	VB	offer
that	WDT	that
begin	VBP	begin
to	TO	to
answer	VB	answer
the	DT	the
question	NN	question
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
build	VB	build
a	DT	a
math	NN	math
mind	NN	mind
and	CC	and
hopefully	RB	hopefully
put	VB	put
an	DT	an
end	NN	end
to	TO	to
this	DT	this
labeling	VBG	label
nonsense	NN	nonsense
once	RB	once
and	CC	and
for	IN	for
all	DT	all
.	SENT	.
Step	NN	step
one	CD	one
:	:	:
believe	VBP	believe
.	SENT	.
Remember	VB	remember
when	WRB	when
I	PP	I
said	VBD	say
I	PP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
always	RB	always
a	DT	a
math	NN	math
kid	NN	kid
?	SENT	?
I	PP	I
was	VBD	be
in	IN	in
sixth	JJ	sixth
grade	NN	grade
.	SENT	.
I	PP	I
had	VBD	have
just	RB	just
transferred	VBN	transfer
schools	NNS	school
and	CC	and
it	PP	it
was	VBD	be
in	IN	in
math	NN	math
class	NN	class
that	IN	that
I	PP	I
fell	VBD	fall
apart	RB	apart
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
friends	NNS	friend
in	IN	in
math	NN	math
class	NN	class
,	,	,
and	CC	and
the	DT	the
kids	NNS	kid
who	WP	who
were	VBD	be
thriving	VBG	thrive
were	VBD	be
a	DT	a
group	NN	group
of	IN	of
boys	NNS	boy
who	WP	who
wouldn	NP	<unknown>
'	POS	'
t	NN	t
talk	NN	talk
to	TO	to
me	PP	me
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
not	RB	not
talk	VB	talk
to	TO	to
them	PP	them
either	RB	either
.	SENT	.
Because	IN	because
they	PP	they
were	VBD	be
grody	JJ	<unknown>
.	SENT	.
One	CD	one
day	NN	day
after	IN	after
a	DT	a
test	NN	test
,	,	,
my	PP$	my
teacher	NN	teacher
called	VBD	call
me	PP	me
over	RP	over
to	TO	to
his	PP$	his
desk	NN	desk
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
If	IN	if
you	PP	you
try	VBP	try
your	PP$	your
very	JJ	very
best	JJS	good
,	,	,
you	PP	you
could	MD	could
be	VB	be
just	RB	just
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
boys	NNS	boy
.	SENT	.
"	''	"
Eek	NNS	<unknown>
!	SENT	!
Not	RB	not
an	DT	an
ideal	JJ	ideal
thing	NN	thing
to	TO	to
say	VB	say
to	TO	to
a	DT	a
little	JJ	little
girl	NN	girl
.	SENT	.
And	CC	and
the	DT	the
gender	NN	gender
gaps	NNS	gap
in	IN	in
math	NN	math
persist	VBP	persist
today	NN	today
.	SENT	.
But	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
because	IN	because
my	PP$	my
heart	NN	heart
exploded	VBD	explode
.	SENT	.
The	DT	the
coolest	JJS	cool
teacher	NN	teacher
I	PP	I
had	VBD	have
ever	RB	ever
met	VBN	meet
said	VBD	say
that	IN	that
I	PP	I
could	MD	could
succeed	VB	succeed
.	SENT	.
Hyperbole	NN	hyperbole
,	,	,
maybe	RB	maybe
,	,	,
but	CC	but
I	PP	I
think	VBP	think
his	PP$	his
words	NNS	word
changed	VBD	change
the	DT	the
course	NN	course
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
Because	IN	because
he	PP	he
believed	VBD	believe
,	,	,
he	PP	he
started	VBD	start
a	DT	a
powerful	JJ	powerful
chain	NN	chain
reaction	NN	reaction
.	SENT	.
Because	IN	because
he	PP	he
believed	VBD	believe
,	,	,
I	PP	I
built	VBD	build
up	RP	up
the	DT	the
courage	NN	courage
to	TO	to
ask	VB	ask
for	IN	for
extra	JJ	extra
help	NN	help
.	SENT	.
And	CC	and
with	IN	with
that	DT	that
extra	JJ	extra
help	NN	help
,	,	,
I	PP	I
did	VBD	do
the	DT	the
extra	JJ	extra
work	NN	work
.	SENT	.
And	CC	and
with	IN	with
that	DT	that
courage	NN	courage
,	,	,
extra	JJ	extra
help	NN	help
and	CC	and
extra	JJ	extra
work	NN	work
,	,	,
I	PP	I
became	VBD	become
a	DT	a
math	NN	math
kid	NN	kid
.	SENT	.
And	CC	and
along	IN	along
the	DT	the
way	NN	way
,	,	,
I	PP	I
learned	VBD	learn
my	PP$	my
experience	NN	experience
was	VBD	be
pretty	RB	pretty
normal	JJ	normal
.	SENT	.
All	DT	all
kids	NNS	kid
,	,	,
even	RB	even
the	DT	the
math	NN	math
kids	NNS	kid
,	,	,
fall	VB	fall
behind	RB	behind
,	,	,
struggle	NN	struggle
or	CC	or
feel	VB	feel
math	NN	math
anxiety	NN	anxiety
.	SENT	.
But	CC	but
the	DT	the
difference	NN	difference
for	IN	for
those	DT	those
kids	NNS	kid
is	VBZ	be
someone	NN	someone
believes	VBZ	believe
.	SENT	.
And	CC	and
so	RB	so
they	PP	they
do	VBP	do
the	DT	the
work	NN	work
and	CC	and
they	PP	they
catch	VBP	catch
up	RP	up
.	SENT	.
Actually	RB	actually
,	,	,
in	IN	in
any	DT	any
subject	NN	subject
you	PP	you
learn	VBP	learn
,	,	,
you	PP	you
can	MD	can
fall	VB	fall
behind	RB	behind
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
usually	RB	usually
a	DT	a
signal	NN	signal
to	TO	to
work	VB	work
harder	RBR	harder
.	SENT	.
But	CC	but
in	IN	in
math	NN	math
,	,	,
that	DT	that
same	JJ	same
signal	NN	signal
is	VBZ	be
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
what	WP	what
it	PP	it
takes	VBZ	take
,	,	,
and	CC	and
we	PP	we
give	VBP	give
up	RP	up
and	CC	and
seal	VB	seal
our	PP$	our
fate	NN	fate
.	SENT	.
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	NN	S
why	WRB	why
the	DT	the
first	JJ	first
step	NN	step
is	VBZ	be
to	TO	to
believe	VB	believe
.	SENT	.
And	CC	and
the	DT	the
second	JJ	second
step	NN	step
is	VBZ	be
to	TO	to
understand	VB	understand
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
just	RB	just
memorize	VBP	memorize
math	NN	math
,	,	,
understand	VB	understand
it	PP	it
and	CC	and
use	VB	use
pictures	NNS	picture
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
say	VBP	say
you	PP	you
have	VBP	have
to	TO	to
take	VB	take
a	DT	a
reading	NN	reading
test	NN	test
and	CC	and
you	PP	you
memorize	VBP	memorize
200	CD	@card@
words	NNS	word
to	TO	to
take	VB	take
the	DT	the
test	NN	test
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
actually	RB	actually
know	VBP	know
how	WRB	how
to	TO	to
read	VB	read
,	,	,
but	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
you	PP	you
get	VB	get
an	DT	an
A	NP	A
on	IN	on
the	DT	the
test	NN	test
.	SENT	.
And	CC	and
then	RB	then
naturally	RB	naturally
,	,	,
a	DT	a
