So	IN	so
the	DT	the
other	JJ	other
morning	NN	morning
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
grocery	NN	grocery
store	NN	store
and	CC	and
an	DT	an
employee	NN	employee
greeted	VBD	greet
me	PP	me
with	IN	with
a	DT	a
"	``	"
Good	JJ	good
morning	NN	morning
,	,	,
sir	NN	sir
,	,	,
can	MD	can
I	PP	I
help	VB	help
you	PP	you
with	IN	with
anything	NN	anything
?	SENT	?
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
thanks	NNS	thanks
,	,	,
I	PP	I
'	POS	'
m	NN	m
good	JJ	good
.	SENT	.
"	''	"
The	DT	the
person	NN	person
smiled	VBD	smile
and	CC	and
we	PP	we
went	VBD	go
our	PP$	our
separate	JJ	separate
ways	NNS	way
.	SENT	.
I	PP	I
grabbed	VBD	grab
Cheerios	NPS	Cheerios
and	CC	and
I	PP	I
left	VBD	leave
the	DT	the
grocery	NN	grocery
store	NN	store
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
through	IN	through
the	DT	the
drive-through	NN	<unknown>
of	IN	of
a	DT	a
local	JJ	local
coffee	NN	coffee
shop	NN	shop
.	SENT	.
After	IN	after
I	PP	I
placed	VBD	place
my	PP$	my
order	NN	order
,	,	,
the	DT	the
voice	NN	voice
on	IN	on
the	DT	the
other	JJ	other
end	NN	end
said	VBD	say
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
,	,	,
ma	NN	ma
'	''	'
am	VBP	be
.	SENT	.
Drive	VB	drive
right	RB	right
around	RB	around
.	SENT	.
"	''	"
Now	RB	now
,	,	,
in	IN	in
the	DT	the
span	NN	span
of	IN	of
less	JJR	less
than	IN	than
an	DT	an
hour	NN	hour
,	,	,
I	PP	I
was	VBD	be
understood	VBN	understand
both	CC	both
as	IN	as
a	DT	a
"	``	"
sir	NN	sir
"	''	"
and	CC	and
as	IN	as
a	DT	a
"	``	"
ma	NN	ma
'	''	'
am	VBP	be
.	SENT	.
"	''	"
But	CC	but
for	IN	for
me	PP	me
,	,	,
neither	CC	neither
of	IN	of
these	DT	these
people	NNS	people
are	VBP	be
wrong	JJ	wrong
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
not	RB	not
completely	RB	completely
right	JJ	right
.	SENT	.
This	DT	this
cute	JJ	cute
little	JJ	little
human	NN	human
is	VBZ	be
my	PP$	my
almost-two-year-old	JJ	almost-two-year-old
Elliot	NP	Elliot
.	SENT	.
Yeah	RB	yeah
,	,	,
alright	RB	alright
.	SENT	.
And	CC	and
over	IN	over
the	DT	the
past	JJ	past
two	CD	two
years	NNS	year
,	,	,
this	DT	this
kid	NN	kid
has	VBZ	have
forced	VBN	force
me	PP	me
to	TO	to
rethink	VB	rethink
the	DT	the
world	NN	world
and	CC	and
how	WRB	how
I	PP	I
participate	VBP	participate
in	IN	in
it	PP	it
.	SENT	.
I	PP	I
identify	VBP	identify
as	IN	as
transgender	NN	transgender
and	CC	and
as	IN	as
a	DT	a
parent	NN	parent
,	,	,
that	WDT	that
makes	VBZ	make
me	PP	me
a	DT	a
transparent	JJ	transparent
.	SENT	.
As	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
I	PP	I
took	VBD	take
this	DT	this
year	NN	year
'	POS	'
s	NN	S
theme	NN	theme
super	JJ	super
literal	NN	literal
.	SENT	.
Like	IN	like
any	DT	any
good	JJ	good
dad	NN	dad
joke	NN	joke
should	MD	should
.	SENT	.
More	RBR	more
specifically	RB	specifically
,	,	,
I	PP	I
identify	VBP	identify
as	IN	as
genderqueer	NN	genderqueer
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
ways	NNS	way
to	TO	to
experience	VB	experience
being	VBG	be
genderqueer	NN	genderqueer
,	,	,
but	CC	but
for	IN	for
me	PP	me
that	WDT	that
means	VBZ	mean
I	PP	I
don	NN	don
'	POS	'
t	NN	t
really	RB	really
identify	VB	identify
as	IN	as
a	DT	a
man	NN	man
or	CC	or
a	DT	a
woman	NN	woman
.	SENT	.
I	PP	I
feel	VBP	feel
in	IN	in
between	IN	between
and	CC	and
sometimes	RB	sometimes
outside	JJ	outside
of	IN	of
this	DT	this
gender	NN	gender
binary	NN	binary
.	SENT	.
And	CC	and
being	VBG	be
outside	JJ	outside
of	IN	of
this	DT	this
gender	NN	gender
binary	NN	binary
means	VBZ	mean
that	IN	that
sometimes	RB	sometimes
I	PP	I
get	VBP	get
"	``	"
sired	VBN	sire
"	''	"
and	CC	and
"	``	"
ma	NN	ma
'	''	'
amed	VBN	<unknown>
"	''	"
in	IN	in
the	DT	the
span	NN	span
of	IN	of
less	JJR	less
than	IN	than
an	DT	an
hour	NN	hour
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
out	IN	out
doing	VBG	do
everyday	JJ	everyday
things	NNS	thing
like	IN	like
getting	VBG	get
Cheerios	NPS	Cheerios
.	SENT	.
But	CC	but
this	DT	this
in	IN	in
between	IN	between
lane	NN	lane
is	VBZ	be
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
most	RBS	most
comfortable	JJ	comfortable
.	SENT	.
