Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
The	DT	the
rights	NNS	right
of	IN	of
citizens	NNS	citizen
,	,	,
the	DT	the
future	NN	future
of	IN	of
the	DT	the
Internet	NN	Internet
.	SENT	.
So	RB	so
I	PP	I
would	MD	would
like	VB	like
to	TO	to
welcome	VB	welcome
to	TO	to
the	DT	the
TED	VBP	ted
stage	VB	stage
the	DT	the
man	NN	man
behind	IN	behind
those	DT	those
revelations	NNS	revelation
,	,	,
Ed	NP	Ed
Snowden	NP	Snowden
.	SENT	.
Ed	NP	Ed
is	VBZ	be
in	IN	in
a	DT	a
remote	JJ	remote
location	NN	location
somewhere	RB	somewhere
in	IN	in
Russia	NP	Russia
controlling	VBG	control
this	DT	this
bot	NN	bot
from	IN	from
his	PP$	his
laptop	NN	laptop
,	,	,
so	RB	so
he	PP	he
can	MD	can
see	VB	see
what	WP	what
the	DT	the
bot	NN	bot
can	MD	can
see	VB	see
.	SENT	.
Ed	NP	Ed
,	,	,
welcome	JJ	welcome
to	TO	to
the	DT	the
TED	VBP	ted
stage	NN	stage
.	SENT	.
What	WP	what
can	MD	can
you	PP	you
see	VB	see
,	,	,
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
?	SENT	?
Edward	NP	Edward
Snowden	NP	Snowden
:	:	:
Ha	NP	Ha
,	,	,
I	PP	I
can	MD	can
see	VB	see
everyone	NN	everyone
.	SENT	.
This	DT	this
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
CA	MD	ca
:	:	:
Ed	NP	Ed
,	,	,
some	DT	some
questions	NNS	question
for	IN	for
you	PP	you
.	SENT	.
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
called	VBN	call
many	JJ	many
things	NNS	thing
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
months	NNS	month
.	SENT	.
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
called	VBN	call
a	DT	a
whistleblower	NN	whistleblower
,	,	,
a	DT	a
traitor	NN	traitor
,	,	,
a	DT	a
hero	NN	hero
.	SENT	.
