Hello	UH	hello
I	NP	I
'	POS	'
m	NN	m
Jess	NP	Jess
Thom	NP	Thom
,	,	,
I	NP	I
'	POS	'
m	NN	m
an	DT	an
artist	NN	artist
and	CC	and
part-time	JJ	part-time
superhero	NN	superhero
.	SENT	.
I	PP	I
have	VBP	have
Tourette	NP	<unknown>
'	POS	'
s	JJ	<unknown>
syndrome	NN	syndrome
a	DT	a
neurological	JJ	neurological
condition	NN	condition
that	WDT	that
causes	VBZ	cause
involuntary	JJ	involuntary
movements	NNS	movement
and	CC	and
noises	NNS	noise
called	VBD	call
tics	NNS	tic
.	SENT	.
There	EX	there
are	VBP	be
three	CD	three
things	NNS	thing
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
straight	RB	straight
away	RB	away
.	SENT	.
Firstly	RB	firstly
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
hear	VB	hear
the	DT	the
words	NNS	word
"	``	"
biscuit	JJ	biscuit
"	''	"
and	CC	and
"	``	"
hedgehog	NN	hedgehog
"	''	"
a	DT	a
lot	NN	lot
in	IN	in
the	DT	the
next	JJ	next
few	JJ	few
minutes	NNS	minute
.	SENT	.
Secondly	RB	secondly
,	,	,
several	JJ	several
times	NNS	time
a	DT	a
day	NN	day
,	,	,
my	PP$	my
ticks	NNS	tick
suddenly	RB	suddenly
intensify	VB	intensify
to	TO	to
a	DT	a
point	NN	point
where	WRB	where
I	PP	I
completely	RB	completely
lose	VBP	lose
control	NN	control
of	IN	of
my	PP$	my
body	NN	body
and	CC	and
speech	NN	speech
.	SENT	.
These	DT	these
episodes	NNS	episode
,	,	,
which	WDT	which
I	PP	I
call	VBP	call
ticcing	NN	<unknown>
fits	NNS	fit
look	VBP	look
seizure	NN	seizure
like	IN	like
,	,	,
and	CC	and
need	VBP	need
similar	JJ	similar
management	NN	management
.	SENT	.
If	IN	if
this	DT	this
happens	VBZ	happen
while	IN	while
I	PP	I
'	POS	'
m	NN	m
speaking	NN	speaking
,	,	,
my	PP$	my
support	NN	support
worker	NN	worker
will	MD	will
come	VB	come
and	CC	and
help	VB	help
me	PP	me
and	CC	and
Daniel	NP	Daniel
will	MD	will
take	VB	take
over	RP	over
.	SENT	.
Finally	RB	finally
,	,	,
if	IN	if
I	PP	I
tic	NN	tic
something	NN	something
funny	JJ	funny
you	PP	you
'	''	'
re	IN	re
absolutely	RB	absolutely
allowed	VBN	allow
to	TO	to
laugh	VB	laugh
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
be	VB	be
a	DT	a
bit	NN	bit
odd	JJ	odd
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
start	VB	start
by	IN	by
giving	VBG	give
you	PP	you
a	DT	a
brief	JJ	brief
introduction	NN	introduction
to	TO	to
Tourette	NP	<unknown>
'	POS	'
s	NN	S
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
misunderstood	JJ	misunderstood
conditions	NNS	condition
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
Lot	NN	lot
'	POS	'
s	NN	S
of	IN	of
people	NNS	people
have	VBP	have
heard	VBN	hear
of	IN	of
Tourette	NP	<unknown>
'	POS	'
s	NN	S
but	CC	but
most	JJS	most
of	IN	of
what	WP	what
they	PP	they
know	VBP	know
is	VBZ	be
based	VBN	base
on	IN	on
myths	NNS	myth
and	CC	and
stereotypes	NNS	stereotype
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
