Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
a	DT	a
story	NN	story
.	SENT	.
It	PP	it
goes	VBZ	go
back	RB	back
200	CD	@card@
million	CD	million
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
story	NN	story
of	IN	of
the	DT	the
neocortex	NN	neocortex
,	,	,
which	WDT	which
means	VBZ	mean
"	``	"
new	JJ	new
rind	NN	rind
.	SENT	.
"	''	"
So	RB	so
in	IN	in
these	DT	these
early	JJ	early
mammals	NNS	mammal
,	,	,
because	IN	because
only	JJ	only
mammals	NNS	mammal
have	VBP	have
a	DT	a
neocortex	NN	neocortex
,	,	,
rodent-like	JJ	rodent-like
creatures	NNS	creature
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
size	NN	size
of	IN	of
a	DT	a
postage	NN	postage
stamp	NN	stamp
and	CC	and
just	RB	just
as	RB	as
thin	JJ	thin
,	,	,
and	CC	and
was	VBD	be
a	DT	a
thin	JJ	thin
covering	NN	covering
around	IN	around
their	PP$	their
walnut-sized	JJ	walnut-sized
brain	NN	brain
,	,	,
but	CC	but
it	PP	it
was	VBD	be
capable	JJ	capable
of	IN	of
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
thinking	NN	thinking
.	SENT	.
Rather	RB	rather
than	IN	than
the	DT	the
fixed	VBN	fix
behaviors	NNS	behavior
that	IN	that
non-mammalian	JJ	non-mammalian
animals	NNS	animal
have	VBP	have
,	,	,
it	PP	it
could	MD	could
invent	VB	invent
new	JJ	new
behaviors	NNS	behavior
.	SENT	.
So	IN	so
a	DT	a
mouse	NN	mouse
is	VBZ	be
escaping	VBG	escape
a	DT	a
predator	NN	predator
,	,	,
its	PP$	its
path	NN	path
is	VBZ	be
blocked	VBN	block
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
try	VBP	try
to	TO	to
invent	VB	invent
a	DT	a
new	JJ	new
solution	NN	solution
.	SENT	.
That	DT	that
may	MD	may
work	VB	work
,	,	,
it	PP	it
may	MD	may
not	RB	not
,	,	,
but	CC	but
if	IN	if
it	PP	it
does	VBZ	do
,	,	,
it	PP	it
will	MD	will
remember	VB	remember
that	RB	that
and	CC	and
have	VB	have
a	DT	a
new	JJ	new
behavior	NN	behavior
,	,	,
and	CC	and
that	WDT	that
can	MD	can
actually	RB	actually
spread	VB	spread
virally	RB	<unknown>
through	IN	through
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
community	NN	community
.	SENT	.
Another	DT	another
mouse	NN	mouse
watching	VBG	watch
this	DT	this
could	MD	could
say	VB	say
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
that	WDT	that
was	VBD	be
pretty	RB	pretty
clever	JJ	clever
,	,	,
going	VBG	go
around	IN	around
that	DT	that
rock	NN	rock
,	,	,
"	``	"
and	CC	and
it	PP	it
could	MD	could
adopt	VB	adopt
a	DT	a
new	JJ	new
behavior	NN	behavior
as	IN	as
well	RB	well
.	SENT	.
Non-mammalian	JJ	Non-mammalian
animals	NNS	animal
couldn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
any	DT	any
of	IN	of
those	DT	those
things	NNS	thing
.	SENT	.
They	PP	they
had	VBD	have
fixed	VBN	fix
behaviors	NNS	behavior
.	SENT	.
Now	RB	now
they	PP	they
could	MD	could
learn	VB	learn
a	DT	a
new	JJ	new
behavior	NN	behavior
but	CC	but
not	RB	not
in	IN	in
the	DT	the
course	NN	course
of	IN	of
one	CD	one
lifetime	NN	lifetime
.	SENT	.
In	IN	in
the	DT	the
course	NN	course
of	IN	of
maybe	RB	maybe
a	DT	a
thousand	CD	thousand
lifetimes	NNS	lifetime
,	,	,
it	PP	it
could	MD	could
evolve	VB	evolve
a	DT	a
new	JJ	new
fixed	VBN	fix
behavior	NN	behavior
.	SENT	.
That	DT	that
was	VBD	be
perfectly	RB	perfectly
okay	JJ	okay
200	CD	@card@
million	CD	million
years	NNS	year
ago	RB	ago
.	SENT	.
The	DT	the
environment	NN	environment
changed	VBD	change
very	RB	very
slowly	RB	slowly
.	SENT	.
It	PP	it
could	MD	could
take	VB	take
10	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
for	IN	for
there	RB	there
to	TO	to
be	VB	be
a	DT	a
significant	JJ	significant
environmental	JJ	environmental
change	NN	change
,	,	,
and	CC	and
during	IN	during
that	DT	that
period	NN	period
of	IN	of
time	NN	time
it	PP	it
would	MD	would
evolve	VB	evolve
a	DT	a
new	JJ	new
behavior	NN	behavior
.	SENT	.
Now	RB	now
that	DT	that
went	VBD	go
along	IN	along
fine	NN	fine
,	,	,
but	CC	but
then	RB	then
something	NN	something
happened	VBD	happen
.	SENT	.
Sixty-five	NN	<unknown>
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
there	EX	there
was	VBD	be
a	DT	a
sudden	JJ	sudden
,	,	,
violent	JJ	violent
change	NN	change
to	TO	to
the	DT	the
environment	NN	environment
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
the	DT	the
Cretaceous	JJ	Cretaceous
extinction	NN	extinction
event	NN	event
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
when	WRB	when
the	DT	the
dinosaurs	NNS	dinosaur
went	VBD	go
extinct	JJ	extinct
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
when	WRB	when
75	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
animal	NN	animal
and	CC	and
plant	NN	plant
species	NNS	specie
went	VBD	go
extinct	JJ	extinct
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
when	WRB	when
mammals	NNS	mammal
overtook	VBD	overtake
their	PP$	their
ecological	JJ	ecological
niche	NN	niche
,	,	,
and	CC	and
to	TO	to
anthropomorphize	VB	anthropomorphize
,	,	,
biological	JJ	biological
evolution	NN	evolution
said	VBD	say
,	,	,
"	``	"
Hmm	UH	hmm
,	,	,
this	DT	this
neocortex	NN	neocortex
is	VBZ	be
pretty	RB	pretty
good	JJ	good
stuff	NN	stuff
,	,	,
"	``	"
and	CC	and
it	PP	it
began	VBD	begin
to	TO	to
grow	VB	grow
it	PP	it
.	SENT	.
And	CC	and
mammals	NNS	mammal
got	VBD	get
bigger	JJR	big
,	,	,
their	PP$	their
brains	NNS	brain
got	VBD	get
bigger	JJR	big
at	IN	at
an	DT	an
even	RB	even
faster	JJR	fast
pace	NN	pace
,	,	,
and	CC	and
the	DT	the
neocortex	NN	neocortex
got	VBD	get
bigger	JJR	big
even	RB	even
faster	JJR	fast
than	IN	than
that	DT	that
and	CC	and
developed	VBD	develop
these	DT	these
distinctive	JJ	distinctive
ridges	NNS	ridge
and	CC	and
folds	NNS	fold
basically	RB	basically
to	TO	to
increase	VB	increase
its	PP$	its
surface	NN	surface
area	NN	area
.	SENT	.
If	IN	if
you	PP	you
took	VBD	take
the	DT	the
human	JJ	human
neocortex	NN	neocortex
and	CC	and
stretched	VBD	stretch
it	PP	it
out	RP	out
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
size	NN	size
of	IN	of
a	DT	a
table	NN	table
napkin	NN	napkin
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
still	RB	still
a	DT	a
thin	JJ	thin
structure	NN	structure
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
thickness	NN	thickness
of	IN	of
a	DT	a
table	NN	table
napkin	NN	napkin
.	SENT	.
But	CC	but
it	PP	it
has	VBZ	have
so	RB	so
many	JJ	many
convolutions	NNS	convolution
and	CC	and
ridges	VBZ	ridge
it	PP	it
'	''	'
s	VBG	<unknown>
now	RB	now
80	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
brain	NN	brain
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
do	VBP	do
our	PP$	our
thinking	NN	thinking
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
great	JJ	great
sublimator	NN	<unknown>
.	SENT	.
We	PP	we
still	RB	still
have	VBP	have
that	DT	that
old	JJ	old
brain	NN	brain
that	WDT	that
provides	VBZ	provide
our	PP$	our
basic	JJ	basic
drives	NNS	drive
and	CC	and
motivations	NNS	motivation
,	,	,
but	CC	but
I	PP	I
may	MD	may
have	VB	have
a	DT	a
drive	NN	drive
for	IN	for
conquest	NN	conquest
,	,	,
and	CC	and
that	IN	that
'	''	'
ll	NN	ll
be	VB	be
sublimated	VBN	sublimate
by	IN	by
the	DT	the
neocortex	NN	neocortex
into	IN	into
writing	VBG	write
a	DT	a
poem	NN	poem
or	CC	or
inventing	VBG	invent
an	DT	an
app	NP	App
or	CC	or
giving	VBG	give
a	DT	a
TED	VBP	ted
Talk	NN	talk
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
the	DT	the
neocortex	NN	neocortex
that	RB	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
action	NN	action
is	VBZ	be
.	SENT	.
Fifty	CD	fifty
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
wrote	VBD	write
a	DT	a
paper	NN	paper
describing	VBG	describe
how	WRB	how
I	PP	I
thought	VBD	think
the	DT	the
brain	NN	brain
worked	VBD	work
,	,	,
and	CC	and
I	PP	I
described	VBD	describe
it	PP	it
as	IN	as
a	DT	a
series	NN	series
of	IN	of
modules	NNS	module
.	SENT	.
Each	DT	each
module	NN	module
could	MD	could
do	VB	do
things	NNS	thing
with	IN	with
a	DT	a
pattern	NN	pattern
.	SENT	.
It	PP	it
could	MD	could
learn	VB	learn
a	DT	a
pattern	NN	pattern
.	SENT	.
It	PP	it
could	MD	could
remember	VB	remember
a	DT	a
pattern	NN	pattern
.	SENT	.
It	PP	it
could	MD	could
implement	VB	implement
a	DT	a
pattern	NN	pattern
.	SENT	.
And	CC	and
these	DT	these
modules	NNS	module
were	VBD	be
organized	VBN	organize
in	IN	in
hierarchies	NNS	hierarchy
,	,	,
and	CC	and
we	PP	we
created	VBD	create
that	DT	that
hierarchy	NN	hierarchy
with	IN	with
our	PP$	our
own	JJ	own
thinking	NN	thinking
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
actually	RB	actually
very	RB	very
little	JJ	little
to	TO	to
go	VB	go
on	IN	on
50	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
led	VBD	lead
me	PP	me
to	TO	to
meet	VB	meet
President	NP	President
Johnson	NP	Johnson
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
about	IN	about
this	DT	this
for	IN	for
50	CD	@card@
years	NNS	year
,	,	,
and	CC	and
a	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
ago	RB	ago
I	PP	I
came	VBD	come
out	RP	out
with	IN	with
the	DT	the
book	NN	book
"	''	"
How	WRB	how
To	TO	to
Create	VB	create
A	DT	a
Mind	NN	mind
,	,	,
"	''	"
which	WDT	which
has	VBZ	have
the	DT	the
same	JJ	same
thesis	NN	thesis
,	,	,
but	CC	but
now	RB	now
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
plethora	NN	plethora
of	IN	of
evidence	NN	evidence
.	SENT	.
The	DT	the
amount	NN	amount
of	IN	of
data	NNS	datum
we	PP	we
'	POS	'
re	NN	re
getting	VBG	get
about	IN	about
the	DT	the
brain	NN	brain
from	IN	from
neuroscience	NN	neuroscience
is	VBZ	be
doubling	VBG	double
every	DT	every
year	NN	year
.	SENT	.
Spatial	JJ	spatial
resolution	NN	resolution
of	IN	of
brainscanning	NN	brainscanning
of	IN	of
all	DT	all
types	NNS	type
is	VBZ	be
doubling	VBG	double
every	DT	every
year	NN	year
.	SENT	.
We	PP	we
can	MD	can
now	RB	now
see	VB	see
inside	IN	inside
a	DT	a
living	VBG	live
brain	NN	brain
and	CC	and
see	VB	see
individual	JJ	individual
interneural	JJ	interneural
connections	NNS	connection
connecting	VBG	connect
in	IN	in
real	JJ	real
time	NN	time
,	,	,
firing	VBG	fire
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
your	PP$	your
brain	NN	brain
create	VB	create
your	PP$	your
thoughts	NNS	thought
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
your	PP$	your
thoughts	NNS	thought
create	VB	create
your	PP$	your
brain	NN	brain
,	,	,
which	WDT	which
is	VBZ	be
really	RB	really
key	JJ	key
to	TO	to
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
describe	VB	describe
briefly	RB	briefly
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
actually	RB	actually
counted	VBN	count
these	DT	these
modules	NNS	module
.	SENT	.
We	PP	we
have	VBP	have
about	RB	about
300	CD	@card@
million	CD	million
of	IN	of
them	PP	them
,	,	,
and	CC	and
we	PP	we
create	VBP	create
them	PP	them
in	IN	in
these	DT	these
hierarchies	NNS	hierarchy
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
you	PP	you
a	DT	a
simple	JJ	simple
example	NN	example
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
bunch	NN	bunch
of	IN	of
modules	NNS	module
that	WDT	that
can	MD	can
recognize	VB	recognize
the	DT	the
crossbar	NN	crossbar
to	TO	to
a	DT	a
capital	NN	capital
A	DT	a
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
all	RB	all
they	PP	they
care	VBP	care
about	RB	about
.	SENT	.
A	DT	a
beautiful	JJ	beautiful
song	NN	song
can	MD	can
play	VB	play
,	,	,
a	DT	a
