Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Each	DT	each
of	IN	of
us	PP	us
,	,	,
no	DT	no
matter	NN	matter
who	WP	who
we	PP	we
are	VBP	be
,	,	,
have	VBP	have
dreams	NNS	dream
for	IN	for
ourselves	PP	ourselves
.	SENT	.
and	CC	and
all	DT	all
of	IN	of
us	PP	us
also	RB	also
have	VBP	have
fears	NNS	fear
.	SENT	.
Luvvie	NP	<unknown>
Ajayi	NP	Ajayi
Jones	NP	Jones
has	VBZ	have
spent	VBN	spend
lots	NNS	lot
of	IN	of
time	NN	time
thinking	VBG	think
about	IN	about
the	DT	the
intersection	NN	intersection
of	IN	of
these	DT	these
two	CD	two
things	NNS	thing
,	,	,
namely	RB	namely
,	,	,
how	WRB	how
you	PP	you
can	MD	can
overcome	VB	overcome
your	PP$	your
fears	NNS	fear
to	TO	to
accomplish	VB	accomplish
your	PP$	your
dreams	NNS	dream
.	SENT	.
Here	RB	here
to	TO	to
break	VB	break
this	DT	this
all	RB	all
down	RB	down
for	IN	for
us	PP	us
is	VBZ	be
Luvvie	NP	<unknown>
Ajayi	NP	Ajayi
Jones	NP	Jones
.	SENT	.
Welcome	NN	welcome
,	,	,
Luvvie	NP	<unknown>
.	SENT	.
Luvvie	NP	<unknown>
Ajayi	NP	Ajayi
Jones	NP	Jones
:	:	:
Hi	UH	hi
!	SENT	!
WPR	NP	WPR
:	:	:
Hi	UH	hi
,	,	,
Luvvie	NP	<unknown>
.	SENT	.
How	WRB	how
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
LAJ	NN	LAJ
:	:	:
Doing	VBG	do
well	RB	well
.	SENT	.
Doing	VBG	do
well	RB	well
.	SENT	.
WPR	NN	WPR
:	:	:
Why	WRB	why
do	VBP	do
you	PP	you
use	VB	use
the	DT	the
term	NN	term
"	``	"
professional	JJ	professional
troublemaker	NN	troublemaker
"	''	"
to	TO	to
describe	VB	describe
yourself	PP	yourself
?	SENT	?
Why	WRB	why
is	VBZ	be
that	DT	that
sort	NN	sort
of	IN	of
the	DT	the
term	NN	term
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
landed	VBD	land
on	IN	on
to	TO	to
define	VB	define
what	WP	what
you	PP	you
are	VBP	be
,	,	,
who	WP	who
you	PP	you
are	VBP	be
?	SENT	?
LAJ	NP	LAJ
:	:	:
Yeah	RB	yeah
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
some	DT	some
of	IN	of
us	PP	us
have	VBP	have
been	VBN	be
called	VBN	call
troublemakers	NNS	troublemaker
growing	VBG	grow
up	RP	up
.	SENT	.
When	WRB	when
you	PP	you
are	VBP	be
too	RB	too
loud	JJ	loud
in	IN	in
the	DT	the
class	NN	class
or	CC	or
,	,	,
you	PP	you
know	VBP	know
,	,	,
your	PP$	your
mom	NN	mom
tells	VBZ	tell
you	PP	you
to	TO	to
eat	VB	eat
vegetables	NNS	vegetable
and	CC	and
you	PP	you
say	VBP	say
no	RB	no
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
you	PP	you
'	POS	'
re	NN	re
a	DT	a
troublemaker	NN	troublemaker
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
reclaim	VB	reclaim
what	WP	what
that	DT	that
means	NNS	mean
.	SENT	.
I	PP	I
think	VBP	think
about	IN	about
the	DT	the
late	JJ	late
,	,	,
great	JJ	great
John	NP	John
Lewis	NP	Lewis
,	,	,
who	WP	who
said	VBD	say
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
ready	JJ	ready
to	TO	to
make	VB	make
necessary	JJ	necessary
trouble	NN	trouble
,	,	,
good	JJ	good
trouble	NN	trouble
,	,	,
and	CC	and
really	RB	really
was	VBD	be
the	DT	the
lens	NN	lens
of	IN	of
:	:	:
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
do	VB	do
things	NNS	thing
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
disrupt	VB	disrupt
the	DT	the
status	FW	status
quo	FW	quo
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
If	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
anything	NN	anything
of	IN	of
impact	NN	impact
and	CC	and
of	IN	of
note	NN	note
and	CC	and
make	VB	make
any	DT	any
type	NN	type
of	IN	of
