Alright	RB	alright
,	,	,
so	RB	so
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
imagine	VB	imagine
that	IN	that
you	PP	you
get	VBP	get
a	DT	a
text	NN	text
from	IN	from
a	DT	a
friend	NN	friend
,	,	,
and	CC	and
it	PP	it
reads	VBZ	read
.	SENT	.
.	SENT	.
.	SENT	.
"	``	"
You	PP	you
will	MD	will
NOT	RB	not
believe	VB	believe
what	WP	what
just	RB	just
happened	VBD	happen
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
SO	IN	so
MAD	JJ	mad
right	NN	right
now	RB	now
!	SENT	!
"	``	"
So	RB	so
you	PP	you
do	VBP	do
the	DT	the
dutiful	JJ	dutiful
thing	NN	thing
as	IN	as
a	DT	a
friend	NN	friend
,	,	,
and	CC	and
you	PP	you
ask	VBP	ask
for	IN	for
details	NNS	detail
.	SENT	.
And	CC	and
they	PP	they
tell	VBP	tell
you	PP	you
a	DT	a
story	NN	story
about	IN	about
what	WP	what
happened	VBD	happen
to	TO	to
them	PP	them
at	IN	at
the	DT	the
gym	NN	gym
or	CC	or
at	IN	at
work	NN	work
or	CC	or
on	IN	on
their	PP$	their
date	NN	date
last	JJ	last
night	NN	night
.	SENT	.
And	CC	and
you	PP	you
listen	VBP	listen
and	CC	and
you	PP	you
try	VBP	try
to	TO	to
understand	VB	understand
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
so	RB	so
mad	JJ	mad
.	SENT	.
Maybe	RB	maybe
even	RB	even
secretly	RB	secretly
judge	VB	judge
whether	IN	whether
or	CC	or
not	RB	not
they	PP	they
should	MD	should
be	VB	be
so	RB	so
mad	JJ	mad
.	SENT	.
And	CC	and
maybe	RB	maybe
you	PP	you
even	RB	even
offer	VBP	offer
some	DT	some
suggestions	NNS	suggestion
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
that	DT	that
moment	NN	moment
,	,	,
you	PP	you
are	VBP	be
doing	VBG	do
essentially	RB	essentially
what	WP	what
I	PP	I
get	VBP	get
to	TO	to
do	VB	do
every	DT	every
day	NN	day
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
an	DT	an
anger	NN	anger
researcher	NN	researcher
,	,	,
and	CC	and
as	IN	as
an	DT	an
anger	NN	anger
researcher	NN	researcher
,	,	,
I	PP	I
spend	VBP	spend
a	DT	a
good	JJ	good
part	NN	part
of	IN	of
my	PP$	my
professional	JJ	professional
life	NN	life
—	:	-
who	WP	who
am	VBP	be
I	PP	I
kidding	VBG	kid
,	,	,
also	RB	also
my	PP$	my
personal	JJ	personal
life	NN	life
—	:	-
studying	VBG	study
why	WRB	why
people	NNS	people
get	VBP	get
mad	JJ	mad
.	SENT	.
I	PP	I
study	VBP	study
the	DT	the
types	NNS	type
of	IN	of
thoughts	NNS	thought
they	PP	they
have	VBP	have
when	WRB	when
they	PP	they
get	VBP	get
mad	JJ	mad
,	,	,
and	CC	and
I	PP	I
even	RB	even
study	VB	study
what	WP	what
they	PP	they
do	VBP	do
when	WRB	when
they	PP	they
get	VBP	get
mad	JJ	mad
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NNS	<unknown>
getting	VBG	get
into	IN	into
fights	NNS	fight
or	CC	or
breaking	VBG	break
things	NNS	thing
,	,	,
or	CC	or
even	RB	even
yelling	VBG	yell
at	IN	at
people	NNS	people
in	IN	in
all	DT	all
caps	NNS	cap
on	IN	on
the	DT	the
internet	NN	Internet
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
when	WRB	when
people	NNS	people
hear	VBP	hear
I	PP	I
'	''	'
m	NN	m
an	DT	an
anger	NN	anger
researcher	NN	researcher
,	,	,
they	PP	they
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
me	PP	me
about	IN	about
their	PP$	their
anger	NN	anger
,	,	,
they	PP	they
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
me	PP	me
their	PP$	their
anger	NN	anger
stories	NNS	story
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
because	IN	because
they	PP	they
need	VBP	need
a	DT	a
therapist	NN	therapist
,	,	,
though	IN	though
that	WDT	that
does	VBZ	do
sometimes	RB	sometimes
happen	VB	happen
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
because	IN	because
anger	NN	anger
is	VBZ	be
universal	JJ	universal
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
we	PP	we
all	RB	all
feel	VBP	feel
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
they	PP	they
can	MD	can
relate	VB	relate
to	TO	to
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
feeling	VBG	feel
it	PP	it
since	IN	since
the	DT	the
first	JJ	first
few	JJ	few
months	NNS	month
of	IN	of
life	NN	life
,	,	,
when	WRB	when
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
what	WP	what
we	PP	we
wanted	VBD	want
in	IN	in
our	PP$	our
cries	NNS	cry
of	IN	of
protests	NNS	protest
,	,	,
things	NNS	thing
like	VBP	like
,	,	,
"	''	"
What	WP	what
do	VBP	do
you	PP	you
mean	VBP	mean
you	PP	you
won	VBD	win
'	''	'
t	NN	t
pick	VB	pick
up	RP	up
the	DT	the
rattle	VB	rattle
,	,	,
Dad	NP	Dad
,	,	,
I	PP	I
want	VBP	want
it	PP	it
!	SENT	!
"	``	"
We	PP	we
feel	VBP	feel
it	PP	it
throughout	IN	throughout
our	PP$	our
teenage	JJ	teenage
years	NNS	year
,	,	,
as	IN	as
my	PP$	my
mom	NN	mom
can	MD	can
certainly	RB	certainly
attest	VB	attest
to	TO	to
with	IN	with
me	PP	me
.	SENT	.
Sorry	RB	sorry
,	,	,
Mom	NP	Mom
.	SENT	.
We	PP	we
feel	VBP	feel
it	PP	it
to	TO	to
the	DT	the
very	JJ	very
end	NN	end
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
anger	NN	anger
has	VBZ	have
been	VBN	be
with	IN	with
us	PP	us
at	IN	at
some	DT	some
of	IN	of
the	DT	the
worst	JJS	bad
moments	NNS	moment
of	IN	of
our	PP$	our
lives	NNS	life
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
natural	JJ	natural
and	CC	and
expected	VBN	expect
part	NN	part
of	IN	of
our	PP$	our
grief	NN	grief
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
been	VBN	be
with	IN	with
us	PP	us
in	IN	in
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
moments	NNS	moment
of	IN	of
our	PP$	our
lives	NNS	life
,	,	,
with	IN	with
those	DT	those
special	JJ	special
occasions	NNS	occasion
like	IN	like
weddings	NNS	wedding
and	CC	and
vacations	NNS	vacation
often	RB	often
marred	VBN	mar
by	IN	by
these	DT	these
everyday	JJ	everyday
frustrations	NNS	frustration
—	:	-
bad	JJ	bad
weather	NN	weather
,	,	,
travel	NN	travel
delays	NNS	delay
