When	WRB	when
I	PP	I
'	POS	'
m	NN	m
starting	VBG	start
talks	NNS	talk
like	IN	like
this	DT	this
,	,	,
I	PP	I
usually	RB	usually
do	VBP	do
a	DT	a
whole	JJ	whole
spiel	NN	spiel
about	IN	about
sustainability	NN	sustainability
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
out	IN	out
there	RB	there
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
that	DT	that
is	VBZ	be
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
crowd	NN	crowd
that	WDT	that
does	VBZ	do
know	VB	know
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
so	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
like	VBP	like
just	RB	just
do	VB	do
like	IN	like
the	DT	the
60-second	JJ	60-second
crib-note	NN	<unknown>
version	NN	version
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
just	RB	just
bear	VB	bear
with	IN	with
me	PP	me
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
go	VBP	go
real	RB	real
fast	RB	fast
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
Fill	VB	fill
in	IN	in
the	DT	the
blanks	NNS	blank
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
sustainability	NN	sustainability
,	,	,
small	JJ	small
planet	NN	planet
.	SENT	.
Right	RB	right
?	SENT	?
Picture	NN	picture
a	DT	a
little	JJ	little
Earth	NN	earth
,	,	,
circling	VBG	circle
around	IN	around
the	DT	the
sun	NN	sun
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
about	IN	about
a	DT	a
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
a	DT	a
bunch	NN	bunch
of	IN	of
monkeys	NNS	monkey
fell	VBD	fall
out	RP	out
of	IN	of
trees	NNS	tree
,	,	,
got	VBD	get
a	DT	a
little	JJ	little
clever	NN	clever
,	,	,
harnessed	VBN	harness
fire	NN	fire
,	,	,
invented	VBD	invent
the	DT	the
printing	NN	printing
press	NN	press
,	,	,
made	VBD	make
,	,	,
you	PP	you
know	VBP	know
,	,	,
luggage	NN	luggage
with	IN	with
wheels	NNS	wheel
on	IN	on
it	PP	it
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
built	VBD	build
the	DT	the
society	NN	society
that	IN	that
we	PP	we
now	RB	now
live	VBP	live
in	IN	in
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
while	IN	while
this	DT	this
society	NN	society
is	VBZ	be
,	,	,
without	IN	without
a	DT	a
doubt	NN	doubt
,	,	,
the	DT	the
most	RBS	most
prosperous	JJ	prosperous
and	CC	and
dynamic	JJ	dynamic
the	DT	the
world	NN	world
has	VBZ	have
ever	RB	ever
created	VBN	create
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
some	DT	some
major	JJ	major
,	,	,
major	JJ	major
flaws	NNS	flaw
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
is	VBZ	be
that	IN	that
every	DT	every
society	NN	society
has	VBZ	have
an	DT	an
ecological	JJ	ecological
footprint	NN	footprint
.	SENT	.
It	PP	it
has	VBZ	have
an	DT	an
amount	NN	amount
of	IN	of
impact	NN	impact
on	IN	on
the	DT	the
planet	NN	planet
that	RB	that
'	POS	'
s	NNS	<unknown>
measurable	JJ	measurable
.	SENT	.
How	WRB	how
much	JJ	much
stuff	NN	stuff
goes	VBZ	go
through	IN	through
your	PP$	your
life	NN	life
,	,	,
how	WRB	how
much	JJ	much
waste	NN	waste
is	VBZ	be
left	VBN	leave
behind	IN	behind
you	PP	you
.	SENT	.
And	CC	and
we	PP	we
,	,	,
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
in	IN	in
our	PP$	our
society	NN	society
,	,	,
have	VBP	have
a	DT	a
really	RB	really
dramatically	RB	dramatically
unsustainable	JJ	unsustainable
