Director	NN	director
:	:	:
TED	VB	ted
,	,	,
Best	JJS	good
Buy	NN	buy
,	,	,
Tim	NP	Tim
Dunn	NP	Dunn
,	,	,
take	VB	take
one	PP	one
.	SENT	.
Tim	NP	Tim
Dunn	NP	Dunn
:	:	:
The	DT	the
climate	NN	climate
crisis	NN	crisis
that	IN	that
we	PP	we
'	POS	'
re	NN	re
in	IN	in
can	MD	can
be	VB	be
so	RB	so
daunting	JJ	daunting
to	TO	to
think	VB	think
about	RB	about
,	,	,
it	PP	it
'	POS	'
s	NN	S
so	RB	so
systemic	JJ	systemic
.	SENT	.
How	WRB	how
do	VBP	do
I	PP	I
,	,	,
as	IN	as
an	DT	an
individual	NN	individual
,	,	,
step	NN	step
into	IN	into
this	DT	this
space	NN	space
and	CC	and
make	VB	make
a	DT	a
difference	NN	difference
?	SENT	?
Just	RB	just
think	VB	think
of	IN	of
your	PP$	your
house	NN	house
or	CC	or
your	PP$	your
apartment	NN	apartment
where	WRB	where
you	PP	you
have	VBP	have
everything	NN	everything
on	IN	on
.	SENT	.
Plugging	VBG	plug
your	PP$	your
refrigerator	NN	refrigerator
in	IN	in
:	:	:
big	JJ	big
energy	NN	energy
draw	NN	draw
in	IN	in
your	PP$	your
house	NN	house
;	:	;
plugging	VBG	plug
your	PP$	your
TV	NN	TV
in	IN	in
,	,	,
full	JJ	full
family	NN	family
entertainment	NN	entertainment
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
energy	NN	energy
draw	NN	draw
.	SENT	.
You	PP	you
take	VBP	take
your	PP$	your
stove	NN	stove
,	,	,
your	PP$	your
dishwasher	NN	dishwasher
,	,	,
your	PP$	your
clothes	NNS	clothes
washer	NN	washer
,	,	,
your	PP$	your
clothes	NNS	clothes
dryer	NN	dryer
.	SENT	.
If	IN	if
you	PP	you
take	VBP	take
those	DT	those
minor	JJ	minor
things	NNS	thing
that	IN	that
we	PP	we
do	VBP	do
every	DT	every
day	NN	day
and	CC	and
you	PP	you
can	MD	can
influence	VB	influence
that	IN	that
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
picture	NN	picture
that	IN	that
we	PP	we
can	MD	can
draw	VB	draw
to	TO	to
say	VB	say
:	:	:
here	RB	here
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
can	MD	can
have	VB	have
the	DT	the
impact	NN	impact
.	SENT	.
[	SYM	[
In	IN	in
the	DT	the
Green	NP	Green
:	:	:
The	DT	the
Business	NN	business
of	IN	of
Climate	NN	climate
Action	NP	Action
]	SYM	]
[	SYM	[
Presented	VBN	present
by	IN	by
:	:	:
TED	VB	ted
Countdown	NN	countdown
and	CC	and
The	DT	the
Climate	NN	climate
Pledge	NN	pledge
]	SYM	]
[	SYM	[
Tim	NP	Tim
Dunn	NP	Dunn
;	:	;
Company	NP	Company
:	:	:
Best	JJS	good
Buy	NN	buy
;	:	;
Sector	NN	sector
:	:	:
Electronics	NNS	electronics
;	:	;
Location	NP	Location
:	:	:
USA	NP	USA
]	SYM	]
We	PP	we
are	VBP	be
a	DT	a
large	JJ	large
retailer	NN	retailer
,	,	,
unique	JJ	unique
in	IN	in
a	DT	a
sense	NN	sense
that	IN	that
most	JJS	most
thing	NN	thing
that	IN	that
we	PP	we
sell	VBP	sell
plug	VB	plug
in	IN	in
,	,	,
have	VBP	have
a	DT	a
battery	NN	battery
,	,	,
consume	VBP	consume
energy	NN	energy
in	IN	in
some	DT	some
way	NN	way
.	SENT	.
