There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
question	NN	question
at	IN	at
the	DT	the
center	NN	center
of	IN	of
life	NN	life
in	IN	in
our	PP$	our
democracies	NNS	democracy
today	NN	today
:	:	:
How	WRB	how
do	VBP	do
we	PP	we
fight	VB	fight
terror	NN	terror
without	IN	without
destroying	VBG	destroy
democracies	NNS	democracy
,	,	,
without	IN	without
trampling	VBG	trample
human	JJ	human
rights	NNS	right
?	SENT	?
I	NP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
much	RB	much
of	IN	of
my	PP$	my
career	NN	career
working	VBG	work
with	IN	with
journalists	NNS	journalist
,	,	,
with	IN	with
bloggers	NNS	blogger
,	,	,
with	IN	with
activists	NNS	activist
,	,	,
with	IN	with
human	JJ	human
rights	NNS	right
researchers	NNS	researcher
all	RB	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
the	DT	the
conclusion	NN	conclusion
that	IN	that
if	IN	if
our	PP$	our
democratic	JJ	democratic
societies	NNS	society
do	VBP	do
not	RB	not
double	VB	double
down	RP	down
on	IN	on
protecting	VBG	protect
and	CC	and
defending	VBG	defend
human	JJ	human
rights	NNS	right
,	,	,
freedom	NN	freedom
of	IN	of
the	DT	the
press	NN	press
and	CC	and
a	DT	a
free	JJ	free
and	CC	and
open	JJ	open
internet	NN	Internet
,	,	,
radical	JJ	radical
extremist	JJ	extremist
ideologies	NNS	ideology
are	VBP	be
much	RB	much
more	RBR	more
likely	JJ	likely
to	TO	to
persist	VB	persist
.	SENT	.
OK	UH	OK
,	,	,
all	RB	all
done	VBN	do
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
No	UH	no
,	,	,
just	RB	just
joking	VBG	joke
.	SENT	.
I	PP	I
actually	RB	actually
want	VBP	want
to	TO	to
drill	VB	drill
down	RP	down
on	IN	on
this	DT	this
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
So	RB	so
,	,	,
one	CD	one
of	IN	of
the	DT	the
countries	NNS	country
that	WDT	that
has	VBZ	have
been	VBN	be
on	IN	on
the	DT	the
frontlines	NNS	frontline
of	IN	of
this	DT	this
issue	NN	issue
is	VBZ	be
Tunisia	NP	Tunisia
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
only	JJ	only
country	NN	country
to	TO	to
come	VB	come
out	RP	out
of	IN	of
the	DT	the
Arab	JJ	Arab
Spring	NN	spring
with	IN	with
a	DT	a
successful	JJ	successful
democratic	JJ	democratic
revolution	NN	revolution
.	SENT	.
Five	CD	five
years	NNS	year
later	RBR	later
,	,	,
they	PP	they
'	POS	'
re	NN	re
struggling	VBG	struggle
with	IN	with
serious	JJ	serious
terror	NN	terror
attacks	NNS	attack
and	CC	and
rampant	JJ	rampant
ISIS	NP	Isis
recruitment	NN	recruitment
.	SENT	.
And	CC	and
many	JJ	many
Tunisians	NNS	Tunisian
are	VBP	be
calling	VBG	call
on	IN	on
their	PP$	their
government	NN	government
to	TO	to
do	VB	do
whatever	WDT	whatever
it	PP	it
takes	VBZ	take
to	TO	to
keep	VB	keep
them	PP	them
safe	JJ	safe
.	SENT	.
Tunisian	JJ	Tunisian
cartoonist	NN	cartoonist
Nadia	NP	Nadia
Khiari	NP	<unknown>
has	VBZ	have
summed	VBN	sum
up	RP	up
the	DT	the
situation	NN	situation
with	IN	with
this	DT	this
character	NN	character
who	WP	who
says	VBZ	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
give	VB	give
a	DT	a
damn	NN	damn
about	IN	about
human	JJ	human
rights	NNS	right
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
give	VB	give
a	DT	a
damn	NN	damn
about	IN	about
the	DT	the
revolution	NN	revolution
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
give	VB	give
a	DT	a
damn	NN	damn
about	IN	about
democracy	NN	democracy
and	CC	and
liberty	NN	liberty
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
be	VB	be
safe	JJ	safe
.	SENT	.
"	''	"
"	``	"
Satisfied	VBN	satisfy
?	SENT	?
"	``	"
asked	VBN	ask
his	PP$	his
jailer	NN	jailer
.	SENT	.
"	``	"
You	PP	you
'	POS	'
re	NN	re
safe	JJ	safe
now	RB	now
.	SENT	.
"	''	"
If	IN	if
the	DT	the
Tunisian	JJ	Tunisian
people	NNS	people
can	MD	can
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
their	PP$	their
terrorism	NN	terrorism
problem	NN	problem
without	IN	without
ending	VBG	end
up	RP	up
in	IN	in
this	DT	this
place	NN	place
,	,	,
they	PP	they
will	MD	will
be	VB	be
a	DT	a
model	NN	model
not	RB	not
only	RB	only
for	IN	for
their	PP$	their
region	NN	region
,	,	,
but	CC	but
for	IN	for
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
The	DT	the
reality	NN	reality
is	VBZ	be
that	IN	that
civil	JJ	civil
society	NN	society
,	,	,
journalists	NNS	journalist
and	CC	and
activists	NNS	activist
are	VBP	be
coming	VBG	come
under	IN	under
attack	NN	attack
from	IN	from
extremist	JJ	extremist
groups	NNS	group
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
,	,	,
and	CC	and
,	,	,
in	IN	in
many	JJ	many
countries	NNS	country
,	,	,
also	RB	also
from	IN	from
their	PP$	their
own	JJ	own
governments	NNS	government
.	SENT	.
We	PP	we
'	''	'
re	IN	re
seeing	VBG	see
bloggers	NNS	blogger
and	CC	and
journalists	NNS	journalist
being	VBG	be
jailed	VBN	jail
,	,	,
charged	VBN	charge
and	CC	and
intimidated	VBN	intimidate
by	IN	by
their	PP$	their
own	JJ	own
governments	NNS	government
,	,	,
many	JJ	many
of	IN	of
which	WDT	which
are	VBP	be
allies	NNS	ally
with	IN	with
the	DT	the
West	NN	west
in	IN	in
the	DT	the
war	NN	war
on	IN	on
terror	NN	terror
.	SENT	.
Just	RB	just
three	CD	three
examples	NNS	example
.	SENT	.
A	DT	a
friend	NN	friend
and	CC	and
former	JJ	former
colleague	NN	colleague
of	IN	of
mine	NN	mine
,	,	,
Hisham	NP	Hisham
Almiraat	NP	<unknown>
,	,	,
has	VBZ	have
been	VBN	be
charged	VBN	charge
with	IN	with
threatening	VBG	threaten
state	NN	state
security	NN	security
,	,	,
along	RB	along
with	IN	with
six	CD	six
other	JJ	other
activists	NNS	activist
in	IN	in
Morocco	NP	Morocco
.	SENT	.
The	DT	the
Saudi	NP	Saudi
blogger	NN	blogger
Raif	NP	Raif
Badawi	NP	<unknown>
has	VBZ	have
been	VBN	be
jailed	VBN	jail
and	CC	and
flogged	VBN	flog
for	IN	for
insulting	JJ	insulting
Islam	NN	Islam
and	CC	and
criticizing	VBG	criticize
the	DT	the
Saudi	JJ	Saudi
regime	NN	regime
on	IN	on
his	PP$	his
blog	NN	<unknown>
.	SENT	.
More	RBR	more
recently	RB	recently
,	,	,
the	DT	the
Turkish	JJ	Turkish
representative	NN	representative
for	IN	for
Reporters	NNS	reporter
Without	IN	without
Borders	NP	Borders
,	,	,
Erol	NP	Erol
��nderoglu	NP	<unknown>
,	,	,
has	VBZ	have
been	VBN	be
detained	VBN	detain
and	CC	and
charged	VBN	charge
with	IN	with
spreading	VBG	spread
terrorist	JJ	terrorist
propaganda	NN	propaganda
,	,	,
because	IN	because
he	PP	he
and	CC	and
some	DT	some
other	JJ	other
activists	NNS	activist
have	VBP	have
been	VBN	be
supporting	VBG	support
Kurdish	JJ	Kurdish
media	NNS	medium
.	SENT	.
Anti-terror	NN	Anti-terror
measures	VBZ	measure
quickly	RB	quickly
turn	VB	turn
into	IN	into
state	NN	state
repression	NN	repression
without	IN	without
strong	JJ	strong
protection	NN	protection
for	IN	for
minority	NN	minority
communities	NNS	community
and	CC	and
for	IN	for
peaceful	JJ	peaceful
debate	NN	debate
;	:	;
this	DT	this
needs	VBZ	need
to	TO	to
be	VB	be
supported	VBN	support
by	IN	by
