Okay	RB	okay
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
again	RB	again
something	NN	something
about	IN	about
our	PP$	our
diets	NNS	diet
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
know	VB	know
what	WP	what
the	DT	the
audience	NN	audience
is	VBZ	be
,	,	,
and	CC	and
so	IN	so
who	WP	who
of	IN	of
you	PP	you
ever	RB	ever
ate	VBD	eat
insects	NNS	insect
?	SENT	?
That	IN	that
'	POS	'
s	VBG	<unknown>
quite	PDT	quite
a	DT	a
lot	NN	lot
.	SENT	.
But	CC	but
still	RB	still
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
representing	VBG	represent
the	DT	the
overall	JJ	overall
population	NN	population
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
Because	IN	because
there	EX	there
'	''	'
s	VBZ	<unknown>
80	CD	@card@
percent	NN	percent
out	IN	out
there	RB	there
that	WDT	that
really	RB	really
eats	VBZ	eat
insects	NNS	insect
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
quite	RB	quite
good	JJ	good
.	SENT	.
Why	WRB	why
not	RB	not
eat	VB	eat
insects	NNS	insect
?	SENT	?
Well	RB	well
first	JJ	first
,	,	,
what	WP	what
are	VBP	be
insects	NNS	insect
?	SENT	?
Insects	NNS	insect
are	VBP	be
animals	NNS	animal
that	WDT	that
walk	VBP	walk
around	RP	around
on	IN	on
six	CD	six
legs	NNS	leg
.	SENT	.
And	CC	and
here	RB	here
you	PP	you
see	VBP	see
just	RB	just
a	DT	a
selection	NN	selection
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
six	CD	six
million	CD	million
species	NNS	specie
of	IN	of
insects	NNS	insect
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
six	CD	six
million	CD	million
species	NNS	specie
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
few	JJ	few
hundreds	NNS	hundred
of	IN	of
mammals	NNS	mammal
—	:	-
six	CD	six
million	CD	million
species	NNS	specie
of	IN	of
insects	NNS	insect
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
if	IN	if
we	PP	we
count	VBP	count
all	PDT	all
the	DT	the
individual	JJ	individual
organisms	NNS	organism
,	,	,
we	PP	we
would	MD	would
come	VB	come
at	IN	at
much	RB	much
larger	JJR	large
numbers	NNS	number
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
of	IN	of
all	DT	all
animals	NNS	animal
on	IN	on
Earth	NP	Earth
,	,	,
of	IN	of
all	DT	all
animal	JJ	animal
species	NN	species
,	,	,
80	CD	@card@
percent	NN	percent
walks	VBZ	walk
on	IN	on
six	CD	six
legs	NNS	leg
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
would	MD	would
count	VB	count
all	PDT	all
the	DT	the
individuals	NNS	individual
,	,	,
and	CC	and
we	PP	we
take	VBP	take
an	DT	an
average	JJ	average
weight	NN	weight
of	IN	of
them	PP	them
,	,	,
it	PP	it
would	MD	would
amount	VB	amount
to	TO	to
something	NN	something
like	IN	like
200	CD	@card@
to	TO	to
2	CD	@card@
,	,	,
000	CD	@card@
kilograms	NNS	kilogram
for	IN	for
each	DT	each
of	IN	of
you	PP	you
and	CC	and
me	PP	me
on	IN	on
Earth	NP	Earth
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
in	IN	in
terms	NNS	term
of	IN	of
biomass	NN	biomass
,	,	,
insects	NNS	insect
are	VBP	be
more	RBR	more
abundant	JJ	abundant
than	IN	than
we	PP	we
are	VBP	be
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
on	IN	on
a	DT	a
planet	NN	planet
of	IN	of
men	NNS	man
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
on	IN	on
a	DT	a
planet	NN	planet
of	IN	of
insects	NNS	insect
.	SENT	.
Insects	NNS	insect
are	VBP	be
not	RB	not
only	RB	only
there	RB	there
in	IN	in
nature	NN	nature
,	,	,
but	CC	but
they	PP	they
also	RB	also
are	VBP	be
involved	VBN	involve
in	IN	in
our	PP$	our
economy	NN	economy
,	,	,
usually	RB	usually
without	IN	without
us	PP	us
knowing	VBG	know
.	SENT	.
There	EX	there
was	VBD	be
an	DT	an
estimation	NN	estimation
,	,	,
a	DT	a
conservative	JJ	conservative
estimation	NN	estimation
,	,	,
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
that	IN	that
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
economy	NN	economy
benefited	VBD	benefit
by	IN	by
57	CD	@card@
billion	NN	billion
dollars	NNS	dollar
per	IN	per
year	NN	year
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
number	NN	number
—	:	-
very	RB	very
large	JJ	large
—	:	-
a	DT	a
contribution	NN	contribution
to	TO	to
the	DT	the
economy	NN	economy
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
free	JJ	free
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
looked	VBD	look
up	RP	up
what	WP	what
the	DT	the
economy	NN	economy
was	VBD	be
paying	VBG	pay
for	IN	for
the	DT	the
war	NN	war
in	IN	in
