Hello	UH	hello
,	,	,
I	PP	I
am	VBP	be
Makhtoum	NP	<unknown>
Abdalla	NP	Abdalla
from	IN	from
Sudan	NP	Sudan
,	,	,
born	VBN	bear
in	IN	in
2004	CD	@card@
,	,	,
in	IN	in
Nyala	NP	Nyala
,	,	,
South	NP	South
Darfur	NP	<unknown>
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
map	NN	map
,	,	,
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
Sudan	NP	Sudan
is	VBZ	be
where	WRB	where
you	PP	you
find	VBP	find
Darfur	NP	<unknown>
.	SENT	.
For	IN	for
over	IN	over
a	DT	a
decade	NN	decade
,	,	,
the	DT	the
state	NN	state
was	VBD	be
affected	VBN	affect
[	SYM	[
by	RB	by
]	SYM	]
conflict	NN	conflict
,	,	,
which	WDT	which
we	PP	we
were	VBD	be
still	RB	still
reeling	VBG	reel
from	IN	from
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
result	NN	result
,	,	,
since	IN	since
I	PP	I
was	VBD	be
four	CD	four
years	NNS	year
old	JJ	old
,	,	,
my	PP$	my
family	NN	family
have	VBP	have
lived	VBN	live
in	IN	in
a	DT	a
camp	NN	camp
for	IN	for
internally	RB	internally
displaced	VBN	displace
people	NNS	people
:	:	:
an	DT	an
IDP	NP	IDP
camp	NN	camp
for	IN	for
families	NNS	family
that	WDT	that
have	VBP	have
been	VBN	be
driven	VBN	drive
from	IN	from
their	PP$	their
homes	NNS	home
for	IN	for
one	CD	one
reason	NN	reason
or	CC	or
another	DT	another
,	,	,
to	TO	to
another	DT	another
part	NN	part
of	IN	of
the	DT	the
country	NN	country
.	SENT	.
My	PP$	my
family	NN	family
was	VBD	be
displaced	VBN	displace
because	IN	because
of	IN	of
conflict	NN	conflict
,	,	,
and	CC	and
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
a	DT	a
world	NN	world
full	JJ	full
of	IN	of
complexity	NN	complexity
,	,	,
loss	NN	loss
and	CC	and
deprivation	NN	deprivation
.	SENT	.
But	CC	but
despite	IN	despite
that	DT	that
,	,	,
my	PP$	my
family	NN	family
and	CC	and
I	PP	I
are	VBP	be
still	RB	still
here	RB	here
full	JJ	full
of	IN	of
hopes	NNS	hope
and	CC	and
dreams	NNS	dream
for	IN	for
a	DT	a
better	JJR	good
tomorrow	NN	tomorrow
.	SENT	.
Before	IN	before
the	DT	the
camp	NN	camp
,	,	,
we	PP	we
used	VBD	use
to	TO	to
live	VB	live
in	IN	in
a	DT	a
place	NN	place
called	VBN	call
Otash	NP	<unknown>
village	NN	village
in	IN	in
South	NP	South
Darfur	NP	<unknown>
.	SENT	.
And	CC	and
as	IN	as
the	DT	the
word	NN	word
"	''	"
otash	NN	<unknown>
"	``	"
comes	VBZ	come
from	IN	from
the	DT	the
Arabic	NP	Arabic
word	NN	word
"	``	"
A	NP	A
'	POS	'
atshan	NP	<unknown>
"	''	"
,	,	,
which	WDT	which
means	VBZ	mean
thirsty	JJ	thirsty
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
been	VBN	be
called	VBN	call
so	RB	so
for	IN	for
the	DT	the
lack	NN	lack
of	IN	of
water	NN	water
resources	NNS	resource
in	IN	in
that	DT	that
area	NN	area
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
name	NN	name
of	IN	of
our	PP$	our
IDP	NP	IDP
camp	NN	camp
is	VBZ	be
Otash	NP	<unknown>
camp	NN	camp
.	SENT	.
Same	JJ	same
name	NN	name
,	,	,
same	JJ	same
issue	NN	issue
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
home	NN	home
to	TO	to
almost	RB	almost
100	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
from	IN	from
different	JJ	different
villages	NNS	village
.	SENT	.
I	PP	I
was	VBD	be
very	RB	very
young	JJ	young
when	WRB	when
we	PP	we
left	VBD	leave
our	PP$	our
home	NN	home
,	,	,
but	CC	but
I	PP	I
can	MD	can
remember	VB	remember
the	DT	the
fear	NN	fear
on	IN	on
my	PP$	my
family	NN	family
'	POS	'
s	JJ	<unknown>
face	NN	face
as	IN	as
they	PP	they
'	POS	'
re	NN	re
getting	VBG	get
ready	JJ	ready
,	,	,
leaving	VBG	leave
everything	NN	everything
behind	RB	behind
.	SENT	.
I	PP	I
could	MD	could
see	VB	see
their	PP$	their
pain	NN	pain
,	,	,
especially	RB	especially
on	IN	on
my	PP$	my
mother	NN	mother
'	POS	'
s	NN	S
face	NN	face
.	SENT	.
I	PP	I
still	RB	still
remember	VBP	remember
.	SENT	.
My	PP$	my
family	NN	family
were	VBD	be
one	CD	one
of	IN	of
the	DT	the
thousands	NNS	thousand
of	IN	of
families	NNS	family
that	WDT	that
fled	VBD	flee
.	SENT	.
Not	RB	not
everyone	NN	everyone
was	VBD	be
lucky	JJ	lucky
,	,	,
some	DT	some
lost	VBD	lose
their	PP$	their
lives	NNS	life
while	IN	while
trying	VBG	try
to	TO	to
escape	VB	escape
.	SENT	.
Because	IN	because
the	DT	the
journey	NN	journey
was	VBD	be
so	RB	so
dangerous	JJ	dangerous
,	,	,
we	PP	we
had	VBD	have
to	TO	to
hide	VB	hide
frequently	RB	frequently
along	IN	along
the	DT	the
road	NN	road
.	SENT	.
Where	WRB	where
we	PP	we
