David	NP	David
Fano	NP	Fano
:	:	:
Well	RB	well
I	PP	I
would	MD	would
say	VB	say
there	EX	there
was	VBD	be
kind	NN	kind
of	IN	of
like	IN	like
three	CD	three
phases	NNS	phase
.	SENT	.
There	EX	there
was	VBD	be
the	DT	the
time	NN	time
when	WRB	when
you	PP	you
would	MD	would
tell	VB	tell
people	NNS	people
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
I	PP	I
work	VBP	work
at	IN	at
WeWork	NP	<unknown>
"	''	"
and	CC	and
nobody	NN	nobody
would	MD	would
know	VB	know
what	WP	what
that	DT	that
was	VBD	be
.	SENT	.
And	CC	and
then	RB	then
very	RB	very
quickly	RB	quickly
it	PP	it
became	VBD	become
pretty	RB	pretty
commonplace	JJ	commonplace
.	SENT	.
People	NNS	people
knew	VBD	know
what	WP	what
WeWork	NP	<unknown>
was	VBD	be
,	,	,
and	CC	and
it	PP	it
was	VBD	be
on	IN	on
the	DT	the
cover	NN	cover
of	IN	of
magazines	NNS	magazine
,	,	,
it	PP	it
had	VBD	have
a	DT	a
great	JJ	great
mission	NN	mission
,	,	,
it	PP	it
had	VBD	have
this	DT	this
rebranding	NN	<unknown>
,	,	,
it	PP	it
had	VBD	have
these	DT	these
,	,	,
like	VB	like
,	,	,
very	RB	very
grandiose	JJ	grandiose
ambitions	NNS	ambition
.	SENT	.
And	CC	and
then	RB	then
from	IN	from
one	CD	one
day	NN	day
to	TO	to
the	DT	the
next	JJ	next
,	,	,
it	PP	it
flipped	VBD	flip
completely	RB	completely
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	WDT	that
was	VBD	be
really	RB	really
,	,	,
really	RB	really
intense	JJ	intense
for	IN	for
people	NNS	people
to	TO	to
process	NN	process
.	SENT	.
That	DT	that
so	RB	so
much	JJ	much
of	IN	of
their	PP$	their
identity	NN	identity
and	CC	and
who	WP	who
they	PP	they
were	VBD	be
was	VBD	be
somewhat	RB	somewhat
scaffolded	VBN	scaffold
by	IN	by
the	DT	the
identity	NN	identity
of	IN	of
the	DT	the
place	NN	place
that	IN	that
they	PP	they
worked	VBD	work
,	,	,
that	IN	that
now	RB	now
it	PP	it
became	VBD	become
like	IN	like
an	DT	an
existential	JJ	existential
discussion	NN	discussion
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
your	PP$	your
grandparents	NNS	grandparent
who	WP	who
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
know	VB	know
where	WRB	where
you	PP	you
worked	VBD	work
are	VBP	be
calling	VBG	call
you	PP	you
now	RB	now
being	JJ	being
,	,	,
like	JJ	like
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
place	NN	place
you	PP	you
work	VBP	work
?	SENT	?
"	``	"
And	CC	and
you	PP	you
almost	RB	almost
go	VBP	go
to	TO	to
,	,	,
like	VB	like
,	,	,
a	DT	a
place	NN	place
of	IN	of
shame	NN	shame
.	SENT	.
Adam	NP	Adam
Grant	NP	Grant
:	:	:
I	PP	I
'	POS	'
m	NN	m
Adam	NP	Adam
Grant	NP	Grant
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
special	JJ	special
bonus	NN	bonus
episode	NN	episode
of	IN	of
WorkLife	NP	<unknown>
,	,	,
my	PP$	my
podcast	NNS	<unknown>
with	IN	with
TED	VB	ted
,	,	,
sponsored	VBN	sponsor
by	IN	by
Accenture	NP	<unknown>
,	,	,
BetterUp	NP	<unknown>
,	,	,
Hilton	NP	Hilton
and	CC	and
SAP	VB	sap
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
organizational	JJ	organizational
psychologist	NN	psychologist
.	SENT	.
I	PP	I
study	VBP	study
how	WRB	how
to	TO	to
make	VB	make
work	VB	work
not	RB	not
suck	VB	suck
.	SENT	.
In	IN	in
the	DT	the
past	JJ	past
year	NN	year
,	,	,
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
work	NN	work
stories	NNS	story
,	,	,
and	CC	and
just	RB	just
one	CD	one
of	IN	of
the	DT	the
bigger	JJR	big
stories	NNS	story
,	,	,
period	NN	period
,	,	,
has	VBZ	have
been	VBN	be
the	DT	the
implosion	NN	implosion
of	IN	of
WeWork	NP	<unknown>
.	SENT	.
The	DT	the
company	NN	company
started	VBD	start
as	IN	as
a	DT	a
single	JJ	single
coworking	NN	coworking
space	NN	space
in	IN	in
Soho	NP	Soho
,	,	,
and	CC	and
in	IN	in
just	RB	just
a	DT	a
few	JJ	few
years	NNS	year
,	,	,
WeWork	NP	<unknown>
exploded	VBD	explode
to	TO	to
more	JJR	more
than	IN	than
100	CD	@card@
cities	NNS	city
in	IN	in
dozens	NNS	dozen
of	IN	of
countries	NNS	country
,	,	,
employing	VBG	employ
more	JJR	more
than	IN	than
12	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
.	SENT	.
They	PP	they
weren	NNS	<unknown>
'	POS	'
t	NN	t
just	RB	just
selling	VBG	sell
leases	NNS	lease
,	,	,
they	PP	they
were	VBD	be
selling	VBG	sell
a	DT	a
new	JJ	new
vision	NN	vision
for	IN	for
work	NN	work
.	SENT	.
And	CC	and
Dave	NP	Dave
Fano	NP	Fano
was	VBD	be
on	IN	on
board	NN	board
.	SENT	.
DF	NP	DF
:	:	:
For	IN	for
me	PP	me
it	PP	it
meant	VBD	mean
making	VBG	make
going	VBG	go
to	TO	to
work	VB	work
awesome	JJ	awesome
for	IN	for
people	NNS	people
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
with	IN	with
an	DT	an
initial	JJ	initial
focus	NN	focus
on	IN	on
the	DT	the
physical	JJ	physical
environment	NN	environment
,	,	,
and	CC	and
