Lindsay	NP	Lindsay
Levin	NP	Levin
:	:	:
So	IN	so
we	PP	we
'	POS	'
re	NN	re
living	NN	living
in	IN	in
an	DT	an
era	NN	era
with	IN	with
multiple	JJ	multiple
overlapping	JJ	overlapping
disruptions	NNS	disruption
that	IN	that
business	NN	business
is	VBZ	be
facing	VBG	face
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
dive	VB	dive
straight	JJ	straight
in	IN	in
and	CC	and
talk	VB	talk
about	RB	about
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
of	IN	of
those	DT	those
,	,	,
which	WDT	which
is	VBZ	be
AI	NN	ai
.	SENT	.
How	WRB	how
are	VBP	be
you	PP	you
approaching	VBG	approach
AI	NN	ai
?	SENT	?
Paul	NP	Paul
Hudson	NP	Hudson
:	:	:
You	PP	you
know	VBP	know
,	,	,
AI	VBP	ai
at	IN	at
scale	NN	scale
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
whole	JJ	whole
big	JJ	big
subject	NN	subject
,	,	,
of	IN	of
course	NN	course
,	,	,
but	CC	but
for	IN	for
us	PP	us
,	,	,
at	IN	at
Sanofi	NP	Sanofi
,	,	,
we	PP	we
aim	VBP	aim
to	TO	to
be	VB	be
the	DT	the
world	NN	world
'	POS	'
s	NN	S
leading	VBG	lead
pharmaceutical	JJ	pharmaceutical
company	NN	company
using	VBG	use
AI	NN	ai
at	IN	at
scale	NN	scale
.	SENT	.
Why	WRB	why
and	CC	and
how	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
do	VB	do
that	DT	that
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
straightforward	JJ	straightforward
.	SENT	.
We	PP	we
have	VBP	have
23	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
using	VBG	use
AI	NN	ai
as	RB	as
often	RB	often
as	IN	as
every	DT	every
month	NN	month
,	,	,
9	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
in	IN	in
the	DT	the
company	NN	company
using	VBG	use
AI	NN	ai
as	RB	as
often	RB	often
as	IN	as
every	DT	every
day	NN	day
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
boldly	RB	boldly
taking	VBG	take
on	IN	on
the	DT	the
opportunity	NN	opportunity
to	TO	to
completely	RB	completely
disrupt	VB	disrupt
the	DT	the
business	NN	business
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
choice	NN	choice
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
fourth	JJ	fourth
industrial	JJ	industrial
revolution	NN	revolution
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
here	RB	here
whether	IN	whether
we	PP	we
like	VBP	like
it	PP	it
or	CC	or
not	RB	not
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
how	WRB	how
resistant	JJ	resistant
people	NNS	people
can	MD	can
be	VB	be
across	IN	across
organizations	NNS	organization
and	CC	and
across	IN	across
industries	NNS	industry
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
all	RB	all
in	RB	in
and	CC	and
have	VBP	have
been	VBN	be
quite	RB	quite
public	JJ	public
about	IN	about
that	DT	that
.	SENT	.
Our	PP$	our
aim	NN	aim
is	VBZ	be
to	TO	to
provide	VB	provide
daily	JJ	daily
decision	NN	decision
intelligence	NN	intelligence
,	,	,
to	TO	to
give	VB	give
people	NNS	people
a	DT	a
sort	NN	sort
of	IN	of
nudge	NN	nudge
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
,	,	,
to	TO	to
give	VB	give
them	PP	them
deeper	JJR	deep
insights	NNS	insight
,	,	,
to	TO	to
allow	VB	allow
them	PP	them
to	TO	to
be	VB	be
