Once	RB	once
upon	IN	upon
a	DT	a
time	NN	time
,	,	,
there	EX	there
was	VBD	be
a	DT	a
dread	NN	dread
disease	NN	disease
that	WDT	that
afflicted	VBD	afflict
children	NNS	child
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
among	IN	among
all	PDT	all
the	DT	the
diseases	NNS	disease
that	WDT	that
existed	VBD	exist
in	IN	in
this	DT	this
land	NN	land
,	,	,
it	PP	it
was	VBD	be
the	DT	the
worst	JJS	bad
.	SENT	.
It	PP	it
killed	VBD	kill
the	DT	the
most	JJS	most
children	NNS	child
.	SENT	.
And	CC	and
along	RB	along
came	VBD	come
a	DT	a
brilliant	JJ	brilliant
inventor	NN	inventor
,	,	,
a	DT	a
scientist	NN	scientist
,	,	,
who	WP	who
came	VBD	come
up	RP	up
with	IN	with
a	DT	a
partial	JJ	partial
cure	NN	cure
for	IN	for
that	DT	that
disease	NN	disease
.	SENT	.
And	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
perfect	JJ	perfect
.	SENT	.
Many	JJ	many
children	NNS	child
still	RB	still
died	VBD	die
,	,	,
but	CC	but
it	PP	it
was	VBD	be
certainly	RB	certainly
better	JJR	good
than	IN	than
what	WP	what
they	PP	they
had	VBD	have
before	RB	before
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
good	JJ	good
things	NNS	thing
about	IN	about
this	DT	this
cure	NN	cure
was	VBD	be
that	IN	that
it	PP	it
was	VBD	be
free	JJ	free
,	,	,
virtually	RB	virtually
free	JJ	free
,	,	,
and	CC	and
was	VBD	be
very	RB	very
easy	JJ	easy
to	TO	to
use	VB	use
.	SENT	.
But	CC	but
the	DT	the
worst	JJS	bad
thing	NN	thing
about	IN	about
it	PP	it
was	VBD	be
that	IN	that
you	PP	you
couldn	NNS	<unknown>
'	POS	'
t	NN	t
use	VB	use
it	PP	it
on	IN	on
the	DT	the
youngest	JJS	young
children	NNS	child
,	,	,
on	IN	on
infants	NNS	infant
,	,	,
and	CC	and
on	IN	on
one-year-olds	NNS	<unknown>
.	SENT	.
And	CC	and
so	RB	so
,	,	,
as	IN	as
a	DT	a
consequence	NN	consequence
,	,	,
a	DT	a
few	JJ	few
years	NNS	year
later	RBR	later
,	,	,
another	DT	another
scientist	NN	scientist
—	:	-
perhaps	RB	perhaps
maybe	RB	maybe
this	DT	this
scientist	NN	scientist
not	RB	not
quite	RB	quite
as	RB	as
brilliant	JJ	brilliant
as	IN	as
the	DT	the
one	CD	one
who	WP	who
had	VBD	have
preceded	VBN	precede
him	PP	him
,	,	,
but	CC	but
