Hey	UH	hey
,	,	,
everyone	NN	everyone
.	SENT	.
If	IN	if
it	PP	it
'	POS	'
s	JJ	<unknown>
cool	NN	cool
with	IN	with
you	PP	you
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
draw	VB	draw
for	IN	for
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
Story	NN	story
has	VBZ	have
always	RB	always
helped	VBN	help
me	PP	me
understand	VBP	understand
the	DT	the
human	JJ	human
experience	NN	experience
.	SENT	.
Growing	VBG	grow
up	RP	up
,	,	,
I	PP	I
took	VBD	take
solace	NN	solace
in	IN	in
the	DT	the
books	NNS	book
that	IN	that
I	PP	I
would	MD	would
read	VB	read
,	,	,
and	CC	and
those	DT	those
book	NN	book
characters	NNS	character
that	IN	that
I	PP	I
met	VBD	meet
offered	VBN	offer
me	PP	me
friendship	NN	friendship
.	SENT	.
Characters	NNS	character
like	IN	like
Ralph	NP	Ralph
S	NP	S
.	SENT	.
Mouse	NN	mouse
from	IN	from
Beverly	NP	Beverly
Cleary	NP	Cleary
'	POS	'
s	NN	S
"	``	"
The	DT	the
Mouse	NP	Mouse
and	CC	and
the	DT	the
Motorcycle	NN	motorcycle
.	SENT	.
"	''	"
Snoopy	NP	Snoopy
,	,	,
Garfield	NP	Garfield
.	SENT	.
They	PP	they
offered	VBD	offer
me	PP	me
companionship	NN	companionship
as	IN	as
I	PP	I
dealt	VBD	deal
with	IN	with
the	DT	the
trauma	NN	trauma
of	IN	of
my	PP$	my
mother	NN	mother
'	POS	'
s	JJ	<unknown>
lifelong	JJ	lifelong
struggle	NN	struggle
with	IN	with
an	DT	an
opioid	JJ	<unknown>
addiction	NN	addiction
,	,	,
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
who	WP	who
or	CC	or
where	WRB	where
my	PP$	my
birth	NN	birth
father	NN	father
was	VBD	be
.	SENT	.
Story	NN	story
has	VBZ	have
also	RB	also
helped	VBN	help
me	PP	me
