Eight	CD	eight
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
haunted	VBN	haunt
by	IN	by
an	DT	an
evil	JJ	evil
spirit	NN	spirit
.	SENT	.
I	PP	I
was	VBD	be
25	CD	@card@
at	IN	at
the	DT	the
time	NN	time
,	,	,
and	CC	and
I	PP	I
was	VBD	be
living	VBG	live
in	IN	in
a	DT	a
tiny	JJ	tiny
house	NN	house
behind	IN	behind
someone	NN	someone
else	RB	else
'	POS	'
s	JJ	<unknown>
house	NN	house
in	IN	in
Los	NP	Los
Angeles	NP	Angeles
.	SENT	.
It	PP	it
was	VBD	be
this	DT	this
guest	NN	guest
house	NN	house
,	,	,
it	PP	it
had	VBD	have
kind	NN	kind
of	IN	of
been	VBN	be
dilapidated	VBN	dilapidate
,	,	,
not	RB	not
taken	VBN	take
care	NN	care
of	IN	of
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
And	CC	and
one	CD	one
night	NN	night
,	,	,
I	PP	I
was	VBD	be
sitting	VBG	sit
there	RB	there
and	CC	and
I	PP	I
got	VBD	get
this	DT	this
really	RB	really
spooky	JJ	spooky
feeling	NN	feeling
,	,	,
kind	NN	kind
of	IN	of
the	DT	the
feeling	NN	feeling
like	IN	like
you	PP	you
'	POS	'
re	NN	re
being	VBG	be
watched	VBN	watch
.	SENT	.
But	CC	but
no	DT	no
one	CD	one
was	VBD	be
there	RB	there
except	IN	except
my	PP$	my
two	CD	two
dogs	NNS	dog
,	,	,
and	CC	and
they	PP	they
were	VBD	be
just	RB	just
chewing	VBG	chew
their	PP$	their
feet	NNS	foot
.	SENT	.
And	CC	and
I	PP	I
looked	VBD	look
around	RP	around
.	SENT	.
No	DT	no
one	CD	one
was	VBD	be
there	RB	there
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
OK	UH	OK
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
my	PP$	my
imagination	NN	imagination
.	SENT	.
But	CC	but
the	DT	the
feeling	NN	feeling
just	RB	just
kept	VBD	keep
getting	VBG	get
worse	JJR	bad
,	,	,
and	CC	and
I	PP	I
started	VBD	start
to	TO	to
feel	VB	feel
this	DT	this
pressure	NN	pressure
in	IN	in
my	PP$	my
chest	NN	chest
,	,	,
sort	NN	sort
of	IN	of
like	IN	like
the	DT	the
feeling	NN	feeling
when	WRB	when
you	PP	you
get	VBP	get
bad	JJ	bad
news	NN	news
.	SENT	.
But	CC	but
it	PP	it
started	VBD	start
to	TO	to
sink	VB	sink
lower	JJR	low
and	CC	and
lower	JJR	low
and	CC	and
almost	RB	almost
hurt	VBN	hurt
.	SENT	.
And	CC	and
over	IN	over
the	DT	the
course	NN	course
of	IN	of
that	DT	that
week	NN	week
,	,	,
this	DT	this
feeling	NN	feeling
got	VBD	get
worse	JJR	bad
and	CC	and
worse	JJR	bad
,	,	,
and	CC	and
I	PP	I
started	VBD	start
to	TO	to
become	VB	become
convinced	JJ	convinced
that	IN	that
something	NN	something
was	VBD	be
there	RB	there
in	IN	in
my	PP$	my
little	JJ	little
guest	NN	guest
