Meet	NP	Meet
Tony	NP	Tony
.	SENT	.
He	PP	he
'	''	'
s	VBG	<unknown>
my	PP$	my
student	NN	student
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
about	IN	about
my	PP$	my
age	NN	age
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
in	IN	in
San	NP	San
Quentin	NP	Quentin
State	NP	State
Prison	NN	prison
.	SENT	.
When	WRB	when
Tony	NP	Tony
was	VBD	be
16	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
one	CD	one
day	NN	day
,	,	,
one	CD	one
moment	NN	moment
,	,	,
"	``	"
It	PP	it
was	VBD	be
mom	NN	mom
'	POS	'
s	NN	S
gun	NN	gun
.	SENT	.
Just	RB	just
flash	VB	flash
it	PP	it
,	,	,
scare	VB	scare
the	DT	the
guy	NN	guy
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
a	DT	a
punk	NN	punk
.	SENT	.
He	PP	he
took	VBD	take
some	DT	some
money	NN	money
;	:	;
we	PP	we
'	POS	'
ll	NNS	<unknown>
take	VBP	take
his	PP$	his
money	NN	money
.	SENT	.
That	IN	that
'	POS	'
ll	NNS	<unknown>
teach	VBP	teach
him	PP	him
.	SENT	.
Then	RB	then
last	JJ	last
minute	NN	minute
,	,	,
I	PP	I
'	POS	'
m	NN	m
thinking	NN	thinking
,	,	,
'	''	'
Can	NP	Can
'	POS	'
t	NN	t
do	VBP	do
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
'	''	'
My	PP$	my
buddy	NN	buddy
says	VBZ	say
,	,	,
'	''	'
C	NP	C
'	POS	'
mon	NN	mon
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
do	VBP	do
this	DT	this
.	SENT	.
'	''	'
I	PP	I
say	VBP	say
,	,	,
'	''	'
Let	NP	Let
'	POS	'
s	NNS	<unknown>
do	VBP	do
this	DT	this
.	SENT	.
'	''	'
"	``	"
And	CC	and
those	DT	those
three	CD	three
words	NNS	word
,	,	,
Tony	NP	Tony
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
remember	VB	remember
,	,	,
because	IN	because
the	DT	the
next	JJ	next
thing	NN	thing
he	PP	he
knows	VBZ	know
,	,	,
he	PP	he
hears	VBZ	hear
the	DT	the
pop	NN	pop
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
punk	NN	punk
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
puddle	NN	puddle
of	IN	of
blood	NN	blood
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
felony	NN	felony
murder	NN	murder
—	:	-
25	CD	@card@
to	TO	to
life	NN	life
,	,	,
parole	NN	parole
at	IN	at
50	CD	@card@
if	IN	if
you	PP	you
'	POS	'
re	NN	re
lucky	JJ	lucky
,	,	,
and	CC	and
Tony	NP	Tony
'	POS	'
s	NN	S
not	RB	not
feeling	VBG	feel
very	RB	very
lucky	JJ	lucky
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
meet	VBP	meet
in	IN	in
my	PP$	my
philosophy	NN	philosophy
class	NN	class
in	IN	in
his	PP$	his
prison	NN	prison
and	CC	and
I	PP	I
say	VBP	say
,	,	,
"	''	"
In	IN	in
this	DT	this
class	NN	class
,	,	,
we	PP	we
will	MD	will
discuss	VB	discuss
the	DT	the
foundations	NNS	foundation
of	IN	of
ethics	NNS	ethic
,	,	,
"	''	"
Tony	NP	Tony
interrupts	VBZ	interrupt
me	PP	me
.	SENT	.
"	``	"
What	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
teach	VB	teach
me	PP	me
about	RB	about
right	JJ	right
and	CC	and
wrong	JJ	wrong
?	SENT	?
I	PP	I
know	VBP	know
what	WP	what
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
I	PP	I
have	VBP	have
done	VBN	do
wrong	JJ	wrong
.	SENT	.
I	PP	I
am	VBP	be
told	VBN	tell
every	DT	every
day	NN	day
,	,	,
by	IN	by
every	DT	every
face	NN	face
I	PP	I
see	VBP	see
,	,	,
every	DT	every
wall	NN	wall
I	PP	I
face	VBP	face
,	,	,
that	IN	that
I	PP	I
am	VBP	be
wrong	JJ	wrong
.	SENT	.
If	IN	if
I	PP	I
ever	RB	ever
get	VBP	get
out	RP	out
of	IN	of
here	RB	here
,	,	,
there	EX	there
will	MD	will
always	RB	always
be	VB	be
a	DT	a
mark	NN	mark
by	IN	by
my	PP$	my
name	NN	name
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
convict	JJ	convict
;	:	;
I	PP	I
am	VBP	be
branded	VBN	brand
'	''	'
wrong	JJ	wrong
.	SENT	.
'	''	'
What	WP	what
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
tell	VB	tell
me	PP	me
about	RB	about
right	JJ	right
and	CC	and
wrong	JJ	wrong
?	SENT	?
"	``	"
So	RB	so
I	PP	I
say	VBP	say
to	TO	to
Tony	NP	Tony
,	,	,
"	''	"
Sorry	RB	sorry
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
worse	RBR	worse
than	IN	than
you	PP	you
think	VBP	think
.	SENT	.
You	PP	you
think	VBP	think
you	PP	you
know	VBP	know
right	JJ	right
and	CC	and
wrong	JJ	wrong
?	SENT	?
Then	RB	then
can	MD	can
you	PP	you
tell	VB	tell
me	PP	me
what	WP	what
wrong	RB	wrong
is	VBZ	be
?	SENT	?
No	UH	no
,	,	,
don	NN	don
'	POS	'
t	NN	t
just	RB	just
give	VB	give
me	PP	me
an	DT	an
example	NN	example
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
about	IN	about
wrongness	NN	wrongness
itself	PP	itself
,	,	,
the	DT	the
idea	NN	idea
of	IN	of
wrong	JJ	wrong
.	SENT	.
What	WP	what
is	VBZ	be
that	DT	that
idea	NN	idea
?	SENT	?
What	WP	what
makes	VBZ	make
something	NN	something
wrong	JJ	wrong
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
?	SENT	?
Maybe	RB	maybe
you	PP	you
and	CC	and
I	PP	I
disagree	VBP	disagree
.	SENT	.
Maybe	RB	maybe
one	CD	one
of	IN	of
us	PP	us
is	VBZ	be
wrong	JJ	wrong
about	IN	about
the	DT	the
wrong	JJ	wrong
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
you	PP	you
,	,	,
maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
me	PP	me
—	:	-
but	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
here	RB	here
to	TO	to
trade	VB	trade
opinions	NNS	opinion
;	:	;
everyone	NN	everyone
'	POS	'
s	NN	S
got	VBD	get
an	DT	an
opinion	NN	opinion
.	SENT	.
We	PP	we
are	VBP	be
here	RB	here
for	IN	for
knowledge	NN	knowledge
.	SENT	.
Our	PP$	our
enemy	NN	enemy
is	VBZ	be
thoughtlessness	NN	thoughtlessness
.	SENT	.
This	DT	this
is	VBZ	be
philosophy	NN	philosophy
.	SENT	.
"	''	"
And	CC	and
