Fifteen	CD	fifteen
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
walked	VBD	walk
into	IN	into
a	DT	a
classroom	NN	classroom
as	IN	as
a	DT	a
first-year	JJ	first-year
preschool	JJ	preschool
teacher	NN	teacher
.	SENT	.
Ambitious	JJ	ambitious
and	CC	and
eager	JJ	eager
to	TO	to
impress	VB	impress
,	,	,
I	PP	I
created	VBD	create
this	DT	this
Excel	NP	Excel
document	NN	document
to	TO	to
track	VB	track
the	DT	the
things	NNS	thing
I	PP	I
thought	VBD	think
mattered	VBD	matter
most	JJS	most
for	IN	for
my	PP$	my
students	NNS	student
:	:	:
letters	NNS	letter
,	,	,
numbers	NNS	number
,	,	,
shapes	NNS	shape
and	CC	and
colors	NNS	color
.	SENT	.
Looking	VBG	look
back	RB	back
,	,	,
though	RB	though
,	,	,
with	IN	with
what	WP	what
I	PP	I
know	VBP	know
now	RB	now
,	,	,
I	PP	I
wish	VBP	wish
I	PP	I
wouldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
bothered	VBN	bother
with	IN	with
Excel	NP	Excel
or	CC	or
rote	NN	rote
memorization	NN	memorization
.	SENT	.
I	PP	I
wish	VBP	wish
instead	RB	instead
I	PP	I
had	VBD	have
leveraged	VBN	leverage
the	DT	the
power	NN	power
of	IN	of
brain-building	VBG	brain-build
interactive	JJ	interactive
play	NN	play
.	SENT	.
For	IN	for
years	NNS	year
,	,	,
we	PP	we
'	POS	'
ve	JJ	<unknown>
known	VBN	know
that	IN	that
play-based	JJ	<unknown>
learning	NN	learning
is	VBZ	be
far	RB	far
superior	JJ	superior
to	TO	to
rote	NN	rote
memorization	NN	memorization
.	SENT	.
Harvard	NP	Harvard
'	POS	'
s	JJ	<unknown>
Center	NN	center
on	IN	on
the	DT	the
Developing	VBG	develop
Child	NN	child
tells	VBZ	tell
us	PP	us
,	,	,
as	RB	as
well	RB	well
as	IN	as
countless	JJ	countless
other	JJ	other
institutions	NNS	institution
,	,	,
that	DT	that
play	NN	play
,	,	,
and	CC	and
especially	RB	especially
the	DT	the
back	RB	back
and	CC	and
forth	RB	forth
interactions	NNS	interaction
,	,	,
the	DT	the
serve	NN	serve
and	CC	and
return	NN	return
,	,	,
the	DT	the
alternating	VBG	alternate
comments	NNS	comment
,	,	,
questions	NNS	question
,	,	,
gestures	NNS	gesture
between	IN	between
children	NNS	child
and	CC	and
adults	NNS	adult
when	WRB	when
they	PP	they
play	VBP	play
together	RB	together
,	,	,
that	IN	that
'	POS	'
s	NN	S
what	WP	what
helps	VBZ	help
build	VB	build
neural	JJ	neural
connections	NNS	connection
in	IN	in
the	DT	the
child	NN	child
'	POS	'
s	NN	S
brain	NN	brain
.	SENT	.
And	CC	and
in	IN	in
particular	JJ	particular
,	,	,
they	PP	they
build	VBP	build
the	DT	the
brain	NN	brain
'	POS	'
s	JJ	<unknown>
prefrontal	JJ	prefrontal
cortex	NN	cortex
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
executive	JJ	executive
control	NN	control
center	NN	center
of	IN	of
the	DT	the
brain	NN	brain
.	SENT	.
