Hi	UH	hi
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
understanding	NN	understanding
,	,	,
and	CC	and
the	DT	the
nature	NN	nature
of	IN	of
understanding	NN	understanding
,	,	,
and	CC	and
what	WP	what
the	DT	the
essence	NN	essence
of	IN	of
understanding	NN	understanding
is	VBZ	be
,	,	,
because	IN	because
understanding	NN	understanding
is	VBZ	be
something	NN	something
we	PP	we
aim	VBP	aim
for	IN	for
,	,	,
everyone	NN	everyone
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
understand	VB	understand
things	NNS	thing
.	SENT	.
My	PP$	my
claim	NN	claim
is	VBZ	be
that	IN	that
understanding	NN	understanding
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
ability	NN	ability
to	TO	to
change	VB	change
your	PP$	your
perspective	NN	perspective
.	SENT	.
If	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
that	DT	that
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
understanding	NN	understanding
.	SENT	.
So	RB	so
that	DT	that
is	VBZ	be
my	PP$	my
claim	NN	claim
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
focus	VB	focus
on	IN	on
mathematics	NNS	mathematics
.	SENT	.
Many	JJ	many
of	IN	of
us	PP	us
think	VBP	think
of	IN	of
mathematics	NNS	mathematics
as	IN	as
addition	NN	addition
,	,	,
subtraction	NN	subtraction
,	,	,
multiplication	NN	multiplication
,	,	,
division	NN	division
,	,	,
fractions	NNS	fraction
,	,	,
percent	NN	percent
,	,	,
geometry	NN	geometry
,	,	,
algebra	NN	algebra
—	:	-
all	PDT	all
that	DT	that
stuff	NN	stuff
.	SENT	.
But	CC	but
actually	RB	actually
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
essence	NN	essence
of	IN	of
mathematics	NNS	mathematics
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
my	PP$	my
claim	NN	claim
is	VBZ	be
that	IN	that
mathematics	NN	mathematics
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
patterns	NNS	pattern
.	SENT	.
Behind	IN	behind
me	PP	me
,	,	,
you	PP	you
see	VBP	see
a	DT	a
beautiful	JJ	beautiful
pattern	NN	pattern
,	,	,
and	CC	and
this	DT	this
pattern	NN	pattern
actually	RB	actually
emerges	VBZ	emerge
just	RB	just
from	IN	from
drawing	VBG	draw
circles	NNS	circle
in	IN	in
a	DT	a
very	RB	very
particular	JJ	particular
way	NN	way
.	SENT	.
So	IN	so
my	PP$	my
day-to-day	JJ	day-to-day
definition	NN	definition
of	IN	of
mathematics	NNS	mathematics
that	IN	that
I	PP	I
use	VBP	use
every	DT	every
day	NN	day
is	VBZ	be
the	DT	the
following	VBG	follow
:	:	:
First	RB	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
finding	VBG	find
patterns	NNS	pattern
.	SENT	.
And	CC	and
by	IN	by
"	``	"
pattern	NN	pattern
,	,	,
"	``	"
I	PP	I
mean	VBP	mean
a	DT	a
connection	NN	connection
,	,	,
a	DT	a
structure	NN	structure
,	,	,
some	DT	some
regularity	NN	regularity
,	,	,
some	DT	some
rules	NNS	rule
that	WDT	that
govern	VBP	govern
what	WP	what
we	PP	we
see	VBP	see
.	SENT	.
Second	JJ	second
of	IN	of
all	DT	all
,	,	,
I	PP	I
think	VBP	think
it	PP	it
is	VBZ	be
about	RB	about
representing	VBG	represent
these	DT	these
patterns	NNS	pattern
with	IN	with
a	DT	a
language	NN	language
.	SENT	.
We	PP	we
make	VBP	make
up	RP	up
language	NN	language
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
it	PP	it
,	,	,
and	CC	and
in	IN	in
mathematics	NN	mathematics
,	,	,
this	DT	this
is	VBZ	be
essential	JJ	essential
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
about	IN	about
making	VBG	make
assumptions	NNS	assumption
and	CC	and
playing	VBG	play
around	RP	around
with	IN	with
these	DT	these
assumptions	NNS	assumption
and	CC	and
just	RB	just
seeing	VBG	see
what	WP	what
happens	VBZ	happen
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
that	IN	that
very	RB	very
soon	RB	soon
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
doing	VBG	do
cool	JJ	cool
stuff	NN	stuff
.	SENT	.
Mathematics	NN	mathematics
enables	VBZ	enable
us	PP	us
to	TO	to
do	VB	do
so	IN	so
many	JJ	many
things	NNS	thing
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
look	NN	look
at	IN	at
these	DT	these
patterns	NNS	pattern
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
tie	VB	tie
a	DT	a
tie	NN	tie
knot	NN	knot
,	,	,
there	EX	there
are	VBP	be
patterns	NNS	pattern
.	SENT	.
Tie	NN	tie
knots	NNS	knot
have	VB	have
names	NNS	name
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
also	RB	also
do	VB	do
the	DT	the
mathematics	NN	mathematics
of	IN	of
tie	NN	tie
knots	NNS	knot
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
left-out	NN	<unknown>
,	,	,
right-in	NP	<unknown>
,	,	,
center-out	NN	<unknown>
and	CC	and
tie	NN	tie
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
left-in	NN	<unknown>
,	,	,
right-out	NN	<unknown>
,	,	,
left-in	NP	<unknown>
,	,	,
center-out	NN	<unknown>
and	CC	and
tie	NN	tie
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
language	NN	language
we	PP	we
made	VBD	make
up	RP	up
for	IN	for
