Now	RB	now
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
making	VBG	make
pictures	NNS	picture
for	IN	for
quite	PDT	quite
a	DT	a
long	JJ	long
time	NN	time
,	,	,
and	CC	and
normally	RB	normally
speaking	VBG	speak
,	,	,
a	DT	a
picture	NN	picture
like	IN	like
this	DT	this
,	,	,
for	IN	for
me	PP	me
,	,	,
should	MD	should
be	VB	be
straightforward	JJ	straightforward
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
in	IN	in
southern	JJ	southern
Ethiopia	NN	Ethiopia
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
with	IN	with
the	DT	the
Daasanach	NP	<unknown>
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
family	NN	family
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
beautiful	JJ	beautiful
tree	NN	tree
,	,	,
and	CC	and
I	PP	I
make	VBP	make
these	DT	these
pictures	NNS	picture
with	IN	with
this	DT	this
very	RB	very
large	JJ	large
,	,	,
extremely	RB	extremely
cumbersome	JJ	cumbersome
,	,	,
very	RB	very
awkward	JJ	awkward
technical	JJ	technical
plate	NN	plate
film	NN	film
camera	NN	camera
.	SENT	.
Does	VBZ	do
anybody	NN	anybody
know	VB	know
4x5	JJ	<unknown>
and	CC	and
10x8	JJ	<unknown>
sheets	NNS	sheet
of	IN	of
film	NN	film
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
setting	VBG	set
it	PP	it
up	RP	up
,	,	,
putting	VBG	put
it	PP	it
on	IN	on
the	DT	the
tripod	NN	tripod
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
the	DT	the
family	NN	family
,	,	,
spent	VBD	spend
the	DT	the
better	JJR	good
part	NN	part
of	IN	of
a	DT	a
day	NN	day
talking	VBG	talk
with	IN	with
them	PP	them
.	SENT	.
They	PP	they
sort	RB	sort
of	IN	of
understand	VB	understand
what	WP	what
I	PP	I
'	POS	'
m	NN	m
on	IN	on
about	RB	about
.	SENT	.
They	PP	they
think	VBP	think
I	PP	I
'	''	'
m	NN	m
a	DT	a
bit	NN	bit
crazy	JJ	crazy
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
another	DT	another
story	NN	story
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	JJ	<unknown>
most	RBS	most
important	JJ	important
for	IN	for
me	PP	me
is	VBZ	be
the	DT	the
beauty	NN	beauty
and	CC	and
the	DT	the
aesthetic	NN	aesthetic
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
based	VBN	base
on	IN	on
the	DT	the
light	NN	light
.	SENT	.
So	IN	so
the	DT	the
light	NN	light
'	POS	'
s	NNS	<unknown>
setting	VBG	set
on	IN	on
my	PP$	my
left-hand	JJ	left-hand
side	NN	side
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
balance	NN	balance
in	IN	in
the	DT	the
communication	NN	communication
with	IN	with
the	DT	the
Daasanach	NP	<unknown>
,	,	,
the	DT	the
family	NN	family
of	IN	of
30	CD	@card@
,	,	,
all	DT	all
ages	NNS	age
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
babies	VBZ	baby
and	CC	and
there	EX	there
'	''	'
s	NN	S
grandparents	NNS	grandparent
,	,	,
I	PP	I
'	POS	'
m	NN	m
getting	VBG	get
them	PP	them
in	IN	in
the	DT	the
tree	NN	tree
and	CC	and
waiting	VBG	wait
for	IN	for
the	DT	the
light	NN	light
to	TO	to
set	VB	set
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
going	VBG	go
,	,	,
going	VBG	go
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
one	CD	one
sheet	NN	sheet
of	IN	of
film	NN	film
left	VBN	leave
,	,	,
and	CC	and
I	PP	I
think	VBP	think
,	,	,
I	PP	I
'	POS	'
m	NN	m
okay	NN	okay
,	,	,
I	PP	I
'	POS	'
m	NN	m
in	IN	in
control	NN	control
,	,	,
I	PP	I
'	POS	'
m	NN	m
in	IN	in
control	NN	control
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
setting	VBG	set
it	PP	it
up	RP	up
and	CC	and
I	PP	I
'	POS	'
m	NN	m
setting	VBG	set
up	RP	up
,	,	,
and	CC	and
the	DT	the
light	NN	light
'	POS	'
s	NN	S
just	RB	just
about	RB	about
to	TO	to
go	VB	go
,	,	,
and	CC	and
I	PP	I
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
golden	JJ	golden
,	,	,
I	PP	I
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
beautiful	JJ	beautiful
.	SENT	.
I	PP	I
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
hanging	VBG	hang
on	IN	on
the	DT	the
horizon	NN	horizon
so	IN	so
it	PP	it
lights	VBZ	light
these	DT	these
people	NNS	people
,	,	,
in	IN	in
all	PDT	all
the	DT	the
potential	JJ	potential
glory	NN	glory
that	IN	that
they	PP	they
could	MD	could
be	VB	be
presented	VBN	present
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
about	RB	about
to	TO	to
go	VB	go
and	CC	and
