First	JJ	first
of	IN	of
all	DT	all
,	,	,
for	IN	for
those	DT	those
of	IN	of
you	PP	you
who	WP	who
are	VBP	be
not	RB	not
familiar	JJ	familiar
with	IN	with
my	PP$	my
work	NN	work
,	,	,
I	PP	I
create	VBP	create
multicultural	NN	multicultural
characters	NNS	character
,	,	,
so	RB	so
characters	NNS	character
from	IN	from
lots	NNS	lot
of	IN	of
different	JJ	different
backgrounds	NNS	background
.	SENT	.
So	RB	so
before	IN	before
the	DT	the
present	NN	present
is	VBZ	be
the	DT	the
new	JJ	new
future	NN	future
,	,	,
a	DT	a
bit	NN	bit
about	IN	about
the	DT	the
past	NN	past
is	VBZ	be
that	IN	that
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
a	DT	a
family	NN	family
that	WDT	that
was	VBD	be
multi-everything	VBG	<unknown>
â	NP	<unknown>
multi-racial	JJ	multi-racial
,	,	,
multi-cultural	JJ	multi-cultural
,	,	,
black	JJ	black
and	CC	and
white	JJ	white
,	,	,
Caribbean	NP	Caribbean
,	,	,
Irish-American	NP	Irish-American
,	,	,
German-American	NP	German-American
.	SENT	.
There	EX	there
was	VBD	be
Dominican	JJ	Dominican
music	NN	music
blasting	VBG	blast
from	IN	from
stereos	NNS	stereo
.	SENT	.
There	EX	there
were	VBD	be
Christians	NNS	Christian
and	CC	and
Jews	NNS	jew
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
long	JJ	long
story	NN	story
filled	VBN	fill
with	IN	with
intrigue	NN	intrigue
and	CC	and
interfaith	NN	interfaith
guilt	NN	guilt
and	CC	and
shame	NN	shame
.	SENT	.
But	CC	but
I	PP	I
was	VBD	be
totally	RB	totally
immersed	VBN	immerse
in	IN	in
this	DT	this
world	NN	world
that	WDT	that
was	VBD	be
filled	VBN	fill
with	IN	with
everybody	NN	everybody
,	,	,
and	CC	and
then	RB	then
I	PP	I
went	VBD	go
on	IN	on
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
school	NN	school
,	,	,
and	CC	and
that	IN	that
just	RB	just
completely	RB	completely
â	NP	<unknown>
So	IN	so
I	PP	I
began	VBD	begin
sort	NN	sort
of	IN	of
developing	VBG	develop
these	DT	these
voices	NNS	voice
and	CC	and
these	DT	these
people	NNS	people
,	,	,
all	DT	all
of	IN	of
whom	WP	whom
were	VBD	be
loosely	RB	loosely
based	VBN	base
on	IN	on
people	NNS	people
I	PP	I
really	RB	really
know	VBP	know
,	,	,
and	CC	and
so	RB	so
,	,	,
for	IN	for
example	NN	example
,	,	,
in	IN	in
performing	VBG	perform
them	PP	them
,	,	,
I	PP	I
would	MD	would
really	RB	really
try	VB	try
to	TO	to
inhabit	VB	inhabit
them	PP	them
.	SENT	.
And	CC	and
for	IN	for
example	NN	example
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
really	RB	really
talk	VB	talk
like	IN	like
that	DT	that
,	,	,
but	CC	but
that	WDT	that
was	VBD	be
one	CD	one
of	IN	of
my	PP$	my
people	NNS	people
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
bring	VB	bring
a	DT	a
few	JJ	few
of	IN	of
my	PP$	my
friends	NNS	friend
â	NP	<unknown>
I	PP	I
think	VBP	think
of	IN	of
them	PP	them
as	IN	as
my	PP$	my
friends	NNS	friend
â	NP	<unknown>
to	TO	to
this	DT	this
stage	NN	stage
,	,	,
in	IN	in
this	DT	this
spirit	NN	spirit
of	IN	of
the	DT	the
idea	NN	idea
that	IN	that
the	DT	the
present	NN	present
is	VBZ	be
the	DT	the
new	JJ	new
future	NN	future
,	,	,
in	IN	in
sort	NN	sort
of	IN	of
a	DT	a
meta	NN	<unknown>
way	NN	way
,	,	,
because	IN	because
I	PP	I
thought	VBD	think
about	IN	about
it	PP	it
,	,	,
and	CC	and
the	DT	the
