When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
little	JJ	little
girl	NN	girl
,	,	,
my	PP$	my
parents	NNS	parent
would	MD	would
take	VB	take
me	PP	me
outside	IN	outside
and	CC	and
show	VBP	show
me	PP	me
all	PDT	all
the	DT	the
incredible	JJ	incredible
ways	NNS	way
that	IN	that
they	PP	they
would	MD	would
take	VB	take
care	NN	care
of	IN	of
our	PP$	our
land	NN	land
to	TO	to
produce	VB	produce
good	JJ	good
food	NN	food
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
begrudgingly	RB	begrudgingly
follow	VB	follow
them	PP	them
out	RP	out
and	CC	and
listen	VB	listen
to	TO	to
the	DT	the
stories	NNS	story
that	IN	that
they	PP	they
had	VBD	have
to	TO	to
say	VB	say
.	SENT	.
And	CC	and
their	PP$	their
pieces	NNS	piece
of	IN	of
advice	NN	advice
would	MD	would
range	VB	range
from	IN	from
totally	RB	totally
rational	JJ	rational
and	CC	and
practical	JJ	practical
to	TO	to
absolutely	RB	absolutely
bizarre	JJ	bizarre
.	SENT	.
For	IN	for
example	NN	example
,	,	,
my	PP$	my
grandfather	NN	grandfather
would	MD	would
say	VB	say
,	,	,
"	''	"
Hey	NP	Hey
Louise	NP	Louise
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
plant	VB	plant
good	JJ	good
root	NN	root
crops	NNS	crop
this	DT	this
season	NN	season
,	,	,
what	WP	what
you	PP	you
should	MD	should
do	VB	do
is	VBZ	be
plant	VB	plant
some	DT	some
rocks	NNS	rock
underneath	IN	underneath
your	PP$	your
sweet	JJ	sweet
potatoes	NNS	potato
.	SENT	.
"	``	"
And	CC	and
I	PP	I
would	MD	would
look	VB	look
at	IN	at
him	PP	him
and	CC	and
be	VB	be
like	IN	like
,	,	,
"	``	"
OK	UH	OK
,	,	,
Grandpa	NN	grandpa
,	,	,
sure	RB	sure
.	SENT	.
I	PP	I
totally	RB	totally
believe	VBP	believe
you	PP	you
.	SENT	.
"	''	"
And	CC	and
my	PP$	my
grandmother	NN	grandmother
would	MD	would
say	VB	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
to	TO	to
have	VB	have
the	DT	the
best	JJS	good
harvest	NN	harvest
of	IN	of
fruits	NNS	fruit
from	IN	from
the	DT	the
fruit-bearing	NN	fruit-bearing
trees	VBZ	tree
this	DT	this
season	NN	season
,	,	,
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
plant	VB	plant
according	VBG	accord
to	TO	to
lunar	JJ	lunar
cycles	NNS	cycle
.	SENT	.
You	PP	you
want	VBP	want
to	TO	to
plan	VB	plan
towards	IN	towards
the	DT	the
full	JJ	full
moon	NN	moon
and	CC	and
never	RB	never
towards	IN	towards
a	DT	a
new	JJ	new
moon	NN	moon
.	SENT	.
"	``	"
And	CC	and
I	PP	I
would	MD	would
look	VB	look
at	IN	at
