Rosa	NP	Rosa
Howard	NP	Howard
:	:	:
IKEA	NP	IKEA
has	VBZ	have
over	RB	over
500	CD	@card@
locations	NNS	location
worldwide	RB	worldwide
and	CC	and
is	VBZ	be
committed	VBN	commit
to	TO	to
being	VBG	be
climate	NN	climate
positive	JJ	positive
by	IN	by
2030	CD	@card@
.	SENT	.
That	DT	that
involves	VBZ	involve
everything	NN	everything
from	IN	from
the	DT	the
raw	JJ	raw
materials	NNS	material
to	TO	to
the	DT	the
end	NN	end
of	IN	of
a	DT	a
product	NN	product
'	POS	'
s	NN	S
life	NN	life
.	SENT	.
Because	IN	because
of	IN	of
the	DT	the
company	NN	company
'	POS	'
s	NN	S
scale	NN	scale
.	SENT	.
.	SENT	.
.	SENT	.
Jesper	NP	Jesper
Brodin	NP	Brodin
:	:	:
The	DT	the
carbon	NN	carbon
footprint	NN	footprint
of	IN	of
IKEA	NP	IKEA
is	VBZ	be
about	RB	about
0	CD	@card@
.	SENT	.
1	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
global	JJ	global
emission	NN	emission
of	IN	of
carbon	NN	carbon
.	SENT	.
RH	NN	RH
:	:	:
.	SENT	.
.	SENT	.
.	SENT	.
that	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
carbon	NN	carbon
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
Jesper	NP	Jesper
Brodin	NP	Brodin
,	,	,
CEO	NN	CEO
of	IN	of
Ingka	NP	<unknown>
Group	NP	Group
,	,	,
which	WDT	which
operates	VBZ	operate
IKEA	NP	IKEA
Retail	NP	Retail
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
Pia	NP	Pia
Heidenmark	NP	Heidenmark
Cook	NP	Cook
,	,	,
their	PP$	their
head	NN	head
of	IN	of
sustainability	NN	sustainability
.	SENT	.
Pia	NP	Pia
Heidenmark	NP	Heidenmark
Cook	NP	Cook
:	:	:
We	PP	we
know	VBP	know
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
change	VB	change
,	,	,
and	CC	and
we	PP	we
are	VBP	be
really	RB	really
looking	VBG	look
forward	RB	forward
to	TO	to
the	DT	the
opportunities	NNS	opportunity
that	IN	that
we	PP	we
can	MD	can
,	,	,
by	IN	by
transforming	VBG	transform
our	PP$	our
business	NN	business
