So	RB	so
,	,	,
raise	VB	raise
your	PP$	your
hand	NN	hand
if	IN	if
you	PP	you
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
somebody	NN	somebody
in	IN	in
your	PP$	your
city	NN	city
standing	NN	standing
on	IN	on
a	DT	a
corner	NN	corner
,	,	,
holding	VBG	hold
a	DT	a
sign	NN	sign
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
all	RB	all
have	VBP	have
.	SENT	.
If	IN	if
you	PP	you
'	''	'
re	IN	re
being	VBG	be
honest	JJ	honest
,	,	,
at	IN	at
least	JJS	least
one	CD	one
time	NN	time
,	,	,
have	VBP	have
you	PP	you
wondered	VBD	wonder
if	IN	if
they	PP	they
mean	VBP	mean
it	PP	it
?	SENT	?
If	IN	if
we	PP	we
offered	VBD	offer
them	PP	them
a	DT	a
job	NN	job
,	,	,
would	MD	would
they	PP	they
really	RB	really
take	VB	take
it	PP	it
?	SENT	?
And	CC	and
what	WP	what
would	MD	would
that	DT	that
job	NN	job
mean	VB	mean
to	TO	to
them	PP	them
in	IN	in
their	PP$	their
lives	NNS	life
?	SENT	?
Well	RB	well
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
story	NN	story
about	IN	about
what	WP	what
happened	VBD	happen
in	IN	in
my	PP$	my
city	NN	city
when	WRB	when
we	PP	we
decided	VBD	decide
to	TO	to
find	VB	find
out	RP	out
,	,	,
when	WRB	when
we	PP	we
decided	VBD	decide
to	TO	to
think	VB	think
differently	RB	differently
about	RB	about
panhandling	VBG	panhandle
,	,	,
and	CC	and
lift	VB	lift
people	NNS	people
up	RP	up
through	IN	through
the	DT	the
dignity	NN	dignity
of	IN	of
work	NN	work
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
,	,	,
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
Better	JJR	good
Way	NN	way
.	SENT	.
"	``	"
We	PP	we
call	VBP	call
it	PP	it
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
Better	JJR	good
Way	NN	way
because	IN	because
