Lily	NP	Lily
James	NP	James
Olds	NP	Olds
:	:	:
Hi	UH	hi
,	,	,
Katie	NP	Katie
,	,	,
welcome	JJ	welcome
.	SENT	.
Katie	NP	Katie
Mack	NP	Mack
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
Thanks	NNS	thanks
for	IN	for
having	VBG	have
me	PP	me
.	SENT	.
LJO	NN	LJO
:	:	:
So	RB	so
happy	JJ	happy
to	TO	to
have	VB	have
you	PP	you
.	SENT	.
I	PP	I
would	MD	would
love	VB	love
if	IN	if
,	,	,
for	IN	for
those	DT	those
of	IN	of
us	PP	us
who	WP	who
are	VBP	be
not	RB	not
astrophysicists	NNS	astrophysicist
,	,	,
you	PP	you
could	MD	could
return	VB	return
and	CC	and
help	VB	help
us	PP	us
give	VB	give
a	DT	a
little	JJ	little
refresher	NN	refresher
on	IN	on
how	WRB	how
the	DT	the
universe	NN	universe
did	VBD	do
begin	VB	begin
and	CC	and
how	WRB	how
we	PP	we
know	VBP	know
that	RB	that
.	SENT	.
KM	NP	KM
:	:	:
Right	RB	right
,	,	,
right	RB	right
,	,	,
yeah	RB	yeah
.	SENT	.
So	RB	so
we	PP	we
know	VBP	know
actually	RB	actually
quite	RB	quite
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
early	JJ	early
universe	NN	universe
,	,	,
about	IN	about
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
because	IN	because
we	PP	we
can	MD	can
actually	RB	actually
see	VB	see
it	PP	it
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
wildest	JJS	wild
part	NN	part
of	IN	of
astronomy	NN	astronomy
,	,	,
that	WDT	that
we	PP	we
can	MD	can
see	VB	see
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
So	IN	so
the	DT	the
universe	NN	universe
is	VBZ	be
about	RB	about
13	CD	@card@
.	SENT	.
8	CD	@card@
billion	NN	billion
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
when	WRB	when
we	PP	we
look	VBP	look
out	RP	out
into	IN	into
the	DT	the
cosmos	NN	cosmos
,	,	,
we	PP	we
see	VBP	see
distant	JJ	distant
galaxies	NNS	galaxy
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
distant	JJ	distant
ones	NNS	one
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	RB	all
moving	VBG	move
away	RB	away
from	IN	from
us	PP	us
.	SENT	.
And	CC	and
so	RB	so
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
this	DT	this
idea	NN	idea
that	IN	that
,	,	,
well	RB	well
,	,	,
if	IN	if
the	DT	the
galaxies	NNS	galaxy
are	VBP	be
moving	VBG	move
away	RB	away
from	IN	from
us	PP	us
now	RB	now
,	,	,
they	PP	they
must	MD	must
have	VB	have
been	VBN	be
closer	JJR	close
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
The	DT	the
universe	NN	universe
in	IN	in
the	DT	the
past	NN	past
must	MD	must
have	VB	have
been	VBN	be
smaller	JJR	small
in	IN	in
some	DT	some
sense	NN	sense
,	,	,
hotter	JJR	hot
and	CC	and
denser	JJR	dense
,	,	,
everything	NN	everything
packed	VBN	pack
into	IN	into
less	JJR	less
