Well	RB	well
,	,	,
I	PP	I
thought	VBD	think
there	EX	there
would	MD	would
be	VB	be
a	DT	a
podium	NN	podium
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
a	DT	a
bit	NN	bit
scared	VBD	scare
.	SENT	.
Chris	NP	Chris
asked	VBD	ask
me	PP	me
to	TO	to
tell	VB	tell
again	RB	again
how	WRB	how
we	PP	we
found	VBD	find
the	DT	the
structure	NN	structure
of	IN	of
DNA	NP	DNA
.	SENT	.
And	CC	and
since	IN	since
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
follow	VBP	follow
his	PP$	his
orders	NNS	order
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
do	VBP	do
it	PP	it
.	SENT	.
But	CC	but
it	PP	it
slightly	RB	slightly
bores	VBZ	bore
me	PP	me
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
wrote	VBD	write
a	DT	a
book	NN	book
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
say	VBP	say
something	NN	something
â	NP	<unknown>
â	NP	<unknown>
I	NP	I
'	POS	'
ll	NNS	<unknown>
say	VBP	say
a	DT	a
little	JJ	little
about	RB	about
,	,	,
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
the	DT	the
discovery	NN	discovery
was	VBD	be
made	VBN	make
,	,	,
and	CC	and
why	WRB	why
Francis	NP	Francis
and	CC	and
I	PP	I
found	VBD	find
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
,	,	,
I	PP	I
hope	VBP	hope
maybe	RB	maybe
I	PP	I
have	VBP	have
at	IN	at
least	JJS	least
five	CD	five
minutes	NNS	minute
to	TO	to
say	VB	say
what	WP	what
makes	VBZ	make
me	PP	me
tick	VB	tick
now	RB	now
.	SENT	.
In	IN	in
back	RB	back
of	IN	of
me	PP	me
is	VBZ	be
a	DT	a
picture	NN	picture
of	IN	of
me	PP	me
when	WRB	when
I	PP	I
was	VBD	be
17	CD	@card@
.	SENT	.
I	PP	I
was	VBD	be
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Chicago	NP	Chicago
,	,	,
in	IN	in
my	PP$	my
third	JJ	third
year	NN	year
,	,	,
and	CC	and
I	PP	I
was	VBD	be
in	IN	in
my	PP$	my
third	JJ	third
year	NN	year
because	IN	because
the	DT	the
University	NP	University
of	IN	of
Chicago	NP	Chicago
let	VBD	let
you	PP	you
in	IN	in
after	IN	after
two	CD	two
years	NNS	year
of	IN	of
high	JJ	high
school	NN	school
.	SENT	.
So	RB	so
you	PP	you
â	NP	<unknown>
it	PP	it
was	VBD	be
fun	NN	fun
to	TO	to
get	VB	get
away	RB	away
from	IN	from
high	JJ	high
school	NN	school
â	NP	<unknown>
â	NP	<unknown>
because	IN	because
I	PP	I
was	VBD	be
very	RB	very
small	JJ	small
,	,	,
and	CC	and
I	PP	I
was	VBD	be
no	RB	no
good	JJ	good
in	IN	in
sports	NNS	sport
,	,	,
or	CC	or
anything	NN	anything
like	IN	like
that	DT	that
.	SENT	.
But	CC	but
I	PP	I
should	MD	should
say	VB	say
that	IN	that
my	PP$	my
background	NN	background
â	NP	<unknown>
my	PP$	my
father	NN	father
was	VBD	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
raised	VBD	raise
to	TO	to
be	VB	be
an	DT	an
Episcopalian	JJ	Episcopalian
and	CC	and
Republican	JJ	Republican
,	,	,
but	CC	but
after	IN	after
one	CD	one
year	NN	year
of	IN	of
college	NN	college
,	,	,
he	PP	he
became	VBD	become
an	DT	an
atheist	NN	atheist
and	CC	and
a	DT	a
Democrat	NP	Democrat
.	SENT	.
And	CC	and
my	PP$	my
mother	NN	mother
was	VBD	be
Irish	NP	Irish
Catholic	NP	Catholic
,	,	,
and	CC	and
â	NP	<unknown>
but	CC	but
she	PP	she
didn	NP	<unknown>
'	POS	'
t	NN	t
take	VB	take
religion	NN	religion
too	RB	too
seriously	RB	seriously
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
age	NN	age
of	IN	of
11	CD	@card@
,	,	,
I	PP	I
was	VBD	be
no	RB	no
longer	RBR	longer
going	VBG	go
to	TO	to
Sunday	NP	Sunday
Mass	NP	Mass
,	,	,
and	CC	and
going	VBG	go
on	IN	on
birdwatching	VBG	birdwatch
walks	NNS	walk
with	IN	with
my	PP$	my
father	NN	father
.	SENT	.
So	RB	so
early	RB	early
on	IN	on
,	,	,
I	PP	I
heard	VBD	hear
of	IN	of
Charles	NP	Charles
Darwin	NP	Darwin
.	SENT	.
I	PP	I
guess	VBP	guess
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
was	VBD	be
the	DT	the
big	JJ	big
hero	NN	hero
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
understand	VBP	understand
life	NN	life
as	IN	as
it	PP	it
now	RB	now
exists	VBZ	exist
through	IN	through
evolution	NN	evolution
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Chicago	NP	Chicago
I	PP	I
was	VBD	be
a	DT	a
zoology	NN	zoology
major	JJ	major
,	,	,
and	CC	and
thought	VBD	think
I	PP	I
would	MD	would
end	VB	end
up	RP	up
,	,	,
you	PP	you
