Hi	UH	hi
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
the	DT	the
people	NNS	people
who	WP	who
make	VBP	make
the	DT	the
things	NNS	thing
we	PP	we
use	VBP	use
every	DT	every
day	NN	day
:	:	:
our	PP$	our
shoes	NNS	shoe
,	,	,
our	PP$	our
handbags	NNS	handbag
,	,	,
our	PP$	our
computers	NNS	computer
and	CC	and
cell	NN	cell
phones	NNS	phone
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
conversation	NN	conversation
that	WDT	that
often	RB	often
calls	VBZ	call
up	RP	up
a	DT	a
lot	NN	lot
of	IN	of
guilt	NN	guilt
.	SENT	.
Imagine	VB	imagine
the	DT	the
teenage	JJ	teenage
farm	NN	farm
girl	NN	girl
who	WP	who
makes	VBZ	make
less	JJR	less
than	IN	than
a	DT	a
dollar	NN	dollar
an	DT	an
hour	NN	hour
stitching	VBG	stitch
your	PP$	your
running	VBG	run
shoes	NNS	shoe
,	,	,
or	CC	or
the	DT	the
young	JJ	young
Chinese	JJ	Chinese
man	NN	man
who	WP	who
jumps	VBZ	jump
off	RP	off
a	DT	a
rooftop	NN	rooftop
after	IN	after
working	VBG	work
overtime	NN	overtime
assembling	VBG	assemble
your	PP$	your
iPad	NN	<unknown>
.	SENT	.
We	PP	we
,	,	,
the	DT	the
beneficiaries	NNS	beneficiary
of	IN	of
globalization	NN	globalization
,	,	,
seem	VBP	seem
to	TO	to
exploit	VB	exploit
these	DT	these
victims	NNS	victim
with	IN	with
every	DT	every
purchase	NN	purchase
we	PP	we
make	VBP	make
,	,	,
and	CC	and
the	DT	the
injustice	NN	injustice
feels	VBZ	feel
embedded	VBN	embed
in	IN	in
the	DT	the
products	NNS	product
themselves	PP	themselves
.	SENT	.
After	IN	after
all	DT	all
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
with	IN	with
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
a	DT	a
worker	NN	worker
on	IN	on
an	DT	an
iPhone	NN	<unknown>
assembly	NN	assembly
line	NN	line
can	NN	can
'	POS	'
t	NN	t
even	RB	even
afford	VB	afford
to	TO	to
buy	VB	buy
one	PP	one
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
taken	VBN	take
for	IN	for
granted	VBD	grant
that	IN	that
Chinese	JJ	Chinese
factories	NNS	factory
are	VBP	be
oppressive	JJ	oppressive
,	,	,
and	CC	and
that	IN	that
it	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
desire	NN	desire
for	IN	for
cheap	JJ	cheap
goods	NNS	good
that	WDT	that
makes	VBZ	make
them	PP	them
so	RB	so
.	SENT	.
So	RB	so
,	,	,
this	DT	this
simple	JJ	simple
narrative	NN	narrative
equating	VBG	equate
Western	JJ	Western
demand	NN	demand
and	CC	and
Chinese	JJ	Chinese
suffering	NN	suffering
is	VBZ	be
appealing	VBG	appeal
,	,	,
especially	RB	especially
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
many	JJ	many
of	IN	of
us	PP	us
already	RB	already
feel	VBP	feel
guilty	JJ	guilty
about	IN	about
our	PP$	our
impact	NN	impact
on	IN	on
the	DT	the
world	NN	world
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
inaccurate	JJ	inaccurate
and	CC	and
disrespectful	JJ	disrespectful
.	SENT	.
We	PP	we
must	MD	must
be	VB	be
peculiarly	RB	peculiarly
self-obsessed	NP	self-obsessed
to	TO	to
imagine	VB	imagine
that	IN	that
we	PP	we
have	VBP	have
the	DT	the
power	NN	power
to	TO	to
drive	VB	drive
tens	NNS	ten
of	IN	of
millions	NNS	million
of	IN	of
people	NNS	people
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
world	NN	world
to	TO	to
migrate	VB	migrate
and	CC	and
suffer	VB	suffer
in	IN	in
such	JJ	such
terrible	JJ	terrible
ways	NNS	way
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
China	NP	China
makes	VBZ	make
goods	NNS	good
for	IN	for
markets	NNS	market
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
including	VBG	include
its	PP$	its
own	JJ	own
,	,	,
thanks	NNS	thanks
to	TO	to
a	DT	a
combination	NN	combination
of	IN	of
factors	NNS	factor
