Thank	VB	thank
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
an	DT	an
honor	NN	honor
and	CC	and
a	DT	a
privilege	NN	privilege
to	TO	to
be	VB	be
here	RB	here
spending	VBG	spend
my	PP$	my
last	JJ	last
day	NN	day
as	IN	as
a	DT	a
teenager	NN	teenager
.	SENT	.
Today	NN	today
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
the	DT	the
future	NN	future
,	,	,
but	CC	but
first	JJ	first
I	PP	I
'	''	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
bit	NN	bit
about	IN	about
the	DT	the
past	NN	past
.	SENT	.
My	PP$	my
story	NN	story
starts	VBZ	start
way	NN	way
before	IN	before
I	PP	I
was	VBD	be
born	VBN	bear
.	SENT	.
My	PP$	my
grandmother	NN	grandmother
was	VBD	be
on	IN	on
a	DT	a
train	NN	train
to	TO	to
Auschwitz	NP	Auschwitz
,	,	,
the	DT	the
death	NN	death
camp	NN	camp
.	SENT	.
And	CC	and
she	PP	she
was	VBD	be
going	VBG	go
along	IN	along
the	DT	the
tracks	NNS	track
,	,	,
and	CC	and
the	DT	the
tracks	NNS	track
split	NN	split
.	SENT	.
And	CC	and
somehow	RB	somehow
—	:	-
we	PP	we
don	VBP	don
'	''	'
t	NN	t
really	RB	really
know	VBP	know
exactly	RB	exactly
the	DT	the
whole	JJ	whole
story	NN	story
—	:	-
but	CC	but
the	DT	the
train	NN	train
took	VBD	take
the	DT	the
wrong	JJ	wrong
track	NN	track
and	CC	and
went	VBD	go
to	TO	to
a	DT	a
work	NN	work
camp	NN	camp
rather	RB	rather
than	IN	than
the	DT	the
death	NN	death
camp	NN	camp
.	SENT	.
My	PP$	my
grandmother	NN	grandmother
survived	VBD	survive
and	CC	and
married	VBD	marry
my	PP$	my
grandfather	NN	grandfather
.	SENT	.
They	PP	they
were	VBD	be
living	VBG	live
in	IN	in
Hungary	NP	Hungary
,	,	,
and	CC	and
my	PP$	my
mother	NN	mother
was	VBD	be
born	VBN	bear
.	SENT	.
And	CC	and
when	WRB	when
my	PP$	my
mother	NN	mother
was	VBD	be
two	CD	two
years	NNS	year
old	JJ	old
,	,	,
the	DT	the
Hungarian	JJ	Hungarian
revolution	NN	revolution
was	VBD	be
raging	VBG	rage
,	,	,
and	CC	and
they	PP	they
decided	VBD	decide
to	TO	to
escape	VB	escape
Hungary	NP	Hungary
.	SENT	.
They	PP	they
got	VBD	get
on	IN	on
a	DT	a
boat	NN	boat
,	,	,
and	CC	and
yet	RB	yet
another	DT	another
divergence	NN	divergence
—	:	-
the	DT	the
boat	NN	boat
was	VBD	be
either	RB	either
going	VBG	go
to	TO	to
Canada	NP	Canada
or	CC	or
to	TO	to
Australia	NP	Australia
.	SENT	.
They	PP	they
got	VBD	get
on	IN	on
and	CC	and
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VB	know
where	WRB	where
they	PP	they
were	VBD	be
going	VBG	go
,	,	,
and	CC	and
ended	VBD	end
up	RP	up
in	IN	in
Canada	NP	Canada
.	SENT	.
So	RB	so
,	,	,
to	TO	to
make	VB	make
a	DT	a
long	JJ	long
story	NN	story
short	RB	short
,	,	,
they	PP	they
came	VBD	come
to	TO	to
Canada	NP	Canada
.	SENT	.
My	PP$	my
grandmother	NN	grandmother
was	VBD	be
a	DT	a
chemist	NN	chemist
.	SENT	.
She	PP	she
worked	VBD	work
at	IN	at
the	DT	the
Banting	VBG	bant
Institute	NP	Institute
in	IN	in
Toronto	NP	Toronto
,	,	,
and	CC	and
at	IN	at
44	CD	@card@
she	PP	she
died	VBD	die
of	IN	of
stomach	NN	stomach
cancer	NN	cancer
.	SENT	.
I	PP	I
never	RB	never
met	VBD	meet
my	PP$	my
grandmother	NN	grandmother
,	,	,
but	CC	but
I	PP	I
carry	VBP	carry
on	IN	on
her	PP$	her
name	NN	name
—	:	-
her	PP$	her
exact	JJ	exact
name	NN	name
,	,	,
Eva	NP	Eva
Vertes	NP	<unknown>
—	:	-
and	CC	and
I	PP	I
like	VBP	like
to	TO	to
think	VB	think
I	PP	I
carry	VB	carry
on	IN	on
her	PP$	her
scientific	JJ	scientific
passion	NN	passion
,	,	,
too	RB	too
.	SENT	.
I	PP	I
found	VBD	find
this	DT	this
passion	NN	passion
not	RB	not
far	RB	far
from	IN	from
here	RB	here
,	,	,
actually	RB	actually
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
nine	CD	nine
years	NNS	year
old	JJ	old
.	SENT	.
My	PP$	my
family	NN	family
was	VBD	be
on	IN	on
a	DT	a
road	NN	road
trip	NN	trip
and	CC	and
we	PP	we
were	VBD	be
in	IN	in
the	DT	the
Grand	NP	Grand
Canyon	NP	Canyon
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
never	RB	never
been	VBN	be
a	DT	a
reader	NN	reader
when	WRB	when
I	PP	I
was	VBD	be
young	JJ	young
—	:	-
my	PP$	my
dad	NN	dad
had	VBD	have
tried	VBN	try
me	PP	me
with	IN	with
the	DT	the
Hardy	NP	Hardy
Boys	NPS	Boys
;	:	;
I	PP	I
tried	VBD	try
Nancy	NP	Nancy
Drew	NP	Drew
;	:	;
I	PP	I
tried	VBD	try
all	PDT	all
that	DT	that
—	:	-
and	CC	and
I	PP	I
just	RB	just
didn	NN	<unknown>
'	POS	'
t	NN	t
like	IN	like
reading	VBG	read
books	NNS	book
.	SENT	.
And	CC	and
my	PP$	my
mother	NN	mother
bought	VBD	buy
this	DT	this
book	NN	book
when	WRB	when
we	PP	we
were	VBD	be
at	IN	at
the	DT	the
Grand	NP	Grand
Canyon	NP	Canyon
called	VBD	call
"	``	"
The	DT	the
Hot	NP	Hot
Zone	NP	Zone
.	SENT	.
"	``	"
It	PP	it
was	VBD	be
all	DT	all
about	IN	about
the	DT	the
outbreak	NN	outbreak
of	IN	of
the	DT	the
Ebola	NP	<unknown>
virus	NN	virus
.	SENT	.
And	CC	and
something	NN	something
about	IN	about
it	PP	it
just	RB	just
kind	RB	kind
of	IN	of
drew	VBD	draw
me	PP	me
towards	IN	towards
it	PP	it
.	SENT	.
There	EX	there
was	VBD	be
this	DT	this
big	JJ	big
sort	NN	sort
of	IN	of
bumpy-looking	VBG	bumpy-look
virus	NN	virus
on	IN	on
the	DT	the
cover	NN	cover
,	,	,
and	CC	and
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
read	VB	read
it	PP	it
.	SENT	.
I	PP	I
picked	VBD	pick
up	RP	up
that	DT	that
book	NN	book
,	,	,
and	CC	and
as	IN	as
we	PP	we
drove	VBD	drive
from	IN	from
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
Grand	NP	Grand
Canyon	NP	Canyon
to	TO	to
Big	NP	Big
Sur	NP	Sur
,	,	,
and	CC	and
to	TO	to
,	,	,
actually	RB	actually
,	,	,
here	RB	here
where	WRB	where
we	PP	we
are	VBP	be
