Ever	RB	ever
since	IN	since
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
I	PP	I
loved	VBD	love
trash	NN	trash
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
trash	NN	trash
is	VBZ	be
the	DT	the
perfect	JJ	perfect
building	NN	building
blocks	NNS	block
for	IN	for
playing	NN	playing
and	CC	and
being	VBG	be
creative	JJ	creative
because	IN	because
trash	NN	trash
is	VBZ	be
for	IN	for
free	JJ	free
and	CC	and
you	PP	you
can	MD	can
find	VB	find
it	PP	it
everywhere	RB	everywhere
,	,	,
and	CC	and
you	PP	you
can	MD	can
always	RB	always
find	VB	find
just	RB	just
as	RB	as
much	JJ	much
as	IN	as
you	PP	you
need	VBP	need
.	SENT	.
Cardboard	NN	cardboard
boxes	NNS	box
,	,	,
books	NNS	book
,	,	,
bottles	NNS	bottle
,	,	,
broken	VBN	break
bicycles	NNS	bicycle
or	CC	or
pallets	NNS	pallet
,	,	,
colorful	JJ	colorful
plastic	JJ	plastic
bags	NNS	bag
.	SENT	.
I	PP	I
would	MD	would
shove	VB	shove
them	PP	them
all	RB	all
in	IN	in
a	DT	a
shopping	NN	shopping
cart	NN	cart
,	,	,
and	CC	and
then	RB	then
I	PP	I
would	MD	would
shove	VB	shove
it	PP	it
back	RB	back
to	TO	to
my	PP$	my
parents	NNS	parent
'	POS	'
backyard	NN	backyard
,	,	,
where	WRB	where
I	PP	I
would	MD	would
give	VB	give
it	PP	it
new	JJ	new
life	NN	life
in	IN	in
my	PP$	my
ever-expanding	JJ	ever-expanding
treetop	NN	treetop
house	NN	house
,	,	,
where	WRB	where
I	PP	I
sometimes	RB	sometimes
would	MD	would
sit	VB	sit
and	CC	and
dream	VB	dream
about	RB	about
one	CD	one
day	NN	day
becoming	VBG	become
an	DT	an
artist	NN	artist
.	SENT	.
This	DT	this
is	VBZ	be
me	PP	me
when	WRB	when
I	PP	I
was	VBD	be
five	CD	five
years	NNS	year
old	JJ	old
,	,	,
playing	VBG	play
in	IN	in
my	PP$	my
parents	NNS	parent
'	POS	'
trashcan	NP	trashcan
.	SENT	.
And	CC	and
back	RB	back
