Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Hi	UH	hi
,	,	,
Roz	NP	Roz
Brewer	NP	Brewer
.	SENT	.
Thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
today	NN	today
.	SENT	.
Rosalind	NP	Rosalind
Brewer	NP	Brewer
:	:	:
Thank	VB	thank
you	PP	you
for	IN	for
having	VBG	have
me	PP	me
.	SENT	.
WPR	NN	WPR
:	:	:
We	PP	we
can	MD	can
just	RB	just
dive	VB	dive
right	RB	right
in	IN	in
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
right	RB	right
now	RB	now
in	IN	in
the	DT	the
last	JJ	last
quarter	NN	quarter
of	IN	of
2020	CD	@card@
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
would	MD	would
agree	VB	agree
that	IN	that
we	PP	we
'	POS	'
re	NN	re
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
what	WP	what
'	POS	'
s	NN	S
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
reckonings	NNS	reckoning
around	IN	around
racial	JJ	racial
equity	NN	equity
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
in	IN	in
this	DT	this
country	NN	country
in	IN	in
decades	NNS	decade
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
such	JJ	such
a	DT	a
vocal	JJ	vocal
advocate	NN	advocate
for	IN	for
,	,	,
both	CC	both
through	IN	through
your	PP$	your
role	NN	role
at	IN	at
Starbucks	NP	Starbucks
and	CC	and
throughout	IN	throughout
your	PP$	your
career	NN	career
of	IN	of
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
in	IN	in
the	DT	the
workplace	NN	workplace
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
m	NN	m
curious	JJ	curious
just	RB	just
to	TO	to
hear	VB	hear
from	IN	from
you	PP	you
to	TO	to
start	VB	start
off	RP	off
the	DT	the
conversation	NN	conversation
,	,	,
what	WP	what
this	DT	this
moment	NN	moment
means	VBZ	mean
for	IN	for
DEI	NP	dei
efforts	NNS	effort
,	,	,
not	RB	not
just	RB	just
in	IN	in
corporate	JJ	corporate
America	NP	America
but	CC	but
in	IN	in
business	NN	business
in	IN	in
general	NN	general
.	SENT	.
RB	NN	RB
:	:	:
You	PP	you
are	VBP	be
right	JJ	right
that	IN	that
this	DT	this
has	VBZ	have
made	VBN	make
many	JJ	many
of	IN	of
us	PP	us
that	WDT	that
are	VBP	be
in	IN	in
the	DT	the
corporate	JJ	corporate
setting	NN	setting
and	CC	and
beyond	IN	beyond
to	TO	to
rethink	VB	rethink
the	DT	the
position	NN	position
on	IN	on
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
in	IN	in
the	DT	the
workplace	NN	workplace
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
let	VBP	let
me	PP	me
start	VB	start
the	DT	the
conversation	NN	conversation
about	IN	about
where	WRB	where
are	VBP	be
we	PP	we
actually	RB	actually
in	IN	in
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
in	IN	in
the	DT	the
corporate	JJ	corporate
setting	NN	setting
,	,	,
and	CC	and
I	PP	I
will	MD	will
tell	VB	tell
you	PP	you
that	IN	that
this	DT	this
is	VBZ	be
actually	RB	actually
putting	VBG	put
a	DT	a
spotlight	NN	spotlight
on	IN	on
the	DT	the
weaknesses	NNS	weakness
and	CC	and
maybe	RB	maybe
the	DT	the
lack	NN	lack
of	IN	of
forethought	NN	forethought
and	CC	and
intensity	NN	intensity
that	IN	that
we	PP	we
should	MD	should
always	RB	always
have	VB	have
maintained	VBN	maintain
on	IN	on
this	DT	this
subject	NN	subject
all	RB	all
along	RB	along
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	RB	<unknown>
been	VBN	be
highlighting	VBG	highlight
for	IN	for
most	JJS	most
of	IN	of
us	PP	us
is	VBZ	be
that	IN	that
our	PP$	our
biggest	JJS	big
opportunity	NN	opportunity
is	VBZ	be
inclusion	NN	inclusion
.	SENT	.
