Good	JJ	good
morning	NN	morning
everybody	NN	everybody
.	SENT	.
I	PP	I
work	VBP	work
with	IN	with
really	RB	really
amazing	JJ	amazing
,	,	,
little	JJ	little
,	,	,
itty-bitty	JJ	itty-bitty
creatures	NNS	creature
called	VBD	call
cells	NNS	cell
.	SENT	.
And	CC	and
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
to	TO	to
grow	VB	grow
these	DT	these
cells	NNS	cell
in	IN	in
the	DT	the
lab	NN	lab
.	SENT	.
I	PP	I
work	VBP	work
in	IN	in
a	DT	a
lab	NN	lab
where	WRB	where
we	PP	we
take	VBP	take
cells	NNS	cell
out	IN	out
of	IN	of
their	PP$	their
native	JJ	native
environment	NN	environment
.	SENT	.
We	PP	we
plate	VBP	plate
them	PP	them
into	IN	into
dishes	NNS	dish
that	IN	that
we	PP	we
sometimes	RB	sometimes
call	VBP	call
petri	NNS	petri
dishes	NNS	dish
.	SENT	.
And	CC	and
we	PP	we
feed	VBP	feed
them	PP	them
—	:	-
sterilely	RB	<unknown>
of	IN	of
course	NN	course
—	:	-
with	IN	with
what	WP	what
we	PP	we
call	VBP	call
cell	NN	cell
culture	NN	culture
media	NNS	medium
—	:	-
which	WDT	which
is	VBZ	be
like	IN	like
their	PP$	their
food	NN	food
—	:	-
and	CC	and
we	PP	we
grow	VBP	grow
them	PP	them
in	IN	in
incubators	NNS	incubator
.	SENT	.
Why	WRB	why
do	VBP	do
I	PP	I
do	VBP	do
this	DT	this
?	SENT	?
We	PP	we
observe	VBP	observe
the	DT	the
cells	NNS	cell
in	IN	in
a	DT	a
plate	NN	plate
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
just	RB	just
on	IN	on
the	DT	the
surface	NN	surface
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
'	POS	'
re	NN	re
really	RB	really
trying	VBG	try
to	TO	to
do	VB	do
in	IN	in
my	PP$	my
lab	NN	lab
is	VBZ	be
to	TO	to
engineer	VB	engineer
tissues	NNS	tissue
out	RP	out
of	IN	of
them	PP	them
.	SENT	.
What	WP	what
does	VBZ	do
that	IN	that
even	RB	even
mean	VB	mean
?	SENT	?
Well	RB	well
it	PP	it
means	VBZ	mean
growing	VBG	grow
an	DT	an
actual	JJ	actual
heart	NN	heart
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
,	,	,
or	CC	or
grow	VB	grow
a	DT	a
piece	NN	piece
of	IN	of
bone	NN	bone
that	WDT	that
can	MD	can
be	VB	be
put	VBN	put
into	IN	into
the	DT	the
body	NN	body
.	SENT	.
Not	RB	not
only	RB	only
that	IN	that
,	,	,
but	CC	but
they	PP	they
can	MD	can
also	RB	also
be	VB	be
used	VBN	use
for	IN	for
disease	NN	disease
models	NNS	model
.	SENT	.
And	CC	and
for	IN	for
this	DT	this
purpose	NN	purpose
,	,	,
traditional	JJ	traditional
cell	NN	cell
culture	NN	culture
techniques	NNS	technique
just	RB	just
really	RB	really
aren	NNS	<unknown>
'	POS	'
t	NN	t
enough	RB	enough
.	SENT	.
The	DT	the
cells	NNS	cell
are	VBP	be
kind	JJ	kind
of	IN	of
homesick	JJ	homesick
;	:	;
the	DT	the
dish	NN	dish
doesn	NN	<unknown>
'	POS	'
t	NN	t
feel	NN	feel
like	IN	like
their	PP$	their
home	NN	home
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
better	RBR	well
at	IN	at
copying	VBG	copy
their	PP$	their
natural	JJ	natural
environment	NN	environment
to	TO	to
get	VB	get
them	PP	them
to	TO	to
thrive	VB	thrive
.	SENT	.
We	PP	we
call	VBP	call
this	DT	this
the	DT	the
biomimetic	JJ	biomimetic
paradigm	NN	paradigm
—	:	-
copying	VBG	copy
nature	NN	nature
in	IN	in
the	DT	the
lab	NN	lab
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
the	DT	the
example	NN	example
of	IN	of
the	DT	the
heart	NN	heart
,	,	,
the	DT	the
topic	NN	topic
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
my	PP$	my
research	NN	research
.	SENT	.
What	WP	what
makes	VBZ	make
the	DT	the
heart	NN	heart
unique	JJ	unique
?	SENT	?
Well	RB	well
,	,	,
the	DT	the
heart	NN	heart
beats	VBZ	beat
,	,	,
rhythmically	RB	rhythmically
,	,	,
tirelessly	RB	tirelessly
,	,	,
faithfully	RB	faithfully
.	SENT	.
We	PP	we
copy	VBP	copy
this	DT	this
in	IN	in
the	DT	the
lab	NN	lab
by	IN	by
outfitting	VBG	outfit
cell	NN	cell
culture	NN	culture
systems	NNS	system
with	IN	with
electrodes	NNS	electrode
.	SENT	.
These	DT	these
electrodes	NNS	electrode
act	NN	act
like	IN	like
mini	JJ	mini
pacemakers	NNS	pacemaker
to	TO	to
get	VB	get
the	DT	the
cells	NNS	cell
to	TO	to
contract	NN	contract
in	IN	in
the	DT	the
lab	NN	lab
.	SENT	.
What	WP	what
else	RB	else
do	VBP	do
we	PP	we
know	VBP	know
about	IN	about
the	DT	the
heart	NN	heart
?	SENT	?
Well	RB	well
,	,	,
heart	NN	heart
cells	NNS	cell
are	VBP	be
pretty	RB	pretty
greedy	JJ	greedy
.	SENT	.
Nature	NN	nature
feeds	VBZ	feed
the	DT	the
heart	NN	heart
cells	NNS	cell
in	IN	in
your	PP$	your
body	NN	body
with	IN	with
a	DT	a
very	JJ	very
,	,	,
very	RB	very
dense	JJ	dense
blood	NN	blood
supply	NN	supply
.	SENT	.
In	IN	in
the	DT	the
lab	NN	lab
,	,	,
we	PP	we
micro-pattern	JJ	<unknown>
channels	NNS	channel
in	IN	in
the	DT	the
biomaterials	NNS	Biomaterial
on	IN	on
which	WDT	which
we	PP	we
grow	VBP	grow
the	DT	the
cells	NNS	cell
,	,	,
and	CC	and
this	DT	this
allows	VBZ	allow
us	PP	us
to	TO	to
flow	VB	flow
the	DT	the
cell	NN	cell
culture	NN	culture
media	NNS	medium
,	,	,
the	DT	the
cells	NNS	cell
'	POS	'
food	NN	food
,	,	,
through	IN	through
the	DT	the
scaffolds	NNS	scaffold
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
growing	VBG	grow
the	DT	the
cells	NNS	cell
—	:	-
a	DT	a
lot	NN	lot
like	IN	like
what	WP	what
you	PP	you
might	MD	might
expect	VB	expect
from	IN	from
a	DT	a
capillary	JJ	capillary
bed	NN	bed
in	IN	in
the	DT	the
heart	NN	heart
.	SENT	.
