Hi	UH	hi
,	,	,
I	PP	I
'	POS	'
m	NN	m
Jeff	NP	Jeff
.	SENT	.
I	PP	I
lead	VBP	lead
AI	VBZ	ai
Research	NP	Research
and	CC	and
Health	NP	Health
at	IN	at
Google	NP	<unknown>
.	SENT	.
I	PP	I
joined	VBD	join
Google	NP	<unknown>
more	JJR	more
than	IN	than
20	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
when	WRB	when
we	PP	we
were	VBD	be
all	RB	all
wedged	VBN	wedge
into	IN	into
a	DT	a
tiny	JJ	tiny
office	NN	office
space	NN	space
,	,	,
above	IN	above
what	WP	what
'	POS	'
s	NN	S
now	RB	now
a	DT	a
T-Mobile	JJ	<unknown>
store	NN	store
in	IN	in
downtown	JJ	downtown
Palo	NP	Palo
Alto	NP	Alto
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
seen	VBN	see
a	DT	a
lot	NN	lot
of	IN	of
computing	VBG	compute
transformations	NNS	transformation
in	IN	in
that	DT	that
time	NN	time
,	,	,
and	CC	and
in	IN	in
the	DT	the
last	JJ	last
decade	NN	decade
,	,	,
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
AI	NN	ai
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
tremendous	JJ	tremendous
things	NNS	thing
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
still	RB	still
doing	VBG	do
it	PP	it
all	RB	all
wrong	JJ	wrong
in	IN	in
many	JJ	many
ways	NNS	way
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
today	NN	today
.	SENT	.
But	CC	but
first	RB	first
,	,	,
let	VBP	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
what	WP	what
AI	VBP	ai
can	MD	can
do	VB	do
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
last	JJ	last
decade	NN	decade
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
tremendous	JJ	tremendous
progress	NN	progress
in	IN	in
how	WRB	how
AI	NN	ai
can	MD	can
help	VB	help
computers	NNS	computer
see	VB	see
,	,	,
understand	VB	understand
language	NN	language
,	,	,
understand	VB	understand
speech	NN	speech
better	JJR	good
than	IN	than
ever	RB	ever
before	RB	before
.	SENT	.
Things	NNS	thing
that	IN	that
we	PP	we
couldn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
before	RB	before
,	,	,
now	RB	now
we	PP	we
can	MD	can
do	VB	do
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
about	IN	about
computer	NN	computer
vision	NN	vision
alone	RB	alone
,	,	,
just	RB	just
in	IN	in
the	DT	the
last	JJ	last
10	CD	@card@
years	NNS	year
,	,	,
computers	NNS	computer
have	VBP	have
effectively	RB	effectively
developed	VBN	develop
the	DT	the
ability	NN	ability
to	TO	to
see	VB	see
;	:	;
10	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
they	PP	they
couldn	NNS	<unknown>
'	POS	'
t	NN	t
see	VBP	see
,	,	,
now	RB	now
they	PP	they
can	MD	can
see	VB	see
.	SENT	.
You	PP	you
can	MD	can
imagine	VB	imagine
this	DT	this
has	VBZ	have
had	VBN	have
a	DT	a
transformative	JJ	transformative
effect	NN	effect
on	IN	on
what	WP	what
we	PP	we
can	MD	can
do	VB	do
with	IN	with
computers	NNS	computer
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
a	DT	a
couple	NN	couple
of	IN	of
the	DT	the
great	JJ	great
applications	NNS	application
enabled	VBN	enable
by	IN	by
these	DT	these
capabilities	NNS	capability
.	SENT	.
We	PP	we
can	MD	can
better	RBR	well
predict	VB	predict
flooding	VBG	flood
,	,	,
keep	VB	keep
everyone	NN	everyone
safe	JJ	safe
,	,	,
using	VBG	use
machine	NN	machine
learning	NN	learning
.	SENT	.
We	PP	we
can	MD	can
translate	VB	translate
over	IN	over
100	CD	@card@
languages	NNS	language
so	IN	so
we	PP	we
all	RB	all
can	MD	can
communicate	VB	communicate
better	JJR	good
,	,	,
and	CC	and
better	JJR	good
predict	VBP	predict
and	CC	and
diagnose	VBP	diagnose
disease	NN	disease
,	,	,
where	WRB	where
everyone	NN	everyone
gets	VBZ	get
the	DT	the
treatment	NN	treatment
that	IN	that
they	PP	they
need	VBP	need
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
two	CD	two
key	JJ	key
components	NNS	component
that	WDT	that
underlie	VBP	underlie
the	DT	the
progress	NN	progress
in	IN	in
AI	NN	ai
systems	NNS	system
today	NN	today
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
neural	JJ	neural
networks	NNS	network
,	,	,
a	DT	a
breakthrough	NN	breakthrough
approach	NN	approach
to	TO	to
solving	VBG	solve
some	DT	some
of	IN	of
these	DT	these
difficult	JJ	difficult
problems	NNS	problem
that	WDT	that
has	VBZ	have
really	RB	really
shone	VBN	shine
in	IN	in
the	DT	the
last	JJ	last
15	CD	@card@
years	NNS	year
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
not	RB	not
a	DT	a
