Thank	VB	thank
you	PP	you
all	DT	all
so	RB	so
much	JJ	much
,	,	,
how	WRB	how
'	POS	'
s	NN	S
it	PP	it
going	VBG	go
?	SENT	?
How	WRB	how
are	VBP	be
you	PP	you
doing	VBG	do
,	,	,
TED	VB	ted
,	,	,
TEDWomen	NP	TEDWomen
?	SENT	?
They	PP	they
brought	VBD	bring
me	PP	me
in	IN	in
for	IN	for
a	DT	a
bit	NN	bit
of	IN	of
comic	JJ	comic
relief	NN	relief
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
so	RB	so
excited	VBN	excite
to	TO	to
be	VB	be
here	RB	here
at	IN	at
TEDWomen	NP	TEDWomen
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
I	PP	I
speak	VBP	speak
for	IN	for
myself	PP	myself
,	,	,
but	CC	but
also	RB	also
for	IN	for
all	DT	all
of	IN	of
us	PP	us
,	,	,
when	WRB	when
I	PP	I
think	VBP	think
I	PP	I
'	''	'
m	NN	m
really	RB	really
inspired	VBN	inspire
,	,	,
you	PP	you
know	VBP	know
,	,	,
and	CC	and
personally	RB	personally
,	,	,
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
stop	VB	stop
until	IN	until
every	DT	every
person	NN	person
,	,	,
living	NN	living
or	CC	or
dead	JJ	dead
,	,	,
is	VBZ	be
a	DT	a
woman	NN	woman
.	SENT	.
Yeah	RB	yeah
.	SENT	.
Yeah	RB	yeah
,	,	,
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
at	IN	at
.	SENT	.
No	UH	no
,	,	,
but	CC	but
I	PP	I
do	VBP	do
hate	VB	hate
when	WRB	when
people	NNS	people
say	VBP	say
that	IN	that
God	NP	God
is	VBZ	be
a	DT	a
woman	NN	woman
,	,	,
right	RB	right
?	SENT	?
I	PP	I
hate	VBP	hate
that	RB	that
.	SENT	.
I	PP	I
really	RB	really
,	,	,
I	PP	I
think	VBP	think
she	PP	she
would	MD	would
have	VB	have
done	VBN	do
better	RBR	well
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
No	UH	no
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
if	IN	if
God	NP	God
is	VBZ	be
a	DT	a
woman	NN	woman
,	,	,
she	PP	she
'	POS	'
s	NN	S
a	DT	a
real	JJ	real
guy	NN	guy
'	POS	'
s	NN	S
gal	NN	gal
,	,	,
if	IN	if
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
mean	VBP	mean
?	SENT	?
