One	CD	one
of	IN	of
the	DT	the
most	RBS	most
common	JJ	common
ways	NNS	way
of	IN	of
dividing	VBG	divide
the	DT	the
world	NN	world
is	VBZ	be
into	IN	into
those	DT	those
who	WP	who
believe	VBP	believe
and	CC	and
those	DT	those
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
â	NP	<unknown>
into	IN	into
the	DT	the
religious	JJ	religious
and	CC	and
the	DT	the
atheists	NNS	atheist
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
last	JJ	last
decade	NN	decade
or	CC	or
so	RB	so
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
quite	RB	quite
clear	JJ	clear
what	WP	what
being	VBG	be
an	DT	an
atheist	NN	atheist
means	VBZ	mean
.	SENT	.
There	EX	there
have	VBP	have
been	VBN	be
some	DT	some
very	RB	very
vocal	JJ	vocal
atheists	NNS	atheist
who	WP	who
'	POS	'
ve	NN	ve
pointed	VBD	point
out	RP	out
,	,	,
not	RB	not
just	RB	just
that	IN	that
religion	NN	religion
is	VBZ	be
wrong	JJ	wrong
,	,	,
but	CC	but
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
ridiculous	JJ	ridiculous
.	SENT	.
These	DT	these
people	NNS	people
,	,	,
many	JJ	many
of	IN	of
whom	WP	whom
have	VBP	have
lived	VBN	live
in	IN	in
North	NP	North
Oxford	NP	Oxford
,	,	,
have	VBP	have
argued	VBN	argue
â	NP	<unknown>
they	PP	they
'	POS	'
ve	NN	ve
argued	VBD	argue
that	IN	that
believing	VBG	believe
in	IN	in
God	NP	God
is	VBZ	be
akin	JJ	akin
to	TO	to
believing	VBG	believe
in	IN	in
fairies	NNS	fairy
and	CC	and
essentially	RB	essentially
that	IN	that
the	DT	the
whole	JJ	whole
thing	NN	thing
is	VBZ	be
a	DT	a
childish	JJ	childish
game	NN	game
.	SENT	.
Now	RB	now
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
too	RB	too
easy	JJ	easy
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
too	RB	too
easy	JJ	easy
to	TO	to
dismiss	VB	dismiss
the	DT	the
whole	NN	whole
of	IN	of
religion	NN	religion
that	DT	that
way	NN	way
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
as	IN	as
easy	JJ	easy
as	IN	as
shooting	VBG	shoot
fish	NN	fish
in	IN	in
a	DT	a
barrel	NN	barrel
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
inaugurate	VB	inaugurate
today	NN	today
is	VBZ	be
a	DT	a
new	JJ	new
way	NN	way
of	IN	of
being	VBG	be
an	DT	an
atheist	NN	atheist
â	NP	<unknown>
if	IN	if
you	PP	you
like	VBP	like
,	,	,
a	DT	a
new	JJ	new
version	NN	version
of	IN	of
atheism	NN	atheism
we	PP	we
could	MD	could
call	VB	call
Atheism	NN	atheism
2	CD	@card@
.	SENT	.
0	CD	@card@
.	SENT	.
Now	RB	now
what	WP	what
is	VBZ	be
Atheism	NN	atheism
2	CD	@card@
.	SENT	.
0	CD	@card@
?	SENT	?
Well	RB	well
it	PP	it
starts	VBZ	start
from	IN	from
a	DT	a
very	RB	very
basic	JJ	basic
premise	NN	premise
:	:	:
of	IN	of
course	NN	course
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
God	NP	God
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
no	DT	no
deities	NNS	deity
or	CC	or
supernatural	JJ	supernatural
spirits	NNS	spirit
or	CC	or
angels	NNS	angel
,	,	,
etc	FW	etc
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
move	VBP	move
on	IN	on
;	:	;
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
the	DT	the
end	NN	end
of	IN	of
the	DT	the
story	NN	story
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
very	JJ	very
,	,	,
very	RB	very
beginning	VBG	begin
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
interested	JJ	interested
in	IN	in
the	DT	the
kind	NN	kind
of	IN	of
constituency	NN	constituency
that	WDT	that
thinks	VBZ	think
something	NN	something
along	IN	along
these	DT	these
lines	NNS	line
:	:	:
that	WDT	that
thinks	VBZ	think
,	,	,
"	``	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
believe	VBP	believe
in	IN	in
any	DT	any
of	IN	of
this	DT	this
stuff	NN	stuff
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
believe	VBP	believe
in	IN	in
the	DT	the
doctrines	NNS	doctrine
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
these	DT	these
doctrines	NNS	doctrine
are	VBP	be
right	JJ	right
.	SENT	.
But	CC	but
,	,	,
"	``	"
a	DT	a
very	RB	very
important	JJ	important
but	CC	but
,	,	,
"	``	"
I	PP	I
love	VBP	love
Christmas	NP	Christmas
carols	NNS	carol
.	SENT	.
I	PP	I
really	RB	really
like	VBP	like
the	DT	the
art	NN	art
of	IN	of
Mantegna	NP	Mantegna
.	SENT	.
I	PP	I
really	RB	really
like	VBP	like
looking	VBG	look
at	IN	at
old	JJ	old
churches	NNS	church
.	SENT	.
I	PP	I
really	RB	really
like	IN	like
turning	VBG	turn
the	DT	the
pages	NNS	page
of	IN	of
the	DT	the
Old	JJ	old
Testament	NN	testament
.	SENT	.
"	''	"
Whatever	WDT	whatever
it	PP	it
may	MD	may
be	VB	be
,	,	,
you	PP	you
know	VBP	know
the	DT	the
kind	NN	kind
of	IN	of
thing	NN	thing
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
â	NP	<unknown>
people	NNS	people
who	WP	who
are	VBP	be
attracted	VBN	attract
to	TO	to
the	DT	the
ritualistic	JJ	ritualistic
side	NN	side
,	,	,
the	DT	the
moralistic	JJ	moralistic
,	,	,
communal	JJ	communal
side	NN	side
of	IN	of
religion	NN	religion
,	,	,
but	CC	but
can	MD	can
'	''	'
t	NN	t
bear	VB	bear
the	DT	the
doctrine	NN	doctrine
.	SENT	.
Until	IN	until
now	RB	now
,	,	,
these	DT	these
